Project,Period,Magnet,Sticky,Politeness,Tot_Comment
CAMEL,2007-06,0.5,0.6666666666666666,0.35714285714285715,14
CAMEL,2007-07,0.2857142857142857,0.75,0.5625,16
CAMEL,2007-08,0.4166666666666667,0.75,0.32432432432432434,37
CAMEL,2007-09,0.125,0.75,0.7,10
CAMEL,2007-10,0.17647058823529413,0.4444444444444444,0.35,20
CAMEL,2007-11,0.3157894736842105,0.8,0.5217391304347826,23
CAMEL,2007-12,0.14285714285714285,0.8181818181818182,0.9285714285714286,14
CAMEL,2008-01,0.13043478260869565,0.5,0.7368421052631579,19
CAMEL,2008-02,0.21739130434782608,0.6363636363636364,0.8,10
CAMEL,2008-03,0.35714285714285715,0.5882352941176471,0.717948717948718,39
CAMEL,2008-04,0.325,0.4782608695652174,0.725,40
CAMEL,2008-05,0.20930232558139536,0.6,0.34444444444444444,90
CAMEL,2008-06,0.21951219512195122,0.47619047619047616,0.6142857142857143,70
CAMEL,2008-07,0.3111111111111111,0.5416666666666666,0.5217391304347826,69
CAMEL,2008-08,0.1956521739130435,0.45454545454545453,0.5689655172413793,58
CAMEL,2008-09,0.2,0.5555555555555556,0.6363636363636364,55
CAMEL,2008-10,0.3,0.36363636363636365,0.6984126984126984,63
CAMEL,2008-11,0.3023255813953488,0.5238095238095238,0.6666666666666666,51
CAMEL,2008-12,0.3191489361702128,0.4230769230769231,0.7592592592592593,108
CAMEL,2009-01,0.24489795918367346,0.43478260869565216,0.7068965517241379,116
CAMEL,2009-02,0.21428571428571427,0.5263157894736842,0.29605263157894735,152
CAMEL,2009-03,0.2926829268292683,0.45454545454545453,0.6019417475728155,103
CAMEL,2009-04,0.37254901960784315,0.3448275862068966,0.5634920634920635,126
CAMEL,2009-05,0.2641509433962264,0.5,0.6052631578947368,76
CAMEL,2009-06,0.3684210526315789,0.3333333333333333,0.6428571428571429,112
CAMEL,2009-07,0.2413793103448276,0.44,0.4827586206896552,87
CAMEL,2009-08,0.2653061224489796,0.4583333333333333,0.5111111111111111,90
CAMEL,2009-09,0.39655172413793105,0.35294117647058826,0.6373626373626373,91
CAMEL,2009-10,0.28125,0.5,0.5465116279069767,86
CAMEL,2009-11,0.3283582089552239,0.3783783783783784,0.1830065359477124,459
CAMEL,2009-12,0.25,0.5161290322580645,0.6324786324786325,117
CAMEL,2010-01,0.3188405797101449,0.39473684210526316,0.6554621848739496,119
CAMEL,2010-02,0.18461538461538463,0.4444444444444444,0.6987951807228916,83
CAMEL,2010-03,0.35,0.48484848484848486,0.7416666666666667,120
CAMEL,2010-04,0.2222222222222222,0.4,0.6705882352941176,85
CAMEL,2010-05,0.23636363636363636,0.56,0.6805555555555556,72
CAMEL,2010-06,0.25,0.4074074074074074,0.6301369863013698,73
CAMEL,2010-07,0.32142857142857145,0.41379310344827586,0.7474747474747475,99
CAMEL,2010-08,0.19607843137254902,0.2727272727272727,0.7162162162162162,74
CAMEL,2010-09,0.5,0.4117647058823529,0.8288288288288288,111
CAMEL,2010-10,0.3924050632911392,0.4,0.7903225806451613,124
CAMEL,2010-11,0.2125,0.5428571428571428,0.76,125
CAMEL,2010-12,0.20588235294117646,0.5757575757575758,0.7252747252747253,91
CAMEL,2011-01,0.34177215189873417,0.41304347826086957,0.6129032258064516,186
CAMEL,2011-02,0.3157894736842105,0.3673469387755102,0.6333333333333333,120
CAMEL,2011-03,0.3020833333333333,0.3191489361702128,0.6777777777777778,90
CAMEL,2011-04,0.2619047619047619,0.43243243243243246,0.8017241379310345,116
CAMEL,2011-05,0.3614457831325301,0.5,0.7567567567567568,111
CAMEL,2011-06,0.30303030303030304,0.41509433962264153,0.796875,192
CAMEL,2011-07,0.27184466019417475,0.46,0.7474747474747475,99
CAMEL,2011-08,0.26262626262626265,0.4897959183673469,0.7549019607843137,102
CAMEL,2011-09,0.25510204081632654,0.40816326530612246,0.7480314960629921,127
CAMEL,2011-10,0.3300970873786408,0.4074074074074074,0.7444444444444445,90
CAMEL,2011-11,0.2962962962962963,0.4074074074074074,0.6341463414634146,82
CAMEL,2011-12,0.1827956989247312,0.46153846153846156,0.7671232876712328,73
CAMEL,2012-01,0.32142857142857145,0.37777777777777777,0.7661290322580645,124
CAMEL,2012-02,0.3111111111111111,0.4888888888888889,0.7386363636363636,88
CAMEL,2012-03,0.2872340425531915,0.32653061224489793,0.75,64
CAMEL,2012-04,0.30851063829787234,0.37777777777777777,0.7619047619047619,84
CAMEL,2012-05,0.31868131868131866,0.2608695652173913,0.7719298245614035,57
CAMEL,2012-06,0.3695652173913043,0.30434782608695654,0.8021978021978022,91
CAMEL,2012-07,0.3333333333333333,0.3409090909090909,0.673469387755102,98
CAMEL,2012-08,0.33707865168539325,0.4666666666666667,0.8407079646017699,113
CAMEL,2012-09,0.23255813953488372,0.43902439024390244,0.7402597402597403,77
CAMEL,2012-10,0.2716049382716049,0.275,0.8611111111111112,72
CAMEL,2012-11,0.33766233766233766,0.40540540540540543,0.7808219178082192,73
CAMEL,2012-12,0.2972972972972973,0.3783783783783784,0.8103448275862069,58
CAMEL,2013-01,0.4,0.3333333333333333,0.7608695652173914,92
CAMEL,2013-02,0.3191489361702128,0.43478260869565216,0.8636363636363636,66
CAMEL,2013-03,0.415929203539823,0.2537313432835821,0.7744360902255639,133
CAMEL,2013-04,0.27586206896551724,0.2653061224489796,0.7894736842105263,57
CAMEL,2013-05,0.3404255319148936,0.4,0.6263736263736264,91
CAMEL,2013-06,0.3076923076923077,0.3695652173913043,0.746268656716418,67
CAMEL,2013-07,0.3076923076923077,0.4,0.7333333333333333,75
CAMEL,2013-08,0.35051546391752575,0.38461538461538464,0.7142857142857143,98
CAMEL,2013-09,0.25773195876288657,0.4222222222222222,0.8059701492537313,67
CAMEL,2013-10,0.3191489361702128,0.32653061224489793,0.6527777777777778,72
CAMEL,2013-11,0.2857142857142857,0.23809523809523808,0.7666666666666667,60
CAMEL,2013-12,0.2972972972972973,0.0,0.7894736842105263,19
