Project,Period,Magnet,Sticky,Politeness,Tot_Comment
HARMONY,2005-09,0.6,0.25,0.0,1
HARMONY,2005-10,0.375,1.0,0.5,2
HARMONY,2005-11,0.3333333333333333,0.375,1.0,1
HARMONY,2005-12,0.15384615384615385,0.8,0.625,8
HARMONY,2006-01,0.4,1.0,0.72,25
HARMONY,2006-02,0.23076923076923078,0.6875,0.5753424657534246,73
HARMONY,2006-03,0.25,0.75,0.5138888888888888,144
HARMONY,2006-04,0.2857142857142857,0.7241379310344828,0.5747126436781609,174
HARMONY,2006-05,0.20634920634920634,0.7058823529411765,0.5324675324675324,154
HARMONY,2006-06,0.21621621621621623,0.8,0.6485148514851485,202
HARMONY,2006-07,0.2,0.78,0.7474402730375427,293
HARMONY,2006-08,0.13592233009708737,0.8301886792452831,0.6465116279069767,215
HARMONY,2006-09,0.21774193548387097,0.8732394366197183,0.6305418719211823,203
HARMONY,2006-10,0.21301775147928995,0.7448979591836735,0.5252225519287834,337
HARMONY,2006-11,0.0855614973262032,0.7865168539325843,0.61198738170347,317
HARMONY,2006-12,0.1358695652173913,0.7157894736842105,0.6272189349112426,338
HARMONY,2007-01,0.04678362573099415,0.868421052631579,0.7376543209876543,324
HARMONY,2007-02,0.1125,0.7976190476190477,0.5912698412698413,252
HARMONY,2007-03,0.06790123456790123,0.8205128205128205,0.7116104868913857,267
HARMONY,2007-04,0.09554140127388536,0.8227848101265823,0.6457564575645757,271
HARMONY,2007-05,0.07692307692307693,0.8311688311688312,0.6821705426356589,258
HARMONY,2007-06,0.09032258064516129,0.7051282051282052,0.6376811594202898,276
HARMONY,2007-07,0.08275862068965517,0.7313432835820896,0.5081967213114754,183
HARMONY,2007-08,0.11450381679389313,0.71875,0.6858974358974359,156
HARMONY,2007-09,0.06779661016949153,0.8333333333333334,0.6363636363636364,121
HARMONY,2007-10,0.1391304347826087,0.7704918032786885,0.6473988439306358,173
HARMONY,2007-11,0.11475409836065574,0.7540983606557377,0.7142857142857143,210
HARMONY,2007-12,0.08547008547008547,0.6964285714285714,0.6511627906976745,129
HARMONY,2008-01,0.05,0.8181818181818182,0.6704545454545454,88
HARMONY,2008-02,0.06976744186046512,0.7857142857142857,0.6697247706422018,109
HARMONY,2008-03,0.12790697674418605,0.8409090909090909,0.6782608695652174,115
HARMONY,2008-04,0.12903225806451613,0.5714285714285714,0.6861313868613139,137
HARMONY,2008-05,0.04938271604938271,0.53125,0.543859649122807,57
HARMONY,2008-06,0.125,0.5833333333333334,0.9166666666666666,24
HARMONY,2008-07,0.19148936170212766,0.6521739130434783,0.7560975609756098,41
HARMONY,2008-08,0.22448979591836735,0.5,0.9090909090909091,22
HARMONY,2008-09,0.15217391304347827,0.5,0.9333333333333333,15
HARMONY,2008-10,0.1891891891891892,0.6470588235294118,0.8181818181818182,22
HARMONY,2008-11,0.0967741935483871,0.6428571428571429,0.8947368421052632,19
HARMONY,2008-12,0.30303030303030304,0.7368421052631579,0.7391304347826086,23
HARMONY,2009-01,0.10810810810810811,0.7777777777777778,0.9696969696969697,33
HARMONY,2009-02,0.08571428571428572,0.7058823529411765,0.7272727272727273,22
HARMONY,2009-03,0.14705882352941177,0.5294117647058824,0.6190476190476191,21
HARMONY,2009-04,0.23529411764705882,0.5882352941176471,0.7804878048780488,41
HARMONY,2009-05,0.22857142857142856,0.6666666666666666,0.8888888888888888,27
HARMONY,2009-06,0.3023255813953488,0.56,0.75,36
HARMONY,2009-07,0.1702127659574468,0.6363636363636364,0.7209302325581395,43
HARMONY,2009-08,0.18181818181818182,0.45454545454545453,0.696969696969697,33
HARMONY,2009-09,0.030303030303030304,0.7272727272727273,0.7741935483870968,31
HARMONY,2009-10,0.24,0.42857142857142855,0.8181818181818182,22
HARMONY,2009-11,0.25925925925925924,0.46153846153846156,0.8823529411764706,17
HARMONY,2009-12,0.2962962962962963,0.5,0.75,12
HARMONY,2010-01,0.19230769230769232,0.3333333333333333,0.5,8
HARMONY,2010-02,0.23809523809523808,0.5555555555555556,0.5,10
HARMONY,2010-03,0.44,0.6875,0.90625,32
HARMONY,2010-04,0.20588235294117646,0.5,0.8823529411764706,17
HARMONY,2010-05,0.12903225806451613,0.7692307692307693,0.6666666666666666,9
HARMONY,2010-06,0.25806451612903225,0.5,0.875,24
HARMONY,2010-07,0.25,0.6111111111111112,0.875,24
HARMONY,2010-08,0.14705882352941177,0.75,0.7647058823529411,17
HARMONY,2010-09,0.3333333333333333,0.34615384615384615,0.8478260869565217,46
HARMONY,2010-10,0.027777777777777776,0.3,1.0,8
HARMONY,2010-11,0.3157894736842105,0.2222222222222222,0.8,5
HARMONY,2010-12,0.21428571428571427,0.0,1.0,2
HARMONY,2011-01,0.2857142857142857,0.0,1.0,2
HARMONY,2011-02,0.3333333333333333,1.0,nan,nan
HARMONY,2011-03,0.0,0.0,nan,nan
HARMONY,2011-07,0.6666666666666666,0.0,1.0,1
HARMONY,2011-10,0.5,0.0,0.0,1
HARMONY,2011-11,0.3333333333333333,0.0,1.0,1
