Project,Period,Magnet,Sticky,Politeness,Tot_Comment
JRUBY,2007-07,0.4230769230769231,0.26666666666666666,0.5652173913043478,23
JRUBY,2007-08,0.2549019607843137,0.42857142857142855,0.7058823529411765,17
JRUBY,2007-09,0.4230769230769231,0.45161290322580644,0.56,25
JRUBY,2007-10,0.4827586206896552,0.39285714285714285,0.7226277372262774,137
JRUBY,2007-11,0.2972972972972973,0.2909090909090909,0.6153846153846154,65
JRUBY,2007-12,0.2111111111111111,0.5714285714285714,0.6835443037974683,79
JRUBY,2008-01,0.42105263157894735,0.4166666666666667,0.6528925619834711,121
JRUBY,2008-02,0.30327868852459017,0.3870967741935484,0.6761904761904762,105
JRUBY,2008-03,0.3533834586466165,0.28169014084507044,0.6416666666666667,120
JRUBY,2008-04,0.3,0.4067796610169492,0.7592592592592593,54
JRUBY,2008-05,0.37593984962406013,0.25675675675675674,0.6097560975609756,123
JRUBY,2008-06,0.2677165354330709,0.4716981132075472,0.6666666666666666,45
JRUBY,2008-07,0.3157894736842105,0.2786885245901639,0.826530612244898,196
JRUBY,2008-08,0.22,0.28205128205128205,0.7,50
JRUBY,2008-09,0.3670886075949367,0.425,0.696969696969697,33
JRUBY,2008-10,0.2962962962962963,0.36585365853658536,0.6907216494845361,97
JRUBY,2008-11,0.36363636363636365,0.3617021276595745,0.5862068965517241,58
JRUBY,2008-12,0.37254901960784315,0.2909090909090909,0.6794871794871795,78
JRUBY,2009-01,0.3238095238095238,0.32,0.6666666666666666,72
JRUBY,2009-02,0.37735849056603776,0.35714285714285715,0.6993006993006993,143
JRUBY,2009-03,0.3504273504273504,0.14754098360655737,0.7323943661971831,71
JRUBY,2009-04,0.29292929292929293,0.23684210526315788,0.5714285714285714,35
JRUBY,2009-05,0.5523809523809524,0.208955223880597,0.7627118644067796,118
JRUBY,2009-06,0.2767857142857143,0.3333333333333333,0.6326530612244898,49
JRUBY,2009-07,0.3617021276595745,0.2857142857142857,0.85,40
JRUBY,2009-08,0.37623762376237624,0.28846153846153844,0.7452830188679245,106
JRUBY,2009-09,0.34951456310679613,0.3333333333333333,0.7361111111111112,72
JRUBY,2009-10,0.3761467889908257,0.3448275862068966,0.6865671641791045,201
JRUBY,2009-11,0.3389830508474576,0.35,0.625,56
JRUBY,2009-12,0.2767857142857143,0.3269230769230769,0.7391304347826086,92
JRUBY,2010-01,0.31683168316831684,0.3469387755102041,0.7844827586206896,116
JRUBY,2010-02,0.27472527472527475,0.47619047619047616,0.7567567567567568,74
JRUBY,2010-03,0.3541666666666667,0.3888888888888889,0.7524752475247525,101
JRUBY,2010-04,0.3055555555555556,0.3148148148148148,0.7666666666666667,120
JRUBY,2010-05,0.24468085106382978,0.425,0.7,50
JRUBY,2010-06,0.37362637362637363,0.2549019607843137,0.7313432835820896,67
JRUBY,2010-07,0.24705882352941178,0.4411764705882353,0.6346153846153846,52
JRUBY,2010-08,0.33783783783783783,0.325,0.6296296296296297,81
JRUBY,2010-09,0.35365853658536583,0.47619047619047616,0.7045454545454546,44
JRUBY,2010-10,0.3673469387755102,0.375,0.7204301075268817,93
JRUBY,2010-11,0.21428571428571427,0.35714285714285715,0.6197183098591549,71
JRUBY,2010-12,0.3522727272727273,0.4782608695652174,0.6623376623376623,77
JRUBY,2011-01,0.4925373134328358,0.3522727272727273,0.6235294117647059,170
JRUBY,2011-02,0.2874251497005988,0.3291139240506329,0.6466165413533834,133
JRUBY,2011-03,0.304635761589404,0.3611111111111111,0.7984496124031008,129
JRUBY,2011-04,0.2846715328467153,0.27692307692307694,0.611764705882353,85
JRUBY,2011-05,0.30833333333333335,0.23636363636363636,0.6666666666666666,69
JRUBY,2011-06,0.29896907216494845,0.42857142857142855,0.64,50
JRUBY,2011-07,0.3939393939393939,0.43859649122807015,0.6923076923076923,78
JRUBY,2011-08,0.3333333333333333,0.2878787878787879,0.6875,64
JRUBY,2011-09,0.3511450381679389,0.24615384615384617,0.7142857142857143,63
JRUBY,2011-10,0.2956521739130435,0.3,0.6086956521739131,46
JRUBY,2011-11,0.4036697247706422,0.23728813559322035,0.7575757575757576,66
JRUBY,2011-12,0.32407407407407407,0.3877551020408163,0.6976744186046512,86
JRUBY,2012-01,0.5436241610738255,0.23,0.6266666666666667,150
JRUBY,2012-02,0.34574468085106386,0.18181818181818182,0.7115384615384616,156
JRUBY,2012-03,0.2463768115942029,0.3,0.6111111111111112,36
JRUBY,2012-04,0.4090909090909091,0.2833333333333333,0.6571428571428571,70
JRUBY,2012-05,0.36363636363636365,0.26229508196721313,0.7029702970297029,101
JRUBY,2012-06,0.32456140350877194,0.37735849056603776,0.65625,64
JRUBY,2012-07,0.2912621359223301,0.3,0.6483516483516484,91
JRUBY,2012-08,0.4491525423728814,0.22058823529411764,0.6285714285714286,105
JRUBY,2012-09,0.20192307692307693,0.4722222222222222,0.6481481481481481,54
JRUBY,2012-10,0.43617021276595747,0.22413793103448276,0.5174825174825175,143
JRUBY,2012-11,0.2604166666666667,0.2631578947368421,0.6206896551724138,58
JRUBY,2012-12,0.323943661971831,0.30303030303030304,0.6428571428571429,28
JRUBY,2013-01,0.328125,0.2903225806451613,0.47368421052631576,19
JRUBY,2013-02,0.3220338983050847,0.35714285714285715,0.7333333333333333,15
JRUBY,2013-03,0.3333333333333333,0.10344827586206896,0.7333333333333333,15
