Project,Period,Magnet,Sticky,Politeness,Tot_Comment
LUCENE,2001-11,0.3333333333333333,1.0,1.0,1
LUCENE,2001-12,0.2,0.0,0.0,2
LUCENE,2002-01,0.4,0.0,1.0,1
LUCENE,2002-02,0.6666666666666666,0.25,0.0,3
LUCENE,2002-03,0.5,0.3333333333333333,0.75,4
LUCENE,2002-04,0.3333333333333333,0.3333333333333333,0.6666666666666666,3
LUCENE,2002-05,0.2727272727272727,0.2,0.8,5
LUCENE,2002-06,0.14285714285714285,0.0,0.4,5
LUCENE,2002-07,0.5,0.5,nan,nan
LUCENE,2002-09,0.7,0.25,1.0,10
LUCENE,2002-10,0.09090909090909091,0.3333333333333333,0.5,4
LUCENE,2002-11,0.3333333333333333,0.0,nan,nan
LUCENE,2002-12,0.625,0.2,0.6666666666666666,3
LUCENE,2003-01,0.45454545454545453,0.16666666666666666,0.625,8
LUCENE,2003-02,0.3,0.5,0.8,5
LUCENE,2003-03,0.4,0.3333333333333333,0.5714285714285714,7
LUCENE,2003-04,0.38461538461538464,0.42857142857142855,0.7142857142857143,7
LUCENE,2003-05,0.3333333333333333,0.375,1.0,2
LUCENE,2003-06,0.21428571428571427,0.6666666666666666,0.3333333333333333,3
LUCENE,2003-07,0.16666666666666666,0.0,0.7142857142857143,7
LUCENE,2003-08,0.14285714285714285,1.0,nan,nan
LUCENE,2003-09,0.8333333333333334,0.36363636363636365,0.8571428571428571,7
LUCENE,2003-10,0.3181818181818182,0.36363636363636365,0.5555555555555556,9
LUCENE,2003-11,0.21052631578947367,0.125,0.5,4
LUCENE,2003-12,0.18181818181818182,0.6666666666666666,0.5,2
LUCENE,2004-01,0.4444444444444444,0.8333333333333334,1.0,9
LUCENE,2004-02,0.45,0.5714285714285714,0.9166666666666666,24
LUCENE,2004-03,0.3333333333333333,0.3684210526315789,0.76,25
LUCENE,2004-04,0.2972972972972973,0.3333333333333333,0.8,10
LUCENE,2004-05,0.14285714285714285,0.2,0.2857142857142857,7
LUCENE,2004-06,0.14285714285714285,0.5,0.0,1
LUCENE,2004-07,0.6842105263157895,0.5333333333333333,0.6666666666666666,12
LUCENE,2004-08,0.28125,0.47058823529411764,0.8571428571428571,28
LUCENE,2004-09,0.2647058823529412,0.4117647058823529,0.68,25
LUCENE,2004-10,0.1724137931034483,0.5,0.8,10
LUCENE,2004-11,0.3076923076923077,0.35714285714285715,0.8888888888888888,9
LUCENE,2004-12,0.20833333333333334,0.5,0.8333333333333334,6
LUCENE,2005-01,0.4230769230769231,0.5,0.9583333333333334,24
LUCENE,2005-02,0.22580645161290322,0.3333333333333333,0.8095238095238095,21
LUCENE,2005-03,0.25925925925925924,0.5,0.8571428571428571,14
LUCENE,2005-04,0.3793103448275862,0.4117647058823529,0.9565217391304348,23
LUCENE,2005-05,0.1724137931034483,0.4166666666666667,0.5882352941176471,17
LUCENE,2005-06,0.43333333333333335,0.5555555555555556,0.75,20
LUCENE,2005-07,0.24324324324324326,0.3157894736842105,0.6956521739130435,23
LUCENE,2005-08,0.16666666666666666,0.18181818181818182,0.8823529411764706,17
LUCENE,2005-09,0.43478260869565216,0.5833333333333334,0.5833333333333334,12
LUCENE,2005-10,0.4411764705882353,0.45454545454545453,0.78125,32
LUCENE,2005-11,0.2558139534883721,0.42857142857142855,0.7857142857142857,28
LUCENE,2005-12,0.21052631578947367,0.29411764705882354,0.7368421052631579,19
LUCENE,2006-01,0.3888888888888889,0.3684210526315789,0.75,16
LUCENE,2006-02,0.07142857142857142,0.6666666666666666,0.8333333333333334,6
LUCENE,2006-03,0.6341463414634146,0.375,0.7368421052631579,57
LUCENE,2006-04,0.2903225806451613,0.43333333333333335,0.84375,32
LUCENE,2006-05,0.24561403508771928,0.5185185185185185,0.7254901960784313,51
LUCENE,2006-06,0.2545454545454545,0.42857142857142855,0.7631578947368421,38
LUCENE,2006-07,0.24528301886792453,0.52,0.8275862068965517,29
LUCENE,2006-08,0.3090909090909091,0.5,0.7818181818181819,55
LUCENE,2006-09,0.19642857142857142,0.5,0.8928571428571429,28
LUCENE,2006-10,0.35,0.4411764705882353,0.7432432432432432,74
LUCENE,2006-11,0.24615384615384617,0.4838709677419355,0.8541666666666666,96
LUCENE,2006-12,0.22033898305084745,0.5714285714285714,0.7592592592592593,54
LUCENE,2007-01,0.2542372881355932,0.4838709677419355,0.7708333333333334,96
LUCENE,2007-02,0.2698412698412698,0.625,0.75,60
LUCENE,2007-03,0.1875,0.5625,0.8050847457627118,118
LUCENE,2007-04,0.18032786885245902,0.5517241379310345,0.8524590163934426,61
LUCENE,2007-05,0.27419354838709675,0.45454545454545453,0.7402597402597403,77
LUCENE,2007-06,0.15789473684210525,0.5833333333333334,0.81,100
LUCENE,2007-07,0.2830188679245283,0.5172413793103449,0.8166666666666667,60
LUCENE,2007-08,0.12,0.5714285714285714,0.8735632183908046,87
LUCENE,2007-09,0.2826086956521739,0.56,0.8653846153846154,52
LUCENE,2007-10,0.20408163265306123,0.7083333333333334,0.7721518987341772,79
LUCENE,2007-11,0.3387096774193548,0.4473684210526316,0.8677685950413223,121
LUCENE,2007-12,0.16666666666666666,0.5357142857142857,0.8536585365853658,82
LUCENE,2008-01,0.3064516129032258,0.5294117647058824,0.7614678899082569,109
LUCENE,2008-02,0.2777777777777778,0.5263157894736842,0.8714285714285714,70
LUCENE,2008-03,0.18309859154929578,0.45454545454545453,0.8382352941176471,68
LUCENE,2008-04,0.1724137931034483,0.52,0.6,30
LUCENE,2008-05,0.4153846153846154,0.325,0.8333333333333334,90
LUCENE,2008-06,0.208955223880597,0.5185185185185185,0.8421052631578947,57
LUCENE,2008-07,0.359375,0.4594594594594595,0.921875,64
LUCENE,2008-08,0.21739130434782608,0.46875,0.7894736842105263,95
LUCENE,2008-09,0.36486486486486486,0.42857142857142855,0.8440366972477065,109
LUCENE,2008-10,0.15492957746478872,0.6551724137931034,0.925,80
LUCENE,2008-11,0.2727272727272727,0.5945945945945946,0.8789808917197452,157
LUCENE,2008-12,0.2804878048780488,0.5555555555555556,0.8820960698689956,229
