Project,Period,Magnet,Sticky,Politeness,Tot_Comment
SOLR,2006-02,0.0,1.0,nan,nan
SOLR,2006-03,0.5,0.6666666666666666,1.0,6
SOLR,2006-04,0.2857142857142857,0.75,0.7142857142857143,7
SOLR,2006-05,0.3,0.6666666666666666,1.0,15
SOLR,2006-06,0.09090909090909091,0.8,0.6666666666666666,6
SOLR,2006-07,0.4,0.6,0.8181818181818182,22
SOLR,2006-08,0.0,0.6666666666666666,1.0,12
SOLR,2006-09,0.3333333333333333,0.5555555555555556,0.875,8
SOLR,2006-10,0.17647058823529413,0.75,1.0,6
SOLR,2006-11,0.391304347826087,0.6666666666666666,0.7777777777777778,45
SOLR,2006-12,0.24242424242424243,0.6111111111111112,0.7837837837837838,37
SOLR,2007-01,0.17142857142857143,0.7058823529411765,0.8108108108108109,74
SOLR,2007-02,0.21621621621621623,0.5,0.8227848101265823,79
SOLR,2007-03,0.25,0.55,0.8431372549019608,51
SOLR,2007-04,0.27906976744186046,0.6086956521739131,0.7441860465116279,43
SOLR,2007-05,0.27450980392156865,0.5357142857142857,0.6447368421052632,76
SOLR,2007-06,0.2037037037037037,0.6538461538461539,0.7948717948717948,78
SOLR,2007-07,0.21818181818181817,0.5862068965517241,0.8380952380952381,105
SOLR,2007-08,0.17857142857142858,0.6296296296296297,0.8,25
SOLR,2007-09,0.22807017543859648,0.5,0.7368421052631579,57
SOLR,2007-10,0.3283582089552239,0.35135135135135137,0.8076923076923077,52
SOLR,2007-11,0.2537313432835821,0.4,0.7555555555555555,45
SOLR,2007-12,0.16,0.6,0.7619047619047619,63
SOLR,2008-01,0.37254901960784315,0.6129032258064516,0.8395061728395061,81
SOLR,2008-02,0.2753623188405797,0.5,0.8194444444444444,72
SOLR,2008-03,0.14925373134328357,0.6551724137931034,0.8048780487804879,41
SOLR,2008-04,0.1724137931034483,0.6206896551724138,0.7659574468085106,47
SOLR,2008-05,0.22950819672131148,0.59375,0.7833333333333333,120
SOLR,2008-06,0.3013698630136986,0.4878048780487805,0.8557692307692307,104
SOLR,2008-07,0.26506024096385544,0.6428571428571429,0.84,150
SOLR,2008-08,0.26595744680851063,0.4230769230769231,0.7351351351351352,185
SOLR,2008-09,0.12941176470588237,0.5151515151515151,0.6571428571428571,70
SOLR,2008-10,0.34210526315789475,0.5116279069767442,0.78125,96
SOLR,2008-11,0.3229166666666667,0.5283018867924528,0.6981132075471698,106
SOLR,2008-12,0.17346938775510204,0.4444444444444444,0.7931034482758621,145
SOLR,2009-01,0.2261904761904762,0.48717948717948717,0.8378378378378378,74
SOLR,2009-02,0.22666666666666666,0.4722222222222222,0.7755102040816326,98
SOLR,2009-03,0.35365853658536583,0.41304347826086957,0.7523809523809524,105
SOLR,2009-04,0.2261904761904762,0.6052631578947368,0.7738095238095238,84
SOLR,2009-05,0.3146067415730337,0.5098039215686274,0.6396396396396397,111
SOLR,2009-06,0.28703703703703703,0.45614035087719296,0.6542056074766355,107
SOLR,2009-07,0.18627450980392157,0.6222222222222222,0.826530612244898,98
SOLR,2009-08,0.3177570093457944,0.5483870967741935,0.6666666666666666,177
SOLR,2009-09,0.2835820895522388,0.3888888888888889,0.7866108786610879,239
SOLR,2009-10,0.18032786885245902,0.44,0.7222222222222222,108
SOLR,2009-11,0.3333333333333333,0.39655172413793105,0.4930555555555556,144
SOLR,2009-12,0.3017241379310345,0.4827586206896552,0.7573770491803279,305
SOLR,2010-01,0.23214285714285715,0.48148148148148145,0.7354838709677419,155
SOLR,2010-02,0.2857142857142857,0.41379310344827586,0.676056338028169,71
SOLR,2010-03,0.29914529914529914,0.3898305084745763,0.7395833333333334,96
SOLR,2010-04,0.26785714285714285,0.4339622641509434,0.8115942028985508,69
SOLR,2010-05,0.22448979591836735,0.5111111111111111,0.8205128205128205,78
SOLR,2010-06,0.32673267326732675,0.30357142857142855,0.796875,64
SOLR,2010-07,0.3302752293577982,0.4528301886792453,0.8518518518518519,81
SOLR,2010-08,0.3185840707964602,0.4666666666666667,0.8083333333333333,120
SOLR,2010-09,0.24786324786324787,0.5087719298245614,0.8089887640449438,89
SOLR,2010-10,0.25862068965517243,0.4915254237288136,0.7638888888888888,144
SOLR,2010-11,0.26666666666666666,0.4262295081967213,0.7684210526315789,95
SOLR,2010-12,0.2809917355371901,0.48333333333333334,0.7391304347826086,115
SOLR,2011-01,0.288,0.4153846153846154,0.8043478260869565,138
SOLR,2011-02,0.2396694214876033,0.44642857142857145,0.72,150
SOLR,2011-03,0.2767857142857143,0.4642857142857143,0.710691823899371,159
SOLR,2011-04,0.26126126126126126,0.45454545454545453,0.7464788732394366,142
SOLR,2011-05,0.3220338983050847,0.5396825396825397,0.806930693069307,202
SOLR,2011-06,0.2706766917293233,0.5285714285714286,0.7224080267558528,299
SOLR,2011-07,0.183206106870229,0.45901639344262296,0.7692307692307693,156
SOLR,2011-08,0.27049180327868855,0.5573770491803278,0.7326732673267327,101
SOLR,2011-09,0.26356589147286824,0.4411764705882353,0.8194444444444444,216
SOLR,2011-10,0.3287671232876712,0.46153846153846156,0.776536312849162,179
SOLR,2011-11,0.2692307692307692,0.46153846153846156,0.5154185022026432,227
SOLR,2011-12,0.2549019607843137,0.4666666666666667,0.7515527950310559,161
SOLR,2012-01,0.3125,0.5294117647058824,0.751269035532995,197
SOLR,2012-02,0.2073170731707317,0.5949367088607594,0.7293233082706767,266
SOLR,2012-03,0.2631578947368421,0.44565217391304346,0.46405228758169936,612
SOLR,2012-04,0.24858757062146894,0.43529411764705883,0.6912751677852349,298
SOLR,2012-05,0.24691358024691357,0.35064935064935066,0.7961783439490446,157
SOLR,2012-06,0.2676056338028169,0.4461538461538462,0.7142857142857143,168
SOLR,2012-07,0.3237410071942446,0.4189189189189189,0.4135135135135135,370
SOLR,2012-08,0.2391304347826087,0.46875,0.664,125
SOLR,2012-09,0.38961038961038963,0.34444444444444444,0.6221498371335505,307
SOLR,2012-10,0.27976190476190477,0.3974358974358974,0.7777777777777778,144
SOLR,2012-11,0.3312883435582822,0.4823529411764706,0.6062992125984252,254
SOLR,2012-12,0.28,0.45555555555555555,0.6370370370370371,405
SOLR,2013-01,0.30319148936170215,0.336734693877551,0.5415549597855228,373
SOLR,2013-02,0.2681564245810056,0.48148148148148145,0.6334661354581673,251
SOLR,2013-03,0.34782608695652173,0.44660194174757284,0.491701244813278,482
SOLR,2013-04,0.28019323671497587,0.41346153846153844,0.6821917808219178,365
SOLR,2013-05,0.2613065326633166,0.42105263157894735,0.735191637630662,287
SOLR,2013-06,0.27807486631016043,0.41304347826086957,0.6902356902356902,297
SOLR,2013-07,0.26136363636363635,0.42857142857142855,0.5776699029126213,412
SOLR,2013-08,0.27710843373493976,0.4268292682926829,0.751219512195122,205
SOLR,2013-09,0.20408163265306123,0.5384615384615384,0.775,160
SOLR,2013-10,0.3464052287581699,0.4318181818181818,0.7653631284916201,179
SOLR,2013-11,0.24096385542168675,0.46153846153846156,0.8020304568527918,197
SOLR,2013-12,0.21379310344827587,0.0,0.722972972972973,148
