Project,Period,Magnet,Sticky,Politeness,Tot_Comment
ZOOKEEPER,2008-07,0.391304347826087,0.6666666666666666,0.6847826086956522,92
ZOOKEEPER,2008-08,0.07407407407407407,0.5,0.6938775510204082,49
ZOOKEEPER,2008-09,0.1,1.0,0.8333333333333334,36
ZOOKEEPER,2008-10,0.1111111111111111,0.5,0.7391304347826086,46
ZOOKEEPER,2008-11,0.2857142857142857,0.45454545454545453,0.75,28
ZOOKEEPER,2008-12,0.23809523809523808,0.5,0.7407407407407407,27
ZOOKEEPER,2009-01,0.3181818181818182,0.5833333333333334,0.7931034482758621,29
ZOOKEEPER,2009-02,0.24,0.6153846153846154,0.7692307692307693,26
ZOOKEEPER,2009-03,0.16,0.75,0.8275862068965517,29
ZOOKEEPER,2009-04,0.3,0.3333333333333333,0.8072289156626506,83
ZOOKEEPER,2009-05,0.1724137931034483,0.6363636363636364,0.6506024096385542,83
ZOOKEEPER,2009-06,0.3793103448275862,0.5555555555555556,0.7647058823529411,68
ZOOKEEPER,2009-07,0.15151515151515152,0.4666666666666667,0.9016393442622951,61
ZOOKEEPER,2009-08,0.21428571428571427,0.46153846153846156,0.9024390243902439,41
ZOOKEEPER,2009-09,0.24,0.5833333333333334,0.7083333333333334,24
ZOOKEEPER,2009-10,0.32142857142857145,0.625,0.8714285714285714,70
ZOOKEEPER,2009-11,0.16129032258064516,0.4,0.7922077922077922,77
ZOOKEEPER,2009-12,0.3,0.7333333333333333,0.75,44
ZOOKEEPER,2010-01,0.23529411764705882,0.47368421052631576,0.8115942028985508,69
ZOOKEEPER,2010-02,0.2631578947368421,0.5263157894736842,0.8333333333333334,60
ZOOKEEPER,2010-03,0.23684210526315788,0.47368421052631576,0.8217821782178217,101
ZOOKEEPER,2010-04,0.3488372093023256,0.5833333333333334,0.8387096774193549,62
ZOOKEEPER,2010-05,0.20833333333333334,0.4583333333333333,0.8591549295774648,71
ZOOKEEPER,2010-06,0.2553191489361702,0.4782608695652174,0.9411764705882353,51
ZOOKEEPER,2010-07,0.2916666666666667,0.6,0.8181818181818182,77
ZOOKEEPER,2010-08,0.2,0.6,0.8714285714285714,70
ZOOKEEPER,2010-09,0.24528301886792453,0.5714285714285714,0.8309859154929577,71
ZOOKEEPER,2010-10,0.22807017543859648,0.5862068965517241,0.8928571428571429,84
ZOOKEEPER,2010-11,0.2698412698412698,0.5882352941176471,0.8759124087591241,137
ZOOKEEPER,2010-12,0.1,0.4230769230769231,0.8571428571428571,63
ZOOKEEPER,2011-01,0.13953488372093023,0.5882352941176471,0.8,45
ZOOKEEPER,2011-02,0.34146341463414637,0.5833333333333334,0.847457627118644,59
ZOOKEEPER,2011-03,0.36666666666666664,0.4444444444444444,0.7468354430379747,79
ZOOKEEPER,2011-04,0.22388059701492538,0.6129032258064516,0.8235294117647058,51
ZOOKEEPER,2011-05,0.1935483870967742,0.5483870967741935,0.8717948717948718,78
ZOOKEEPER,2011-06,0.323943661971831,0.575,0.9174311926605505,109
ZOOKEEPER,2011-07,0.27586206896551724,0.2765957446808511,0.8651685393258427,89
ZOOKEEPER,2011-08,0.13043478260869565,0.5454545454545454,0.8970588235294118,68
ZOOKEEPER,2011-09,0.4426229508196721,0.48717948717948717,0.823170731707317,164
ZOOKEEPER,2011-10,0.22666666666666666,0.5,0.8513513513513513,74
ZOOKEEPER,2011-11,0.18181818181818182,0.6,0.7407407407407407,81
ZOOKEEPER,2011-12,0.2835820895522388,0.5405405405405406,0.8505747126436781,87
ZOOKEEPER,2012-01,0.2875,0.37209302325581395,0.8306451612903226,124
ZOOKEEPER,2012-02,0.15714285714285714,0.5555555555555556,0.7297297297297297,37
ZOOKEEPER,2012-03,0.3225806451612903,0.42857142857142855,0.863013698630137,73
ZOOKEEPER,2012-04,0.24242424242424243,0.4838709677419355,0.7777777777777778,54
ZOOKEEPER,2012-05,0.19298245614035087,0.5384615384615384,0.8372093023255814,43
ZOOKEEPER,2012-06,0.38461538461538464,0.41025641025641024,0.8153846153846154,65
ZOOKEEPER,2012-07,0.16666666666666666,0.5185185185185185,0.8888888888888888,54
ZOOKEEPER,2012-08,0.29310344827586204,0.3225806451612903,0.7333333333333333,45
ZOOKEEPER,2012-09,0.2545454545454545,0.4166666666666667,0.8648648648648649,37
ZOOKEEPER,2012-10,0.3584905660377358,0.4482758620689655,0.8163265306122449,49
ZOOKEEPER,2012-11,0.36363636363636365,0.5675675675675675,0.6363636363636364,33
ZOOKEEPER,2012-12,0.15942028985507245,0.4375,0.84,100
ZOOKEEPER,2013-01,0.2459016393442623,0.5517241379310345,0.7313432835820896,67
ZOOKEEPER,2013-02,0.2857142857142857,0.5,0.6825396825396826,63
ZOOKEEPER,2013-03,0.2608695652173913,0.3142857142857143,0.7111111111111111,45
ZOOKEEPER,2013-04,0.14814814814814814,0.47368421052631576,0.825,40
ZOOKEEPER,2013-05,0.42857142857142855,0.4,0.7605633802816901,71
ZOOKEEPER,2013-06,0.16,0.55,0.6190476190476191,21
ZOOKEEPER,2013-07,0.3111111111111111,0.48,0.7619047619047619,42
ZOOKEEPER,2013-08,0.3620689655172414,0.3939393939393939,0.7027027027027027,37
ZOOKEEPER,2013-09,0.3333333333333333,0.5,0.782051282051282,78
ZOOKEEPER,2013-10,0.2894736842105263,0.425,0.711764705882353,170
ZOOKEEPER,2013-11,0.18571428571428572,0.3333333333333333,0.8495575221238938,113
ZOOKEEPER,2013-12,0.1111111111111111,0.0,0.813953488372093,43
