IssueID,ProjectName,Politeness,FixingTime_hours,Assignee,AssigneeAct,Project
535110,JRuby (please use github issues at http://bugs.jruby.org),impolite,19004.7064,87535,VHIGH,JRUBY
535114,JRuby (please use github issues at http://bugs.jruby.org),polite,542.723,46258,VHIGH,JRUBY
574710,JBoss Enterprise Application Platform 4 and 5,impolite,305.7228,110,HIGH,JBPAPP
574712,JBoss Enterprise Application Platform 4 and 5,impolite,6398.7731,87171,STD,JBPAPP
535106,JRuby (please use github issues at http://bugs.jruby.org),polite,136.2336,87535,VHIGH,JRUBY
3631,Hibernate ORM,polite,71.3202,100,VHIGH,HHH
535107,JRuby (please use github issues at http://bugs.jruby.org),impolite,152.5479,87535,VHIGH,JRUBY
574715,JBoss Enterprise Application Platform 4 and 5,impolite,18216.8356,73290,HIGH,JBPAPP
3632,Hibernate ORM,mixed,59.5458,57,VHIGH,HHH
535108,JRuby (please use github issues at http://bugs.jruby.org),polite,481.0642,46258,VHIGH,JRUBY
574716,JBoss Enterprise Application Platform 4 and 5,impolite,1876.8747,78029,STD,JBPAPP
3633,Hibernate ORM,impolite,165.7075,0,null,HHH
535109,JRuby (please use github issues at http://bugs.jruby.org),mixed,1253.4029,46258,VHIGH,JRUBY
3634,Hibernate ORM,mixed,1910.6271,100,VHIGH,HHH
574718,JBoss Enterprise Application Platform 4 and 5,mixed,18400.0067,9119,VHIGH,JBPAPP
574719,JBoss Enterprise Application Platform 4 and 5,impolite,7222.4981,3950,STD,JBPAPP
535122,JRuby (please use github issues at http://bugs.jruby.org),impolite,1.0831,87535,VHIGH,JRUBY
535123,JRuby (please use github issues at http://bugs.jruby.org),impolite,1.0819,87535,VHIGH,JRUBY
535124,JRuby (please use github issues at http://bugs.jruby.org),polite,1429.712,46258,VHIGH,JRUBY
3650,Hibernate ORM,impolite,408.6039,100,VHIGH,HHH
3651,Hibernate ORM,mixed,435.4301,100,VHIGH,HHH
535127,JRuby (please use github issues at http://bugs.jruby.org),polite,1450.6467,46258,VHIGH,JRUBY
574721,JBoss Enterprise Application Platform 4 and 5,mixed,926.2789,74882,VHIGH,JBPAPP
574725,JBoss Enterprise Application Platform 4 and 5,impolite,148.8375,110,HIGH,JBPAPP
3642,Hibernate ORM,polite,2674.1363,0,null,HHH
574726,JBoss Enterprise Application Platform 4 and 5,impolite,26326.575,66859,HIGH,JBPAPP
535119,JRuby (please use github issues at http://bugs.jruby.org),polite,5174.1922,74274,VHIGH,JRUBY
3662,Hibernate ORM,mixed,362.2837,100,VHIGH,HHH
574733,JBoss Enterprise Application Platform 4 and 5,impolite,1825.2489,78029,STD,JBPAPP
574735,JBoss Enterprise Application Platform 4 and 5,impolite,6374.3414,73667,VHIGH,JBPAPP
3653,Hibernate ORM,polite,2219.462,100,VHIGH,HHH
574737,JBoss Enterprise Application Platform 4 and 5,impolite,44.2008,9119,VHIGH,JBPAPP
574739,JBoss Enterprise Application Platform 4 and 5,mixed,3494.05,84608,HIGH,JBPAPP
3659,Hibernate ORM,mixed,3023.3319,0,null,HHH
535101,JRuby (please use github issues at http://bugs.jruby.org),polite,3291.7717,46258,VHIGH,JRUBY
3670,Hibernate ORM,polite,1515.675,837,VHIGH,HHH
3671,Hibernate ORM,impolite,36.1213,57,VHIGH,HHH
535104,JRuby (please use github issues at http://bugs.jruby.org),impolite,0.4977,0,null,JRUBY
574742,JBoss Enterprise Application Platform 4 and 5,mixed,8049.9464,73583,HIGH,JBPAPP
574743,JBoss Enterprise Application Platform 4 and 5,mixed,4099.1067,73054,STD,JBPAPP
574745,JBoss Enterprise Application Platform 4 and 5,mixed,212.3022,73980,HIGH,JBPAPP
574746,JBoss Enterprise Application Platform 4 and 5,mixed,3491.3914,84608,HIGH,JBPAPP
3663,Hibernate ORM,impolite,3066.9709,0,null,HHH
574747,JBoss Enterprise Application Platform 4 and 5,impolite,6707.4436,110,HIGH,JBPAPP
574748,JBoss Enterprise Application Platform 4 and 5,polite,2744.8569,73583,HIGH,JBPAPP
574749,JBoss Enterprise Application Platform 4 and 5,mixed,1849.1019,4451,HIGH,JBPAPP
3666,Hibernate ORM,impolite,2298.3639,100,VHIGH,HHH
3667,Hibernate ORM,impolite,161.8601,100,VHIGH,HHH
