IssueID,ProjectName,Politeness,FixingTime_(hours)
535110,JRuby (please use github issues at http://bugs.jruby.org),impolite,19004.7064
535114,JRuby (please use github issues at http://bugs.jruby.org),polite,542.723
574710,JBoss Enterprise Application Platform 4 and 5,impolite,305.7228
574712,JBoss Enterprise Application Platform 4 and 5,impolite,6398.7731
535106,JRuby (please use github issues at http://bugs.jruby.org),polite,136.2336
3631,Hibernate ORM,polite,71.3202
535107,JRuby (please use github issues at http://bugs.jruby.org),impolite,152.5479
574715,JBoss Enterprise Application Platform 4 and 5,impolite,18216.8356
3632,Hibernate ORM,mixed,59.5458
535108,JRuby (please use github issues at http://bugs.jruby.org),polite,481.0642
574716,JBoss Enterprise Application Platform 4 and 5,impolite,1876.8747
3633,Hibernate ORM,impolite,165.7075
535109,JRuby (please use github issues at http://bugs.jruby.org),mixed,1253.4029
3634,Hibernate ORM,mixed,1910.6271
574718,JBoss Enterprise Application Platform 4 and 5,mixed,18400.0067
574719,JBoss Enterprise Application Platform 4 and 5,impolite,7222.4981
535122,JRuby (please use github issues at http://bugs.jruby.org),impolite,1.0831
535123,JRuby (please use github issues at http://bugs.jruby.org),impolite,1.0819
535124,JRuby (please use github issues at http://bugs.jruby.org),polite,1429.712
3650,Hibernate ORM,impolite,408.6039
3651,Hibernate ORM,mixed,435.4301
535127,JRuby (please use github issues at http://bugs.jruby.org),polite,1450.6467
574721,JBoss Enterprise Application Platform 4 and 5,mixed,926.2789
574725,JBoss Enterprise Application Platform 4 and 5,impolite,148.8375
3642,Hibernate ORM,polite,2674.1363
574726,JBoss Enterprise Application Platform 4 and 5,impolite,26326.575
535119,JRuby (please use github issues at http://bugs.jruby.org),polite,5174.1922
3662,Hibernate ORM,mixed,362.2837
574733,JBoss Enterprise Application Platform 4 and 5,impolite,1825.2489
574735,JBoss Enterprise Application Platform 4 and 5,impolite,6374.3414
3653,Hibernate ORM,polite,2219.462
574737,JBoss Enterprise Application Platform 4 and 5,impolite,44.2008
574739,JBoss Enterprise Application Platform 4 and 5,mixed,3494.05
3659,Hibernate ORM,mixed,3023.3319
535101,JRuby (please use github issues at http://bugs.jruby.org),polite,3291.7717
3670,Hibernate ORM,polite,1515.675
3671,Hibernate ORM,impolite,36.1213
535104,JRuby (please use github issues at http://bugs.jruby.org),impolite,0.4977
574742,JBoss Enterprise Application Platform 4 and 5,mixed,8049.9464
574743,JBoss Enterprise Application Platform 4 and 5,mixed,4099.1067
574745,JBoss Enterprise Application Platform 4 and 5,mixed,212.3022
574746,JBoss Enterprise Application Platform 4 and 5,mixed,3491.3914
3663,Hibernate ORM,impolite,3066.9709
574747,JBoss Enterprise Application Platform 4 and 5,impolite,6707.4436
574748,JBoss Enterprise Application Platform 4 and 5,polite,2744.8569
574749,JBoss Enterprise Application Platform 4 and 5,mixed,1849.1019
3666,Hibernate ORM,impolite,2298.3639
3667,Hibernate ORM,impolite,161.8601
3669,Hibernate ORM,polite,1015.657
3681,Hibernate ORM,impolite,38.1353
3675,Hibernate ORM,impolite,151.5691
128701,OFBiz,polite,96.1637
3676,Hibernate ORM,polite,3199.4275
128702,OFBiz,impolite,3273.4955
3677,Hibernate ORM,impolite,0.3453
128703,OFBiz,impolite,3273.5426
128704,OFBiz,mixed,1245.7588
128705,OFBiz,polite,287.826
128706,OFBiz,impolite,170.3323
535131,JRuby (please use github issues at http://bugs.jruby.org),impolite,4.0219
535134,JRuby (please use github issues at http://bugs.jruby.org),polite,16.9516
535136,JRuby (please use github issues at http://bugs.jruby.org),mixed,6792.5589
535137,JRuby (please use github issues at http://bugs.jruby.org),polite,7032.3046
535138,JRuby (please use github issues at http://bugs.jruby.org),polite,44.4363
535128,JRuby (please use github issues at http://bugs.jruby.org),polite,772.1986
535129,JRuby (please use github issues at http://bugs.jruby.org),mixed,1467.88
535142,JRuby (please use github issues at http://bugs.jruby.org),impolite,5346.9884
535144,JRuby (please use github issues at http://bugs.jruby.org),polite,1641.0478
535145,JRuby (please use github issues at http://bugs.jruby.org),mixed,32001.9899
535147,JRuby (please use github issues at http://bugs.jruby.org),impolite,1407.063
535148,JRuby (please use github issues at http://bugs.jruby.org),impolite,94.3378
535149,JRuby (please use github issues at http://bugs.jruby.org),impolite,100.4848
535141,JRuby (please use github issues at http://bugs.jruby.org),polite,26770.0042
574700,JBoss Enterprise Application Platform 4 and 5,impolite,2782.0931
574701,JBoss Enterprise Application Platform 4 and 5,impolite,84.4453
574702,JBoss Enterprise Application Platform 4 and 5,mixed,309.0944
535139,JRuby (please use github issues at http://bugs.jruby.org),mixed,18923.8804
574703,JBoss Enterprise Application Platform 4 and 5,impolite,263.7942
574705,JBoss Enterprise Application Platform 4 and 5,impolite,0.6286
574708,JBoss Enterprise Application Platform 4 and 5,impolite,11.9483
85370,Solr,polite,192.1572
153716,Lucene - Core,polite,6.0409
153717,Lucene - Core,polite,382.419
153718,Lucene - Core,polite,47.4446
153719,Lucene - Core,mixed,22.001
36409,Wicket,polite,20.7884
608665,GeoServer,impolite,7821.5057
608660,GeoServer,mixed,378.5814
36400,Wicket,polite,2.7132
128745,OFBiz,polite,611.2658
85375,Solr,mixed,6434.5361
85373,Solr,polite,51.0578
85374,Solr,polite,1.1944
608667,GeoServer,mixed,6.1479
608668,GeoServer,impolite,7837.7563
36406,Wicket,polite,0.4983
85372,Solr,polite,2318.9525
608669,GeoServer,impolite,5567.1011
153702,Lucene - Core,polite,677.9312
153703,Lucene - Core,mixed,1358.9899
153705,Lucene - Core,mixed,2061.2734
153706,Lucene - Core,polite,55.3121
153707,Lucene - Core,polite,95.6375
153708,Lucene - Core,mixed,147.1646
153709,Lucene - Core,polite,137.1602
608653,GeoServer,impolite,7528.2392
85368,Solr,polite,12.5106
608650,GeoServer,impolite,7465.8262
85367,Solr,polite,1859.0594
85364,Solr,polite,19041.3123
128735,OFBiz,impolite,462.8914
85365,Solr,mixed,73.5997
85362,Solr,polite,181.3367
85363,Solr,polite,691.9339
128739,OFBiz,polite,141.0739
608657,GeoServer,impolite,487.2863
608658,GeoServer,mixed,3877.9865
128730,OFBiz,polite,453.7061
153735,Lucene - Core,polite,125.5001
153737,Lucene - Core,impolite,9740.4537
153739,Lucene - Core,impolite,98.3752
128722,OFBiz,polite,225.6629
153721,Lucene - Core,mixed,5550.1387
153722,Lucene - Core,polite,23.417
153723,Lucene - Core,mixed,1087.3988
153728,Lucene - Core,mixed,1297.1938
128716,OFBiz,mixed,23130.4712
128717,OFBiz,mixed,1671.9517
128792,OFBiz,mixed,575.657
128793,OFBiz,polite,616.118
128794,OFBiz,polite,134.8303
128795,OFBiz,polite,1150.7895
128798,OFBiz,impolite,1.4733
128790,OFBiz,mixed,1083.3526
128789,OFBiz,polite,559.8931
128780,OFBiz,mixed,6098.5142
128783,OFBiz,mixed,218.1045
128784,OFBiz,polite,2478.2446
128785,OFBiz,impolite,270.0594
128787,OFBiz,impolite,326.7933
128778,OFBiz,mixed,20737.3991
128779,OFBiz,polite,112.9882
128773,OFBiz,impolite,687.6652
128775,OFBiz,polite,45.6133
128766,OFBiz,polite,4826.8735
128762,OFBiz,polite,103.9131
128755,OFBiz,impolite,0.8234
36360,Wicket,polite,219.067
153672,Lucene - Core,polite,26.6066
153673,Lucene - Core,mixed,2670.3869
36362,Wicket,polite,65.5309
36365,Wicket,mixed,22047.8904
