Project,AuthorID,CommentCount,IssueCount,Ranking
CAMEL,7111,11575,4764,VHIGH
CAMEL,27115,2317,1435,VHIGH
CAMEL,486,989,380,VHIGH
CAMEL,23092,645,378,VHIGH
CAMEL,8385,518,329,VHIGH
CAMEL,27118,451,202,VHIGH
CAMEL,25190,441,184,VHIGH
CAMEL,27384,281,69,VHIGH
CAMEL,8098,265,87,VHIGH
CAMEL,3299,224,102,HIGH
CAMEL,7850,152,69,HIGH
CAMEL,27203,133,65,HIGH
CAMEL,27183,130,47,HIGH
CAMEL,50364,115,52,HIGH
CAMEL,12014,111,71,HIGH
CAMEL,39691,107,34,HIGH
CAMEL,27396,106,57,HIGH
CAMEL,27359,104,38,HIGH
CAMEL,27288,100,43,HIGH
CAMEL,16147,91,17,HIGH
CAMEL,8459,88,62,HIGH
CAMEL,7973,87,58,HIGH
CAMEL,27362,86,37,HIGH
CAMEL,17132,76,45,HIGH
CAMEL,32097,75,16,HIGH
CAMEL,15241,66,29,HIGH
CAMEL,59918,65,23,HIGH
CAMEL,193,64,46,HIGH
CAMEL,15183,62,35,HIGH
CAMEL,20378,62,43,HIGH
CAMEL,29770,56,23,HIGH
CAMEL,17073,53,28,HIGH
CAMEL,39658,52,18,HIGH
CAMEL,8337,51,45,HIGH
CAMEL,27434,50,22,HIGH
CAMEL,3883,48,20,HIGH
CAMEL,12029,48,18,HIGH
CAMEL,15240,48,19,HIGH
CAMEL,53434,44,21,HIGH
CAMEL,1134,44,9,HIGH
CAMEL,2284,44,14,HIGH
CAMEL,60061,40,29,HIGH
CAMEL,15217,40,20,HIGH
CAMEL,27338,40,15,HIGH
CAMEL,59882,39,11,HIGH
CAMEL,15570,38,23,HIGH
CAMEL,33625,37,13,HIGH
CAMEL,50302,36,14,HIGH
CAMEL,59776,36,5,HIGH
CAMEL,15253,36,15,HIGH
CAMEL,59296,34,11,HIGH
CAMEL,59753,34,5,HIGH
CAMEL,59346,34,10,HIGH
CAMEL,9794,31,16,HIGH
CAMEL,12024,28,11,HIGH
CAMEL,51326,28,3,HIGH
CAMEL,15863,27,12,HIGH
CAMEL,39901,27,5,HIGH
CAMEL,13977,26,5,HIGH
CAMEL,2890,26,15,HIGH
CAMEL,27361,26,7,HIGH
CAMEL,59574,26,7,HIGH
CAMEL,27337,25,13,HIGH
CAMEL,39652,24,10,HIGH
CAMEL,22316,23,9,HIGH
CAMEL,26008,23,9,HIGH
CAMEL,12034,23,4,HIGH
CAMEL,59968,23,5,HIGH
CAMEL,12006,23,10,HIGH
CAMEL,50033,22,2,HIGH
CAMEL,59511,22,4,HIGH
CAMEL,27323,21,3,HIGH
CAMEL,8450,21,9,HIGH
CAMEL,8149,21,12,HIGH
CAMEL,53240,20,10,HIGH
CAMEL,59377,20,3,HIGH
CAMEL,53602,20,13,HIGH
CAMEL,59740,20,8,HIGH
CAMEL,59665,20,7,HIGH
CAMEL,41814,20,6,HIGH
CAMEL,27160,20,10,HIGH
CAMEL,21661,20,9,HIGH
CAMEL,27386,19,4,HIGH
CAMEL,40052,19,6,HIGH
CAMEL,60026,19,8,HIGH
CAMEL,27571,19,12,HIGH
CAMEL,27379,18,5,HIGH
CAMEL,20703,18,6,HIGH
CAMEL,25253,18,10,HIGH
CAMEL,27392,18,5,HIGH
CAMEL,59710,17,9,STD
CAMEL,60012,17,3,STD
CAMEL,59995,17,11,STD
CAMEL,53018,17,9,STD
CAMEL,33057,16,2,STD
CAMEL,192,16,7,STD
CAMEL,3562,16,6,STD
CAMEL,9758,16,8,STD
CAMEL,27389,15,5,STD
CAMEL,52995,15,6,STD
CAMEL,9943,15,7,STD
CAMEL,27523,15,7,STD
CAMEL,59671,15,6,STD
CAMEL,59900,15,5,STD
CAMEL,7805,15,7,STD
CAMEL,50455,15,3,STD
CAMEL,59598,15,2,STD
CAMEL,59586,14,2,STD
CAMEL,18584,14,5,STD
CAMEL,8983,14,3,STD
CAMEL,2867,14,3,STD
CAMEL,50442,14,5,STD
CAMEL,59514,14,4,STD
CAMEL,27189,14,4,STD
CAMEL,59579,14,3,STD
CAMEL,39712,14,7,STD
CAMEL,59372,13,7,STD
CAMEL,27181,13,2,STD
CAMEL,59912,13,3,STD
CAMEL,17727,13,7,STD
CAMEL,3987,12,6,STD
CAMEL,41584,12,6,STD
CAMEL,40088,12,1,STD
CAMEL,8756,12,3,STD
CAMEL,27382,12,2,STD
CAMEL,60034,12,4,STD
CAMEL,27444,12,4,STD
CAMEL,4489,12,8,STD
CAMEL,60000,11,2,STD
CAMEL,59466,11,4,STD
CAMEL,59576,11,6,STD
CAMEL,1530,11,5,STD
CAMEL,27402,11,6,STD
CAMEL,38137,11,2,STD
CAMEL,59814,11,2,STD
CAMEL,59788,11,6,STD
CAMEL,53715,11,3,STD
CAMEL,53719,11,2,STD
CAMEL,59721,11,5,STD
CAMEL,27376,10,5,STD
CAMEL,16233,10,1,STD
CAMEL,26985,10,5,STD
CAMEL,54934,10,3,STD
CAMEL,28023,10,3,STD
CAMEL,42567,10,5,STD
CAMEL,60049,10,1,STD
CAMEL,59964,10,3,STD
CAMEL,18739,10,7,STD
CAMEL,59872,10,1,STD
CAMEL,59612,9,6,STD
CAMEL,23118,9,1,STD
CAMEL,27658,9,1,STD
CAMEL,9222,9,6,STD
CAMEL,59689,9,4,STD
CAMEL,39373,9,2,STD
CAMEL,59589,9,1,STD
CAMEL,27211,9,2,STD
CAMEL,59397,9,7,STD
CAMEL,16928,9,1,STD
CAMEL,59860,9,2,STD
CAMEL,9323,9,6,STD
CAMEL,59934,8,1,STD
CAMEL,50236,8,2,STD
CAMEL,59641,8,4,STD
CAMEL,59409,8,5,STD
CAMEL,25074,8,5,STD
CAMEL,59563,8,1,STD
CAMEL,59904,8,4,STD
CAMEL,7852,8,3,STD
CAMEL,17579,8,1,STD
CAMEL,60069,8,6,STD
CAMEL,27318,8,5,STD
CAMEL,12012,8,6,STD
CAMEL,6662,8,2,STD
CAMEL,52869,8,3,STD
CAMEL,59883,8,3,STD
CAMEL,53256,7,3,STD
CAMEL,5067,7,2,STD
CAMEL,12093,7,2,STD
CAMEL,59485,7,2,STD
CAMEL,27137,7,3,STD
CAMEL,53169,7,2,STD
CAMEL,59632,7,1,STD
CAMEL,39738,7,3,STD
CAMEL,59755,7,1,STD
CAMEL,60020,7,3,STD
CAMEL,59939,7,4,STD
CAMEL,59341,7,4,STD
CAMEL,45381,7,2,STD
CAMEL,59842,7,6,STD
CAMEL,59974,7,2,STD
CAMEL,59865,7,1,STD
CAMEL,59923,7,3,STD
CAMEL,59748,7,2,STD
CAMEL,59522,7,2,STD
CAMEL,27146,7,5,STD
CAMEL,27399,7,3,STD
CAMEL,59651,6,2,STD
CAMEL,59343,6,4,STD
CAMEL,59570,6,1,STD
CAMEL,60027,6,2,STD
CAMEL,59858,6,2,STD
CAMEL,59958,6,2,STD
CAMEL,59791,6,2,STD
CAMEL,16659,6,3,STD
CAMEL,59782,6,1,STD
CAMEL,59491,6,3,STD
CAMEL,59899,6,2,STD
CAMEL,39608,6,2,STD
CAMEL,59959,6,1,STD
CAMEL,39711,6,1,STD
CAMEL,27351,6,5,STD
CAMEL,59478,6,2,STD
CAMEL,17627,6,3,STD
CAMEL,59426,6,4,STD
CAMEL,59622,6,2,STD
CAMEL,18740,6,4,STD
CAMEL,59953,5,3,STD
CAMEL,59745,5,1,STD
CAMEL,17565,5,3,STD
CAMEL,60005,5,2,STD
CAMEL,4928,5,2,STD
CAMEL,17392,5,3,STD
CAMEL,39696,5,2,STD
CAMEL,59605,5,1,STD
CAMEL,59772,5,1,STD
CAMEL,60025,5,1,STD
CAMEL,39777,5,1,STD
CAMEL,60014,5,3,STD
CAMEL,59494,5,4,STD
CAMEL,17317,5,3,STD
CAMEL,59483,5,3,STD
CAMEL,27125,5,1,STD
CAMEL,59930,5,2,STD
CAMEL,43554,5,3,STD
CAMEL,59662,5,2,STD
CAMEL,27169,5,2,STD
CAMEL,59431,5,2,STD
CAMEL,59981,5,2,STD
CAMEL,1360,5,4,STD
CAMEL,59432,5,1,STD
CAMEL,59672,5,1,STD
CAMEL,1187,5,1,STD
CAMEL,59631,5,2,STD
CAMEL,59548,5,2,STD
CAMEL,27339,5,2,STD
CAMEL,59982,5,2,STD
CAMEL,59371,5,1,STD
CAMEL,59994,5,3,STD
CAMEL,17104,5,2,STD
CAMEL,59703,5,1,STD
CAMEL,59550,5,1,STD
CAMEL,261,5,1,STD
CAMEL,59535,5,2,STD
CAMEL,59880,5,3,STD
CAMEL,59358,5,3,STD
CAMEL,59353,5,3,STD
CAMEL,60056,5,3,STD
CAMEL,59528,5,3,STD
CAMEL,59623,5,2,STD
CAMEL,27405,5,3,STD
CAMEL,27406,5,1,STD
CAMEL,59876,5,3,STD
CAMEL,27989,5,1,STD
CAMEL,59408,5,1,STD
CAMEL,59653,5,1,STD
CAMEL,53252,5,1,STD
CAMEL,2972,5,2,STD
CAMEL,1429,5,1,STD
CAMEL,59848,5,3,STD
CAMEL,34343,5,1,STD
CAMEL,34565,5,1,STD
CAMEL,53017,5,2,STD
CAMEL,59650,5,3,STD
CAMEL,39202,5,2,STD
CAMEL,39391,5,2,STD
CAMEL,59360,4,3,STD
CAMEL,22727,4,2,STD
CAMEL,17092,4,2,STD
CAMEL,25251,4,4,STD
CAMEL,25840,4,1,STD
CAMEL,1632,4,3,STD
CAMEL,59916,4,2,STD
CAMEL,16441,4,1,STD
CAMEL,60042,4,1,STD
CAMEL,59910,4,2,STD
CAMEL,60058,4,2,STD
CAMEL,59901,4,1,STD
CAMEL,60030,4,1,STD
CAMEL,59897,4,1,STD
CAMEL,59530,4,2,STD
CAMEL,27395,4,4,STD
CAMEL,59557,4,4,STD
CAMEL,59524,4,1,STD
CAMEL,27459,4,3,STD
CAMEL,8860,4,1,STD
CAMEL,28484,4,2,STD
CAMEL,59867,4,1,STD
CAMEL,59558,4,1,STD
CAMEL,59862,4,1,STD
CAMEL,59562,4,1,STD
CAMEL,32408,4,2,STD
CAMEL,1151,4,1,STD
CAMEL,34260,4,1,STD
CAMEL,59844,4,1,STD
CAMEL,59843,4,2,STD
CAMEL,59840,4,1,STD
CAMEL,59829,4,1,STD
CAMEL,59508,4,1,STD
CAMEL,39789,4,1,STD
CAMEL,59820,4,2,STD
CAMEL,59645,4,2,STD
CAMEL,59810,4,2,STD
CAMEL,59587,4,1,STD
CAMEL,59799,4,2,STD
CAMEL,44434,4,2,STD
CAMEL,59592,4,1,STD
CAMEL,59472,4,3,STD
CAMEL,4497,4,2,STD
CAMEL,59758,4,2,STD
CAMEL,59997,4,1,STD
CAMEL,59611,4,1,STD
CAMEL,59730,4,2,STD
CAMEL,59725,4,1,STD
CAMEL,59613,4,1,STD
CAMEL,59634,4,1,STD
CAMEL,59720,4,3,STD
CAMEL,59719,4,3,STD
CAMEL,59713,4,1,STD
CAMEL,59344,4,2,STD
CAMEL,59351,4,2,STD
CAMEL,59706,4,1,STD
CAMEL,59999,4,1,STD
CAMEL,59362,4,2,STD
CAMEL,59693,4,1,STD
CAMEL,59682,4,2,STD
CAMEL,6603,4,3,STD
CAMEL,59626,4,1,STD
CAMEL,59660,4,3,STD
CAMEL,59500,3,1,STD
CAMEL,59915,3,1,STD
CAMEL,59571,3,1,STD
CAMEL,39682,3,2,STD
CAMEL,59822,3,1,STD
CAMEL,59565,3,1,STD
CAMEL,59831,3,1,STD
CAMEL,59460,3,2,STD
CAMEL,59833,3,1,STD
CAMEL,59420,3,3,STD
CAMEL,3010,3,1,STD
CAMEL,59744,3,2,STD
CAMEL,59743,3,2,STD
CAMEL,33697,3,2,STD
CAMEL,60060,3,1,STD
CAMEL,59564,3,2,STD
CAMEL,59517,3,1,STD
CAMEL,30068,3,3,STD
CAMEL,26750,3,1,STD
CAMEL,53376,3,1,STD
CAMEL,18628,3,2,STD
CAMEL,59656,3,2,STD
CAMEL,60002,3,1,STD
CAMEL,59618,3,1,STD
CAMEL,53596,3,1,STD
CAMEL,28583,3,1,STD
CAMEL,59654,3,2,STD
CAMEL,28571,3,2,STD
CAMEL,59428,3,1,STD
CAMEL,53909,3,2,STD
CAMEL,59875,3,2,STD
CAMEL,5778,3,2,STD
CAMEL,5784,3,1,STD
CAMEL,60057,3,1,STD
CAMEL,23408,3,2,STD
CAMEL,59429,3,2,STD
CAMEL,7624,3,2,STD
CAMEL,800,3,2,STD
CAMEL,27683,3,1,STD
CAMEL,59920,3,1,STD
CAMEL,59526,3,1,STD
CAMEL,22926,3,2,STD
CAMEL,59712,3,1,STD
CAMEL,59417,3,2,STD
CAMEL,59349,3,2,STD
CAMEL,59625,3,2,STD
CAMEL,59411,3,1,STD
CAMEL,59925,3,1,STD
CAMEL,59531,3,2,STD
CAMEL,59929,3,1,STD
CAMEL,27388,3,1,STD
CAMEL,59359,3,1,STD
CAMEL,59536,3,2,STD
CAMEL,59932,3,3,STD
CAMEL,27372,3,2,STD
CAMEL,59364,3,3,STD
CAMEL,19692,3,3,STD
CAMEL,59892,3,1,STD
CAMEL,18394,3,2,STD
CAMEL,59948,3,2,STD
CAMEL,59541,3,3,STD
CAMEL,17419,3,3,STD
CAMEL,59549,3,1,STD
CAMEL,12049,3,2,STD
CAMEL,14394,3,1,STD
CAMEL,59679,3,2,STD
CAMEL,59800,3,1,STD
CAMEL,59487,3,2,STD
CAMEL,59778,3,1,STD
CAMEL,47036,3,1,STD
CAMEL,59801,3,2,STD
CAMEL,40948,3,1,STD
CAMEL,40884,3,1,STD
CAMEL,59492,3,2,STD
CAMEL,59497,3,2,STD
CAMEL,59585,3,1,STD
CAMEL,59584,3,1,STD
CAMEL,59775,3,1,STD
CAMEL,59477,3,2,STD
CAMEL,39723,3,3,STD
CAMEL,14629,3,2,STD
CAMEL,59389,3,2,STD
CAMEL,59769,3,1,STD
CAMEL,59471,3,1,STD
CAMEL,59902,3,1,STD
CAMEL,27176,3,2,STD
CAMEL,39722,3,2,STD
CAMEL,60036,3,1,STD
CAMEL,4605,3,1,STD
CAMEL,60071,2,1,STD
CAMEL,303,2,1,STD
CAMEL,372,2,2,STD
CAMEL,572,2,2,STD
CAMEL,2151,2,2,STD
CAMEL,2861,2,1,STD
CAMEL,3671,2,1,STD
CAMEL,5669,2,1,STD
CAMEL,6211,2,1,STD
CAMEL,7005,2,1,STD
CAMEL,7539,2,1,STD
CAMEL,7851,2,2,STD
CAMEL,7938,2,1,STD
CAMEL,8841,2,1,STD
CAMEL,14316,2,2,STD
CAMEL,14796,2,1,STD
CAMEL,14809,2,1,STD
