Project,AuthorID,CommentCount,IssueCount,Ranking
CASSANDRA,21449,13942,4804,VHIGH
CASSANDRA,58348,3443,1328,VHIGH
CASSANDRA,18868,2619,1249,VHIGH
CASSANDRA,21659,1026,452,VHIGH
CASSANDRA,17215,1610,428,VHIGH
CASSANDRA,7992,1154,419,VHIGH
CASSANDRA,21895,929,376,VHIGH
CASSANDRA,42518,813,357,VHIGH
CASSANDRA,58360,649,271,VHIGH
CASSANDRA,21309,566,221,VHIGH
CASSANDRA,21641,860,215,VHIGH
CASSANDRA,21823,404,187,HIGH
CASSANDRA,21569,445,181,HIGH
CASSANDRA,21766,503,153,HIGH
CASSANDRA,21787,259,140,HIGH
CASSANDRA,8156,297,111,HIGH
CASSANDRA,6214,203,104,HIGH
CASSANDRA,39117,273,103,HIGH
CASSANDRA,9065,226,99,HIGH
CASSANDRA,21323,248,98,HIGH
CASSANDRA,58563,169,94,HIGH
CASSANDRA,58344,218,87,HIGH
CASSANDRA,21667,143,84,HIGH
CASSANDRA,9802,167,83,HIGH
CASSANDRA,59312,198,75,HIGH
CASSANDRA,58357,248,73,HIGH
CASSANDRA,42479,116,72,HIGH
CASSANDRA,21806,125,65,HIGH
CASSANDRA,59059,206,65,HIGH
CASSANDRA,7870,164,61,HIGH
CASSANDRA,26712,139,61,HIGH
CASSANDRA,58622,173,60,HIGH
CASSANDRA,46944,166,60,HIGH
CASSANDRA,18363,136,58,HIGH
CASSANDRA,42946,70,57,HIGH
CASSANDRA,8183,106,56,HIGH
CASSANDRA,21357,133,55,HIGH
CASSANDRA,21801,285,54,HIGH
CASSANDRA,1260,122,52,HIGH
CASSANDRA,21781,106,50,HIGH
CASSANDRA,8315,135,43,HIGH
CASSANDRA,21699,71,42,HIGH
CASSANDRA,58350,103,41,HIGH
CASSANDRA,42636,134,38,HIGH
CASSANDRA,21944,76,35,HIGH
CASSANDRA,58430,66,34,HIGH
CASSANDRA,58598,57,32,HIGH
CASSANDRA,17229,152,31,HIGH
CASSANDRA,21656,71,31,HIGH
CASSANDRA,8660,129,29,HIGH
CASSANDRA,58345,62,29,HIGH
CASSANDRA,58352,73,28,HIGH
CASSANDRA,8141,128,28,HIGH
CASSANDRA,21249,64,27,HIGH
CASSANDRA,21942,79,27,HIGH
CASSANDRA,21845,121,26,HIGH
CASSANDRA,25263,69,26,HIGH
CASSANDRA,22361,43,25,HIGH
CASSANDRA,36622,92,25,HIGH
CASSANDRA,40750,57,24,HIGH
CASSANDRA,58698,38,21,HIGH
CASSANDRA,8262,61,20,HIGH
CASSANDRA,17130,114,20,HIGH
CASSANDRA,58568,58,19,HIGH
CASSANDRA,36194,45,18,HIGH
CASSANDRA,34236,94,18,HIGH
CASSANDRA,58390,54,17,HIGH
CASSANDRA,58902,50,17,HIGH
CASSANDRA,31616,80,16,HIGH
CASSANDRA,4571,63,16,HIGH
CASSANDRA,14176,34,16,HIGH
CASSANDRA,32690,33,16,HIGH
CASSANDRA,58708,39,15,HIGH
CASSANDRA,36438,62,15,HIGH
CASSANDRA,17216,50,15,HIGH
CASSANDRA,58384,69,15,HIGH
CASSANDRA,22017,20,15,HIGH
CASSANDRA,58645,34,14,HIGH
CASSANDRA,58406,21,14,HIGH
CASSANDRA,12105,58,14,HIGH
CASSANDRA,26610,31,14,HIGH
CASSANDRA,21563,24,14,HIGH
CASSANDRA,58376,35,14,HIGH
CASSANDRA,6603,21,13,HIGH
CASSANDRA,58448,26,13,HIGH
CASSANDRA,58684,38,13,HIGH
CASSANDRA,22063,58,13,HIGH
CASSANDRA,45334,58,13,HIGH
CASSANDRA,46228,20,12,HIGH
CASSANDRA,28025,26,12,HIGH
CASSANDRA,7895,19,11,HIGH
CASSANDRA,7865,16,11,HIGH
CASSANDRA,58689,28,11,HIGH
CASSANDRA,58951,27,11,HIGH
CASSANDRA,58894,27,11,HIGH
CASSANDRA,58590,19,11,HIGH
CASSANDRA,6303,24,10,HIGH
CASSANDRA,58642,16,10,HIGH
CASSANDRA,59067,40,10,HIGH
CASSANDRA,58533,14,10,HIGH
CASSANDRA,58565,39,10,HIGH
CASSANDRA,52155,35,10,HIGH
CASSANDRA,42155,28,10,HIGH
CASSANDRA,21765,12,9,HIGH
CASSANDRA,58492,17,9,HIGH
CASSANDRA,59302,22,9,HIGH
CASSANDRA,59131,35,9,HIGH
CASSANDRA,25873,18,9,HIGH
CASSANDRA,58812,29,9,HIGH
CASSANDRA,32704,40,9,HIGH
CASSANDRA,8041,9,9,HIGH
CASSANDRA,46904,15,9,HIGH
CASSANDRA,8062,19,9,HIGH
CASSANDRA,42361,36,9,HIGH
CASSANDRA,21621,21,9,HIGH
CASSANDRA,21319,13,9,HIGH
CASSANDRA,36284,25,8,STD
CASSANDRA,26077,43,8,STD
CASSANDRA,58478,11,8,STD
CASSANDRA,58569,27,8,STD
CASSANDRA,32585,24,8,STD
CASSANDRA,8006,10,8,STD
CASSANDRA,58442,14,8,STD
CASSANDRA,21663,23,8,STD
CASSANDRA,58499,13,8,STD
CASSANDRA,21383,18,8,STD
CASSANDRA,58351,25,8,STD
