Project,AuthorID,CommentCount,IssueCount,Ranking
CLOUDSTACK,42515,1069,722,VHIGH
CLOUDSTACK,17115,971,692,VHIGH
CLOUDSTACK,42519,568,306,VHIGH
CLOUDSTACK,56244,531,386,HIGH
CLOUDSTACK,42529,516,348,HIGH
CLOUDSTACK,42582,499,243,HIGH
CLOUDSTACK,56196,396,269,HIGH
CLOUDSTACK,56185,363,140,HIGH
CLOUDSTACK,56219,334,182,HIGH
CLOUDSTACK,42539,323,158,HIGH
CLOUDSTACK,56243,311,196,HIGH
CLOUDSTACK,42678,293,183,HIGH
CLOUDSTACK,56203,289,142,HIGH
CLOUDSTACK,56186,287,188,HIGH
CLOUDSTACK,56201,280,152,HIGH
CLOUDSTACK,56182,260,112,HIGH
CLOUDSTACK,56208,255,194,HIGH
CLOUDSTACK,56206,254,164,HIGH
CLOUDSTACK,56269,230,110,HIGH
CLOUDSTACK,42464,224,137,HIGH
CLOUDSTACK,56180,218,105,HIGH
CLOUDSTACK,56195,207,126,HIGH
CLOUDSTACK,56197,200,104,HIGH
CLOUDSTACK,42499,194,164,HIGH
CLOUDSTACK,42540,190,127,HIGH
CLOUDSTACK,56176,188,119,HIGH
CLOUDSTACK,56210,185,104,HIGH
CLOUDSTACK,56254,182,108,HIGH
CLOUDSTACK,56199,180,125,HIGH
CLOUDSTACK,42576,179,129,HIGH
CLOUDSTACK,56187,178,87,HIGH
CLOUDSTACK,56200,172,124,HIGH
CLOUDSTACK,56228,170,68,HIGH
CLOUDSTACK,56230,170,88,HIGH
CLOUDSTACK,56221,167,104,HIGH
CLOUDSTACK,56395,163,111,HIGH
CLOUDSTACK,56204,153,80,HIGH
CLOUDSTACK,17187,152,128,STD
CLOUDSTACK,56236,150,85,STD
CLOUDSTACK,56183,149,91,STD
CLOUDSTACK,56178,147,87,STD
CLOUDSTACK,56361,146,93,STD
CLOUDSTACK,56188,132,96,STD
CLOUDSTACK,56322,130,66,STD
CLOUDSTACK,56211,129,104,STD
CLOUDSTACK,51098,124,72,STD
CLOUDSTACK,56194,122,77,STD
CLOUDSTACK,56177,121,84,STD
CLOUDSTACK,56217,119,64,STD
CLOUDSTACK,56189,113,76,STD
CLOUDSTACK,56345,105,34,STD
CLOUDSTACK,56191,103,66,STD
