Project,AuthorID,CommentCount,IssueCount,Ranking
DERBY,33671,7298,2308,VHIGH
DERBY,32032,4349,1577,VHIGH
DERBY,39222,5125,1350,VHIGH
DERBY,42546,2351,972,VHIGH
DERBY,32000,3493,939,VHIGH
DERBY,37748,2343,939,VHIGH
DERBY,199,3033,930,HIGH
DERBY,51547,1794,716,HIGH
DERBY,43249,1316,709,HIGH
DERBY,40085,2321,640,HIGH
DERBY,51543,2071,502,HIGH
DERBY,51542,2239,468,HIGH
DERBY,51553,728,238,HIGH
DERBY,51805,896,223,HIGH
DERBY,40851,446,175,HIGH
DERBY,52046,368,174,HIGH
DERBY,51836,519,161,HIGH
DERBY,51690,419,155,HIGH
DERBY,51776,387,142,HIGH
DERBY,51722,269,129,HIGH
DERBY,51820,610,129,HIGH
DERBY,51920,332,127,HIGH
DERBY,52013,432,124,HIGH
DERBY,51740,367,114,HIGH
DERBY,51577,409,113,HIGH
DERBY,51806,722,112,HIGH
DERBY,52069,195,98,HIGH
DERBY,51772,352,87,HIGH
DERBY,51862,210,84,HIGH
DERBY,51791,233,82,HIGH
DERBY,29086,545,78,HIGH
DERBY,52032,261,77,HIGH
DERBY,51603,358,73,HIGH
DERBY,51950,98,73,HIGH
DERBY,43256,298,72,HIGH
DERBY,51600,117,68,HIGH
DERBY,51849,289,58,HIGH
DERBY,52012,112,48,HIGH
DERBY,51831,246,45,HIGH
DERBY,51731,88,40,HIGH
DERBY,3996,133,25,HIGH
DERBY,3332,91,25,HIGH
DERBY,39540,54,24,HIGH
DERBY,51629,119,24,HIGH
DERBY,29097,58,24,HIGH
DERBY,52150,53,23,HIGH
DERBY,40854,76,23,HIGH
DERBY,51682,86,23,HIGH
DERBY,51919,60,22,HIGH
DERBY,52023,38,22,HIGH
DERBY,51811,82,22,HIGH
DERBY,18552,197,21,HIGH
DERBY,18809,31,21,HIGH
DERBY,51796,99,21,HIGH
DERBY,29995,83,21,HIGH
DERBY,51882,56,20,HIGH
DERBY,47742,90,19,HIGH
DERBY,51834,70,19,HIGH
DERBY,51917,60,19,HIGH
DERBY,51871,54,18,HIGH
DERBY,9017,27,16,HIGH
DERBY,18580,133,16,HIGH
DERBY,30092,73,15,HIGH
DERBY,9802,26,15,HIGH
DERBY,51715,49,15,HIGH
DERBY,52140,23,14,HIGH
DERBY,3007,61,14,HIGH
DERBY,52096,43,13,STD
DERBY,51614,56,13,STD
DERBY,51953,27,13,STD
DERBY,52084,34,12,STD
DERBY,40850,59,11,STD
DERBY,51812,47,11,STD
DERBY,51587,27,11,STD
DERBY,8464,16,11,STD
DERBY,52101,26,10,STD
DERBY,12101,16,10,STD
DERBY,51854,46,10,STD
DERBY,5048,37,10,STD
DERBY,9976,36,9,STD
DERBY,51566,47,9,STD
DERBY,51897,26,9,STD
DERBY,51901,10,8,STD
DERBY,51769,12,8,STD
DERBY,51558,46,8,STD
DERBY,51857,14,8,STD
DERBY,51905,26,8,STD
DERBY,28024,41,7,STD
DERBY,9602,17,7,STD
DERBY,51872,7,7,STD
DERBY,51864,22,6,STD
DERBY,51877,9,6,STD
DERBY,7368,19,6,STD
DERBY,5031,12,6,STD
DERBY,8995,13,6,STD
DERBY,51789,25,5,STD
DERBY,40832,8,5,STD
DERBY,52056,9,5,STD
DERBY,155,21,5,STD
DERBY,37512,13,4,STD
DERBY,5024,6,4,STD
DERBY,51852,15,4,STD
DERBY,51893,19,4,STD
