Project,AuthorID,CommentCount,IssueCount,Ranking
GEOS,4933,8244,4076,VHIGH
GEOS,76050,1607,1014,VHIGH
GEOS,75834,852,480,VHIGH
GEOS,76069,760,523,VHIGH
GEOS,12153,636,196,VHIGH
GEOS,74224,353,214,VHIGH
GEOS,75719,250,157,VHIGH
GEOS,75851,215,137,HIGH
GEOS,75836,195,116,HIGH
GEOS,75861,172,68,HIGH
GEOS,97393,172,130,HIGH
GEOS,97509,138,77,HIGH
GEOS,96969,136,32,HIGH
GEOS,76056,132,103,HIGH
GEOS,97573,112,84,HIGH
GEOS,91637,97,46,HIGH
GEOS,75897,72,45,HIGH
GEOS,97250,52,24,HIGH
GEOS,27908,52,16,HIGH
GEOS,91623,51,22,HIGH
GEOS,75717,49,23,HIGH
GEOS,75729,47,25,HIGH
GEOS,97133,46,22,HIGH
GEOS,88280,40,30,HIGH
GEOS,26179,39,7,HIGH
GEOS,97956,39,8,HIGH
GEOS,97519,39,24,HIGH
GEOS,83856,37,16,HIGH
GEOS,75874,36,13,HIGH
GEOS,76023,35,21,HIGH
GEOS,15865,34,20,HIGH
GEOS,46156,33,15,HIGH
GEOS,75833,29,13,HIGH
GEOS,30016,27,13,HIGH
GEOS,97976,26,22,HIGH
GEOS,98152,26,5,HIGH
GEOS,85895,25,13,HIGH
GEOS,88197,25,15,HIGH
GEOS,97139,24,11,HIGH
GEOS,97042,24,13,HIGH
GEOS,96986,23,10,HIGH
GEOS,97117,23,6,HIGH
GEOS,9181,23,7,HIGH
GEOS,5522,23,8,HIGH
GEOS,97097,22,11,HIGH
GEOS,97049,22,9,HIGH
GEOS,98136,22,4,HIGH
GEOS,98046,21,12,HIGH
GEOS,97523,21,2,HIGH
GEOS,52765,21,9,HIGH
GEOS,96983,21,14,HIGH
GEOS,98012,20,14,HIGH
GEOS,97063,20,13,HIGH
GEOS,98076,20,12,HIGH
GEOS,97654,20,9,HIGH
GEOS,97570,19,11,HIGH
GEOS,97522,19,9,HIGH
GEOS,97060,19,12,HIGH
GEOS,98160,18,8,HIGH
GEOS,97032,18,15,HIGH
GEOS,76057,18,17,HIGH
GEOS,97807,17,4,HIGH
GEOS,97981,17,7,HIGH
GEOS,76063,17,8,HIGH
GEOS,75926,17,13,HIGH
GEOS,97102,16,4,HIGH
GEOS,97470,15,8,HIGH
GEOS,1524,15,10,HIGH
GEOS,49585,15,3,HIGH
GEOS,57326,14,3,STD
GEOS,97528,14,7,STD
GEOS,97835,14,3,STD
GEOS,98149,14,8,STD
GEOS,76060,13,8,STD
GEOS,98017,13,10,STD
GEOS,97020,13,7,STD
GEOS,97135,13,3,STD
GEOS,97085,13,6,STD
GEOS,98332,13,2,STD
GEOS,97013,13,11,STD
GEOS,98203,12,5,STD
GEOS,98200,12,4,STD
GEOS,97512,12,8,STD
GEOS,76611,12,6,STD
GEOS,88196,12,8,STD
GEOS,96990,12,8,STD
GEOS,41752,12,5,STD
GEOS,47935,12,8,STD
GEOS,6422,11,6,STD
GEOS,97242,11,4,STD
GEOS,98047,11,7,STD
GEOS,97623,11,4,STD
GEOS,97075,11,8,STD
GEOS,97089,11,5,STD
GEOS,86729,11,3,STD
GEOS,97203,11,6,STD
GEOS,54183,10,6,STD
GEOS,75852,10,7,STD
GEOS,97638,10,4,STD
GEOS,97637,10,5,STD
GEOS,13801,10,7,STD
GEOS,97342,10,8,STD
GEOS,98322,9,1,STD
GEOS,97524,9,4,STD
GEOS,98240,9,3,STD
GEOS,97059,9,5,STD
GEOS,72252,9,5,STD
GEOS,97278,9,5,STD
GEOS,28970,9,4,STD
GEOS,97953,9,3,STD
GEOS,97605,9,3,STD
GEOS,97702,9,5,STD
GEOS,97641,9,8,STD
GEOS,57585,9,2,STD
GEOS,80718,8,2,STD
GEOS,75891,8,4,STD
GEOS,97961,8,3,STD
GEOS,87306,8,5,STD
GEOS,97094,8,3,STD
GEOS,28063,8,2,STD
GEOS,76002,8,3,STD
GEOS,97727,8,2,STD
GEOS,97580,8,3,STD
GEOS,97622,8,4,STD
GEOS,97603,8,6,STD
GEOS,98043,8,3,STD
GEOS,83855,8,2,STD
GEOS,75813,8,5,STD
GEOS,97200,8,4,STD
GEOS,97146,8,3,STD
GEOS,97243,7,6,STD
GEOS,97526,7,2,STD
GEOS,75928,7,1,STD
GEOS,97551,7,3,STD
GEOS,97822,7,1,STD
GEOS,97991,7,3,STD
GEOS,97601,7,3,STD
GEOS,98192,7,1,STD
GEOS,98244,7,2,STD
GEOS,97772,7,1,STD
GEOS,97830,7,2,STD
GEOS,98175,7,2,STD
GEOS,98305,6,1,STD
GEOS,75869,6,5,STD
GEOS,97214,6,3,STD
GEOS,97663,6,2,STD
GEOS,51323,6,2,STD
GEOS,97581,6,2,STD
GEOS,98112,6,1,STD
GEOS,97071,6,1,STD
GEOS,98021,6,3,STD
GEOS,97559,6,4,STD
GEOS,81408,6,4,STD
GEOS,61293,6,2,STD
GEOS,98301,6,1,STD
GEOS,97689,5,3,STD
GEOS,97614,5,3,STD
GEOS,97571,5,3,STD
GEOS,31326,5,4,STD
GEOS,97558,5,2,STD
GEOS,97556,5,2,STD
GEOS,75914,5,3,STD
GEOS,97760,5,2,STD
GEOS,97769,5,4,STD
GEOS,98053,5,1,STD
GEOS,80225,5,2,STD
GEOS,97733,5,2,STD
GEOS,97514,5,3,STD
GEOS,97667,5,1,STD
GEOS,15187,5,2,STD
GEOS,97481,5,5,STD
GEOS,97455,5,2,STD
GEOS,98220,5,3,STD
GEOS,97451,5,1,STD
GEOS,96899,5,2,STD
GEOS,97450,5,3,STD
GEOS,96993,5,3,STD
GEOS,15838,5,4,STD
GEOS,97799,5,2,STD
GEOS,97052,5,4,STD
GEOS,97284,5,5,STD
GEOS,98205,5,1,STD
GEOS,97225,5,3,STD
GEOS,75696,5,1,STD
GEOS,4697,5,3,STD
GEOS,97552,4,3,STD
GEOS,97756,4,2,STD
GEOS,97632,4,2,STD
GEOS,34226,4,1,STD
GEOS,75855,4,3,STD
GEOS,97806,4,1,STD
GEOS,98013,4,1,STD
GEOS,97726,4,1,STD
GEOS,97205,4,1,STD
GEOS,97030,4,4,STD
GEOS,98329,4,1,STD
GEOS,97579,4,4,STD
GEOS,97215,4,3,STD
GEOS,97774,4,2,STD
GEOS,97821,4,3,STD
GEOS,97681,4,1,STD
GEOS,97736,4,3,STD
GEOS,98049,4,1,STD
GEOS,97845,4,1,STD
GEOS,97529,4,2,STD
GEOS,97531,4,3,STD
GEOS,97686,4,1,STD
GEOS,97536,4,2,STD
GEOS,44770,4,2,STD
GEOS,97766,4,4,STD
GEOS,9315,4,2,STD
GEOS,98163,4,1,STD
GEOS,72108,4,1,STD
GEOS,97621,4,3,STD
GEOS,97684,4,3,STD
GEOS,98116,4,1,STD
GEOS,98201,4,2,STD
GEOS,23020,4,1,STD
GEOS,97873,4,1,STD
GEOS,69119,4,1,STD
GEOS,97844,4,2,STD
GEOS,97855,4,2,STD
GEOS,22143,4,1,STD
GEOS,75905,4,4,STD
GEOS,98135,4,1,STD
GEOS,97974,4,1,STD
GEOS,96972,4,2,STD
GEOS,97986,4,1,STD
GEOS,97780,4,3,STD
GEOS,96985,4,1,STD
GEOS,97794,4,3,STD
GEOS,98001,4,2,STD
GEOS,98008,4,3,STD
GEOS,97966,4,1,STD
GEOS,98338,3,1,STD
GEOS,97751,3,1,STD
GEOS,97747,3,1,STD
GEOS,97743,3,1,STD
GEOS,35553,3,1,STD
GEOS,97739,3,1,STD
GEOS,97606,3,2,STD
GEOS,97724,3,2,STD
GEOS,97712,3,3,STD
GEOS,97698,3,1,STD
GEOS,97694,3,1,STD
GEOS,97619,3,1,STD
GEOS,97677,3,2,STD
GEOS,98236,3,1,STD
GEOS,97673,3,1,STD
GEOS,97668,3,1,STD
GEOS,97642,3,2,STD
GEOS,42134,3,1,STD
GEOS,98214,3,1,STD
GEOS,54631,3,2,STD
GEOS,98180,3,2,STD
GEOS,3885,3,1,STD
GEOS,58307,3,1,STD
GEOS,62511,3,1,STD
GEOS,98159,3,2,STD
GEOS,65535,3,1,STD
GEOS,67008,3,1,STD
GEOS,75801,3,1,STD
GEOS,98307,3,1,STD
GEOS,98111,3,3,STD
GEOS,98106,3,1,STD
GEOS,98075,3,2,STD
GEOS,78770,3,1,STD
GEOS,83083,3,1,STD
GEOS,98034,3,2,STD
GEOS,86569,3,2,STD
GEOS,98033,3,3,STD
GEOS,98032,3,2,STD
GEOS,88256,3,2,STD
GEOS,1797,3,1,STD
GEOS,88279,3,2,STD
GEOS,97978,3,3,STD
GEOS,96978,3,2,STD
GEOS,96981,3,1,STD
GEOS,96988,3,2,STD
GEOS,97572,3,2,STD
GEOS,16935,3,1,STD
