Project,AuthorID,CommentCount,IssueCount
GERONIMO,7539,2604,1481
GERONIMO,12005,973,556
GERONIMO,9330,887,537
GERONIMO,8443,750,405
GERONIMO,4489,699,510
GERONIMO,12021,626,337
GERONIMO,12026,589,278
GERONIMO,8437,546,331
GERONIMO,32458,515,303
GERONIMO,8440,510,346
GERONIMO,8441,448,312
GERONIMO,32208,441,236
GERONIMO,32536,405,148
GERONIMO,12043,385,195
GERONIMO,8465,358,300
GERONIMO,12028,320,174
GERONIMO,19635,268,145
GERONIMO,28591,264,126
GERONIMO,12025,238,141
GERONIMO,12049,230,145
GERONIMO,32548,214,147
GERONIMO,34955,210,71
GERONIMO,8458,200,165
GERONIMO,8464,195,127
GERONIMO,32529,193,100
GERONIMO,8301,176,128
GERONIMO,39764,160,90
GERONIMO,28592,139,62
GERONIMO,47219,139,81
GERONIMO,32118,114,59
GERONIMO,47407,110,52
GERONIMO,42847,104,75
GERONIMO,12031,104,47
GERONIMO,32537,103,38
GERONIMO,18771,99,40
GERONIMO,32530,98,61
GERONIMO,47526,95,53
GERONIMO,10290,94,76
GERONIMO,32324,88,27
GERONIMO,12044,83,47
GERONIMO,47397,81,18
GERONIMO,47218,80,40
GERONIMO,8472,80,34
GERONIMO,18809,77,62
GERONIMO,34996,77,45
GERONIMO,3878,72,62
GERONIMO,43125,69,27
GERONIMO,43761,69,20
GERONIMO,47490,64,8
GERONIMO,32542,63,23
GERONIMO,32160,58,33
GERONIMO,47532,56,32
GERONIMO,7356,55,27
GERONIMO,32547,55,30
GERONIMO,47646,53,22
GERONIMO,47474,51,27
GERONIMO,15644,50,25
GERONIMO,47313,49,25
GERONIMO,7973,45,29
GERONIMO,32050,44,20
GERONIMO,32533,44,23
GERONIMO,32460,41,18
GERONIMO,8455,40,13
GERONIMO,25252,39,22
GERONIMO,47595,38,18
GERONIMO,47329,33,15
GERONIMO,28887,28,22
GERONIMO,8337,27,19
GERONIMO,32496,26,11
GERONIMO,47697,26,9
GERONIMO,29025,26,3
GERONIMO,14631,25,9
GERONIMO,18516,25,3
GERONIMO,17317,25,17
GERONIMO,32850,24,3
GERONIMO,47630,22,19
GERONIMO,47431,22,12
GERONIMO,47472,21,13
GERONIMO,47443,21,5
GERONIMO,7870,21,11
GERONIMO,42958,20,14
GERONIMO,23181,18,4
GERONIMO,47341,18,7
GERONIMO,27238,18,14
GERONIMO,47475,17,6
GERONIMO,47427,17,11
GERONIMO,47321,17,14
GERONIMO,8460,16,7
GERONIMO,47330,15,9
GERONIMO,47320,15,9
GERONIMO,47594,15,1
GERONIMO,2029,14,14
GERONIMO,47471,14,11
GERONIMO,47340,14,9
GERONIMO,47429,13,5
GERONIMO,47615,13,6
GERONIMO,47338,13,5
GERONIMO,47528,13,4
GERONIMO,6320,13,7
GERONIMO,47464,12,9
GERONIMO,47459,12,7
GERONIMO,47560,11,5
GERONIMO,32288,11,3
GERONIMO,47344,11,3
GERONIMO,12008,11,9
GERONIMO,34861,11,3
GERONIMO,27371,11,3
GERONIMO,47317,11,10
GERONIMO,47522,11,7
GERONIMO,47371,10,6
GERONIMO,47664,10,3
GERONIMO,32434,10,7
GERONIMO,47416,10,7
GERONIMO,7692,10,7
GERONIMO,47350,10,6
GERONIMO,5503,10,4
GERONIMO,8459,9,9
GERONIMO,32517,9,5
GERONIMO,47476,9,8
GERONIMO,47509,9,8
GERONIMO,47499,9,1
GERONIMO,47665,8,3
GERONIMO,40473,8,3
GERONIMO,47610,8,1
GERONIMO,47570,7,5
GERONIMO,3000,7,4
GERONIMO,47707,7,2
GERONIMO,47412,7,1
GERONIMO,47677,7,4
GERONIMO,4546,7,3
GERONIMO,4139,7,5
GERONIMO,47695,7,4
GERONIMO,47349,7,6
GERONIMO,47651,7,1
GERONIMO,5270,7,3
GERONIMO,47619,7,3
GERONIMO,8457,7,2
GERONIMO,18740,7,4
GERONIMO,47419,7,2
GERONIMO,47608,7,3
GERONIMO,12441,6,3
GERONIMO,47342,6,2
GERONIMO,47414,6,1
GERONIMO,8450,6,3
GERONIMO,47658,6,3
GERONIMO,12006,6,5
GERONIMO,18633,6,3
GERONIMO,4773,6,3
GERONIMO,47564,6,3
GERONIMO,47693,6,5
GERONIMO,47547,6,1
GERONIMO,192,6,4
GERONIMO,32790,6,2
GERONIMO,47686,5,4
GERONIMO,32405,5,2
GERONIMO,32022,5,1
GERONIMO,47604,5,1
GERONIMO,18628,5,2
GERONIMO,31674,5,3
GERONIMO,47678,5,3
GERONIMO,47687,5,3
GERONIMO,34581,5,1
GERONIMO,8953,5,3
GERONIMO,47513,5,1
GERONIMO,47511,5,1
GERONIMO,46673,5,3
GERONIMO,15666,5,3
GERONIMO,47484,5,1
GERONIMO,32538,5,3
GERONIMO,19853,5,2
GERONIMO,47554,5,2
GERONIMO,914,5,1
GERONIMO,47404,5,3
GERONIMO,1039,5,2
GERONIMO,47314,5,3
GERONIMO,9819,4,2
GERONIMO,47659,4,4
GERONIMO,5024,4,1
GERONIMO,2574,4,3
GERONIMO,32227,4,3
GERONIMO,47676,4,3
GERONIMO,47328,4,2
GERONIMO,47689,4,2
GERONIMO,31605,4,3
GERONIMO,47510,4,3
GERONIMO,8463,4,3
GERONIMO,47706,4,3
GERONIMO,32339,4,1
GERONIMO,47501,4,2
GERONIMO,31694,4,1
GERONIMO,47488,4,1
GERONIMO,47456,4,1
GERONIMO,290,4,1
GERONIMO,29126,4,1
GERONIMO,32004,4,2
GERONIMO,17528,4,2
GERONIMO,47621,4,1
GERONIMO,43134,4,3
GERONIMO,47376,4,1
GERONIMO,47374,4,1
GERONIMO,47698,4,1
GERONIMO,47622,4,1
GERONIMO,47448,4,2
GERONIMO,25835,3,2
GERONIMO,47550,3,2
GERONIMO,47332,3,2
GERONIMO,47598,3,2
GERONIMO,19462,3,2
GERONIMO,19431,3,2
GERONIMO,31996,3,2
GERONIMO,47520,3,1
GERONIMO,32272,3,2
GERONIMO,47628,3,1
GERONIMO,16528,3,1
GERONIMO,47519,3,1
GERONIMO,47643,3,1
GERONIMO,47696,3,1
GERONIMO,47514,3,1
GERONIMO,47645,3,1
GERONIMO,5864,3,2
GERONIMO,15383,3,1
GERONIMO,14868,3,3
GERONIMO,47647,3,1
GERONIMO,47656,3,3
GERONIMO,47701,3,2
GERONIMO,32541,3,2
GERONIMO,47712,3,3
GERONIMO,33637,3,1
GERONIMO,33641,3,3
GERONIMO,34172,3,1
GERONIMO,6801,3,1
GERONIMO,8438,3,2
GERONIMO,7912,3,2
GERONIMO,7805,3,2
GERONIMO,47486,3,1
GERONIMO,47679,3,2
GERONIMO,47483,3,1
GERONIMO,42053,3,1
GERONIMO,47394,3,1
GERONIMO,47393,3,1
GERONIMO,7603,3,2
GERONIMO,47424,3,3
GERONIMO,43017,3,1
GERONIMO,47382,3,2
GERONIMO,46513,3,2
GERONIMO,47466,3,2
GERONIMO,47452,3,1
GERONIMO,47567,3,1
GERONIMO,27053,3,1
GERONIMO,47575,3,1
GERONIMO,47534,2,1
GERONIMO,193,2,1
GERONIMO,814,2,1
GERONIMO,2504,2,1
GERONIMO,5713,2,1
GERONIMO,7096,2,2
GERONIMO,7284,2,1
GERONIMO,8446,2,1
GERONIMO,8451,2,1
GERONIMO,9116,2,1
GERONIMO,9400,2,1
GERONIMO,9459,2,2
GERONIMO,9775,2,2
GERONIMO,12014,2,2
GERONIMO,12027,2,2
GERONIMO,12033,2,2
GERONIMO,13797,2,2
GERONIMO,15496,2,1
GERONIMO,15619,2,1
GERONIMO,18694,2,1
GERONIMO,19851,2,2
GERONIMO,20686,2,1
GERONIMO,22142,2,2
GERONIMO,23925,2,1
GERONIMO,27483,2,2
GERONIMO,29016,2,2
GERONIMO,29705,2,2
GERONIMO,32449,2,1
GERONIMO,32506,2,1
GERONIMO,32534,2,1
GERONIMO,33077,2,1
GERONIMO,34997,2,1
GERONIMO,39465,2,1
GERONIMO,41400,2,2
GERONIMO,42010,2,2
GERONIMO,47315,2,1
GERONIMO,47379,2,1
GERONIMO,47391,2,1
GERONIMO,47399,2,1
GERONIMO,47415,2,1
GERONIMO,47425,2,1
GERONIMO,47433,2,1
GERONIMO,47435,2,1
GERONIMO,47446,2,1
GERONIMO,47450,2,2
GERONIMO,47454,2,1
GERONIMO,47458,2,1
GERONIMO,47469,2,1
GERONIMO,47473,2,2
GERONIMO,47481,2,1
GERONIMO,47491,2,1
GERONIMO,47492,2,1
GERONIMO,47512,2,1
GERONIMO,47521,2,1
GERONIMO,47527,2,1
GERONIMO,47543,2,1
GERONIMO,47544,2,1
GERONIMO,47552,2,1
GERONIMO,47568,2,1
