Project,AuthorID,CommentCount,IssueCount
GROOVY,3258,3369,1943
GROOVY,74926,2524,1328
GROOVY,71565,1448,504
GROOVY,118,1344,917
GROOVY,86490,755,377
GROOVY,37678,502,326
GROOVY,91930,431,313
GROOVY,42195,337,161
GROOVY,27879,243,69
GROOVY,22882,212,89
GROOVY,28392,199,150
GROOVY,29372,173,106
GROOVY,72663,173,82
GROOVY,92756,154,84
GROOVY,92312,145,65
GROOVY,91716,115,72
GROOVY,2409,105,73
GROOVY,27661,97,42
GROOVY,51893,93,36
GROOVY,93216,84,66
GROOVY,74066,81,57
GROOVY,15467,77,39
GROOVY,2082,77,24
GROOVY,79379,76,32
GROOVY,6100,74,23
GROOVY,74206,62,26
GROOVY,8385,57,39
GROOVY,10723,55,22
GROOVY,92880,54,24
GROOVY,92359,54,27
GROOVY,39230,54,18
GROOVY,91707,54,23
GROOVY,28036,54,32
GROOVY,75459,53,17
GROOVY,4804,49,29
GROOVY,82017,49,18
GROOVY,92398,46,22
GROOVY,90006,45,30
GROOVY,68875,45,23
GROOVY,92879,44,28
GROOVY,73477,42,18
GROOVY,93904,42,29
GROOVY,93840,42,28
GROOVY,59911,41,27
GROOVY,93903,40,28
GROOVY,91738,40,21
GROOVY,78624,38,16
GROOVY,5048,38,19
GROOVY,92788,35,10
GROOVY,93452,35,23
GROOVY,74197,35,12
GROOVY,91935,35,24
GROOVY,50999,34,24
GROOVY,93479,34,24
GROOVY,75303,33,22
GROOVY,76177,32,21
GROOVY,86141,31,19
GROOVY,5233,29,29
GROOVY,18710,29,11
GROOVY,92667,29,12
GROOVY,3838,28,10
GROOVY,91548,28,23
GROOVY,32779,27,20
GROOVY,47348,24,12
GROOVY,92326,24,8
GROOVY,91943,23,17
GROOVY,42088,23,12
GROOVY,2587,23,22
GROOVY,192,22,3
GROOVY,93688,22,17
GROOVY,66900,21,8
GROOVY,64240,21,15
GROOVY,91938,20,6
GROOVY,46732,20,11
GROOVY,93360,19,12
GROOVY,86466,19,7
GROOVY,69256,19,7
GROOVY,93018,19,6
GROOVY,43628,19,6
GROOVY,92818,19,2
GROOVY,92694,18,10
GROOVY,93370,17,12
GROOVY,92336,17,15
GROOVY,32323,16,10
GROOVY,39455,16,8
GROOVY,92807,15,2
GROOVY,93029,15,6
GROOVY,92356,15,9
GROOVY,92630,14,7
GROOVY,2560,14,5
GROOVY,92330,14,10
GROOVY,15051,14,8
GROOVY,92891,14,4
GROOVY,81632,14,10
GROOVY,92327,14,7
GROOVY,76410,13,3
GROOVY,93175,13,6
GROOVY,92341,13,8
GROOVY,39500,13,3
GROOVY,92821,13,3
GROOVY,7111,13,9
GROOVY,92471,13,5
GROOVY,8847,13,7
GROOVY,83319,12,7
GROOVY,91941,12,6
GROOVY,1781,12,7
GROOVY,40312,12,3
GROOVY,93580,12,4
GROOVY,93333,12,5
GROOVY,93174,12,4
GROOVY,86288,12,4
GROOVY,2629,11,3
GROOVY,93026,11,5
GROOVY,2522,11,2
GROOVY,92594,11,5
GROOVY,27852,11,7
GROOVY,92320,11,4
GROOVY,93317,10,4
GROOVY,92782,10,2
GROOVY,87411,10,5
GROOVY,93224,10,2
GROOVY,92451,10,6
GROOVY,69795,10,2
GROOVY,91904,10,7
GROOVY,91946,10,8
GROOVY,93007,10,7
GROOVY,27166,10,4
GROOVY,35944,10,4
GROOVY,5380,9,3
GROOVY,50812,9,4
GROOVY,92338,9,2
GROOVY,76164,9,7
GROOVY,92616,9,3
GROOVY,7710,9,3
GROOVY,1518,9,5
GROOVY,8680,9,7
GROOVY,93691,9,6
GROOVY,92376,9,3
GROOVY,92370,9,3
GROOVY,93161,9,1
GROOVY,92693,9,5
GROOVY,93035,9,5
GROOVY,93480,9,3
GROOVY,21808,8,6
GROOVY,91931,8,2
GROOVY,17778,8,7
GROOVY,78102,8,3
GROOVY,69369,8,1
GROOVY,92678,8,4
GROOVY,9936,8,4
GROOVY,92371,8,2
GROOVY,7214,8,5
GROOVY,93322,8,6
GROOVY,35738,8,3
GROOVY,92393,8,3
GROOVY,42258,8,5
GROOVY,4105,8,2
GROOVY,9760,8,4
GROOVY,92838,8,7
GROOVY,92845,8,2
GROOVY,4033,8,7
GROOVY,67629,8,6
GROOVY,40884,8,4
GROOVY,92333,8,4
GROOVY,92766,8,1
GROOVY,92394,8,4
GROOVY,871,8,4
GROOVY,93082,8,3
GROOVY,91942,8,3
GROOVY,76167,8,3
GROOVY,92342,7,3
GROOVY,9813,7,4
GROOVY,93232,7,6
GROOVY,7374,7,1
GROOVY,92617,7,2
GROOVY,68369,7,2
GROOVY,69076,7,2
GROOVY,91645,7,4
GROOVY,89766,7,3
GROOVY,92611,7,4
GROOVY,69881,7,3
GROOVY,1023,7,3
GROOVY,19952,7,1
GROOVY,92469,7,5
GROOVY,92380,7,5
GROOVY,81633,7,5
GROOVY,43920,7,1
GROOVY,27967,7,2
GROOVY,92875,7,2
GROOVY,93662,7,3
GROOVY,32053,7,1
GROOVY,47548,7,2
GROOVY,92911,7,4
GROOVY,68539,7,1
GROOVY,68428,7,2
GROOVY,92550,6,3
GROOVY,91600,6,5
GROOVY,59298,6,2
GROOVY,93811,6,1
GROOVY,90503,6,3
GROOVY,92498,6,2
GROOVY,6183,6,5
GROOVY,3819,6,2
GROOVY,1835,6,2
GROOVY,2601,6,3
GROOVY,92773,6,4
GROOVY,44426,6,3
GROOVY,39333,6,5
GROOVY,47346,6,4
GROOVY,3777,6,2
GROOVY,65946,6,4
GROOVY,92674,6,2
GROOVY,92325,6,1
GROOVY,92397,6,4
GROOVY,40844,6,3
GROOVY,92666,6,1
GROOVY,79459,6,1
GROOVY,40895,6,2
GROOVY,74519,6,2
GROOVY,74233,6,1
GROOVY,93341,6,1
GROOVY,74208,6,4
GROOVY,92889,6,4
GROOVY,93171,6,4
GROOVY,19086,6,2
GROOVY,92943,6,1
GROOVY,92867,5,1
GROOVY,74377,5,3
GROOVY,77116,5,2
GROOVY,42338,5,1
GROOVY,45691,5,4
GROOVY,42289,5,2
GROOVY,92634,5,1
GROOVY,55157,5,5
GROOVY,67995,5,2
GROOVY,30427,5,2
GROOVY,1764,5,2
GROOVY,92801,5,1
GROOVY,42100,5,3
GROOVY,4574,5,3
GROOVY,32519,5,1
GROOVY,92834,5,1
GROOVY,92378,5,4
GROOVY,93186,5,2
GROOVY,9080,5,4
GROOVY,92650,5,1
GROOVY,91903,5,1
GROOVY,88486,5,1
GROOVY,67120,5,4
GROOVY,92903,5,1
GROOVY,92819,5,4
GROOVY,92367,5,2
GROOVY,93218,5,2
GROOVY,91933,5,4
GROOVY,3628,5,2
GROOVY,1322,5,4
GROOVY,93221,5,3
GROOVY,70553,5,1
GROOVY,92898,5,1
GROOVY,40504,5,2
GROOVY,84647,5,2
GROOVY,92485,5,4
GROOVY,59614,5,1
GROOVY,15496,5,1
GROOVY,92386,5,3
GROOVY,83553,5,1
GROOVY,92483,5,2
GROOVY,91503,5,2
GROOVY,92474,5,1
GROOVY,6322,5,4
GROOVY,27311,5,1
GROOVY,93497,5,1
GROOVY,15177,5,4
GROOVY,93031,5,1
GROOVY,44264,5,3
GROOVY,44361,5,4
