Project,AuthorID,CommentCount,IssueCount
HADOOP,8340,3622,1523
HADOOP,8527,2905,1000
HADOOP,8381,2443,1218
HADOOP,30471,2283,558
HADOOP,8350,2019,633
HADOOP,8552,1690,610
HADOOP,7895,1642,585
HADOOP,8187,1621,673
HADOOP,8481,1557,593
HADOOP,8532,1390,620
HADOOP,36200,1347,399
HADOOP,8367,1330,612
HADOOP,8598,1151,465
HADOOP,8494,1138,305
HADOOP,8489,1131,321
HADOOP,36067,1041,302
HADOOP,7962,1032,456
HADOOP,8658,951,270
HADOOP,7819,805,372
HADOOP,8166,775,338
HADOOP,8478,748,289
HADOOP,8221,734,477
HADOOP,8290,705,196
HADOOP,36159,705,185
HADOOP,8471,660,258
HADOOP,7884,657,215
HADOOP,36076,630,172
HADOOP,9488,627,235
HADOOP,7932,600,151
HADOOP,25399,562,283
HADOOP,7830,504,209
HADOOP,7827,498,207
HADOOP,8112,497,170
HADOOP,8374,470,197
HADOOP,8066,470,173
HADOOP,8391,464,142
HADOOP,8530,427,171
HADOOP,8370,411,178
HADOOP,7905,402,138
HADOOP,8603,376,103
HADOOP,22055,371,73
HADOOP,8805,331,67
HADOOP,8652,320,145
HADOOP,36063,318,118
HADOOP,8581,304,102
HADOOP,8057,290,110
HADOOP,8635,289,96
HADOOP,8063,283,128
HADOOP,36303,280,246
HADOOP,36458,254,67
HADOOP,36282,250,136
HADOOP,36193,250,94
HADOOP,8327,248,81
HADOOP,8218,247,71
HADOOP,30870,214,65
HADOOP,36330,211,79
HADOOP,8594,205,105
HADOOP,8485,203,51
HADOOP,36278,201,55
HADOOP,8537,198,69
HADOOP,8473,196,76
HADOOP,7896,193,54
HADOOP,22062,192,73
HADOOP,8363,191,123
HADOOP,8498,187,36
HADOOP,17239,185,43
HADOOP,8655,179,45
HADOOP,8619,176,52
HADOOP,8534,170,88
HADOOP,8480,168,61
HADOOP,36312,162,60
HADOOP,36467,155,27
HADOOP,30902,154,70
HADOOP,8524,141,76
HADOOP,17133,140,47
HADOOP,32643,138,36
HADOOP,36545,135,39
HADOOP,8468,126,38
HADOOP,9065,119,53
HADOOP,34002,116,46
HADOOP,8499,115,25
HADOOP,30640,112,28
HADOOP,25986,110,45
HADOOP,7845,109,34
