Project,AuthorID,CommentCount,IssueCount,Ranking
HARMONY,9819,1888,1030,VHIGH
HARMONY,46482,1441,723,VHIGH
HARMONY,21769,1287,704,VHIGH
HARMONY,16518,1185,646,HIGH
HARMONY,46567,922,483,HIGH
HARMONY,46513,768,378,HIGH
HARMONY,46595,731,326,HIGH
HARMONY,46520,729,381,HIGH
HARMONY,8457,718,483,HIGH
HARMONY,8455,646,189,HIGH
HARMONY,16557,629,320,HIGH
HARMONY,29522,615,196,HIGH
HARMONY,46545,570,345,HIGH
HARMONY,46478,568,260,HIGH
HARMONY,7692,533,327,HIGH
HARMONY,46425,518,246,HIGH
HARMONY,9116,482,255,HIGH
HARMONY,46584,436,158,HIGH
HARMONY,42244,420,216,HIGH
HARMONY,46471,409,263,HIGH
HARMONY,22067,376,174,HIGH
HARMONY,46494,364,139,HIGH
HARMONY,29523,360,100,HIGH
HARMONY,46521,344,159,HIGH
HARMONY,46674,332,156,HIGH
HARMONY,46529,326,138,HIGH
HARMONY,37638,301,145,HIGH
HARMONY,46438,292,153,HIGH
HARMONY,46530,288,164,HIGH
HARMONY,46448,287,137,HIGH
HARMONY,18729,276,139,HIGH
HARMONY,43017,258,136,STD
HARMONY,46477,258,96,STD
HARMONY,46515,255,80,STD
HARMONY,46539,246,87,STD
HARMONY,46527,241,109,STD
HARMONY,46570,239,133,STD
HARMONY,46483,233,149,STD
HARMONY,46630,231,83,STD
HARMONY,46437,214,90,STD
HARMONY,46566,208,107,STD
HARMONY,46531,202,80,STD
HARMONY,46625,197,92,STD
HARMONY,46634,186,74,STD
HARMONY,46499,180,65,STD
HARMONY,46542,176,83,STD
HARMONY,46434,168,114,STD
HARMONY,46587,168,88,STD
HARMONY,40884,164,61,STD
HARMONY,46537,161,60,STD
HARMONY,46610,160,74,STD
HARMONY,46534,158,69,STD
HARMONY,46519,153,85,STD
HARMONY,46632,147,66,STD
HARMONY,46498,144,68,STD
HARMONY,46604,143,38,STD
HARMONY,46561,127,57,STD
HARMONY,46639,126,56,STD
HARMONY,46522,120,81,STD
HARMONY,46588,119,44,STD
HARMONY,46637,119,48,STD
HARMONY,46431,112,43,STD
HARMONY,46523,111,57,STD
HARMONY,46441,110,46,STD
HARMONY,46548,99,43,STD
HARMONY,46661,95,56,STD
HARMONY,46609,92,43,STD
HARMONY,46430,90,44,STD
HARMONY,16612,82,43,STD
HARMONY,46589,80,35,STD
HARMONY,46629,79,39,STD
HARMONY,46641,77,38,STD
HARMONY,46517,74,36,STD
HARMONY,7904,70,18,STD
HARMONY,46469,69,43,STD
HARMONY,46573,68,32,STD
HARMONY,46593,67,23,STD
HARMONY,46597,63,47,STD
HARMONY,46616,62,47,STD
HARMONY,46505,62,25,STD
HARMONY,46650,61,35,STD
HARMONY,46549,61,18,STD
HARMONY,46554,58,14,STD
HARMONY,46596,57,28,STD
HARMONY,46605,56,23,STD
HARMONY,46558,56,23,STD
HARMONY,46611,56,25,STD
HARMONY,46594,53,33,STD
HARMONY,46640,51,31,STD
HARMONY,46608,50,19,STD
HARMONY,46491,48,10,STD
HARMONY,46662,45,20,STD
HARMONY,46435,41,22,STD
HARMONY,46669,39,22,STD
HARMONY,46507,39,19,STD
HARMONY,46432,39,28,STD
HARMONY,46525,38,25,STD
HARMONY,46663,37,10,STD
HARMONY,46615,37,17,STD
HARMONY,46628,37,23,STD
HARMONY,23243,36,19,STD
HARMONY,46636,35,16,STD
HARMONY,46563,35,13,STD
