Project,AuthorID,CommentCount,IssueCount,Ranking
HBASE,8327,20351,6666,VHIGH
HBASE,36068,6935,1488,VHIGH
HBASE,7909,6118,1719,VHIGH
HBASE,7862,3655,1445,VHIGH
HBASE,7970,3045,757,VHIGH
HBASE,8232,2942,1194,VHIGH
HBASE,36224,2394,686,VHIGH
HBASE,8050,2137,200,VHIGH
HBASE,8135,2070,589,VHIGH
HBASE,42481,1971,447,HIGH
HBASE,42871,1751,679,HIGH
HBASE,7954,1685,439,HIGH
HBASE,44867,1611,128,HIGH
HBASE,7838,1591,429,HIGH
HBASE,34002,1538,479,HIGH
HBASE,7905,1517,503,HIGH
HBASE,17219,1400,433,HIGH
HBASE,7895,1328,615,HIGH
HBASE,45667,1056,242,HIGH
HBASE,8630,993,301,HIGH
HBASE,30839,861,156,HIGH
HBASE,8347,803,394,HIGH
HBASE,45888,794,163,HIGH
HBASE,8013,791,293,HIGH
HBASE,25303,775,236,HIGH
HBASE,8187,702,152,HIGH
HBASE,8040,699,164,HIGH
HBASE,21339,619,205,HIGH
HBASE,7825,589,142,HIGH
HBASE,45195,563,161,HIGH
HBASE,8231,558,194,HIGH
HBASE,18505,513,197,HIGH
HBASE,45256,484,221,HIGH
HBASE,45883,433,116,HIGH
HBASE,17133,420,66,HIGH
HBASE,36142,376,144,HIGH
HBASE,7910,361,98,HIGH
HBASE,30637,356,48,HIGH
HBASE,7935,349,99,HIGH
HBASE,42775,324,130,HIGH
HBASE,45905,284,79,HIGH
HBASE,45959,283,76,HIGH
HBASE,21452,252,109,HIGH
HBASE,46095,246,55,HIGH
HBASE,36598,231,85,HIGH
HBASE,8350,230,78,HIGH
HBASE,8266,222,60,HIGH
HBASE,759,216,72,HIGH
HBASE,8282,201,58,HIGH
HBASE,45833,195,61,HIGH
HBASE,25278,194,33,HIGH
HBASE,46073,172,33,HIGH
HBASE,46299,166,68,HIGH
HBASE,8637,165,50,HIGH
HBASE,8328,160,51,HIGH
HBASE,8352,157,70,HIGH
HBASE,7819,156,91,HIGH
HBASE,8283,155,75,HIGH
HBASE,8104,153,32,HIGH
HBASE,45585,147,22,HIGH
HBASE,46120,134,19,HIGH
HBASE,8043,131,31,HIGH
HBASE,45900,126,29,HIGH
HBASE,45309,126,46,HIGH
HBASE,8233,124,65,HIGH
HBASE,42661,123,49,HIGH
HBASE,45885,121,37,HIGH
HBASE,45887,121,19,HIGH
HBASE,8222,116,16,HIGH
HBASE,46052,109,47,HIGH
HBASE,26077,107,15,HIGH
HBASE,45092,102,53,HIGH
HBASE,45359,98,23,HIGH
HBASE,39819,98,16,HIGH
HBASE,45136,95,14,HIGH
HBASE,36193,90,35,HIGH
HBASE,7842,88,26,HIGH
HBASE,45891,87,10,HIGH
HBASE,45906,86,40,HIGH
HBASE,46047,83,54,HIGH
HBASE,45588,78,19,HIGH
HBASE,45884,78,16,HIGH
HBASE,21884,76,25,HIGH
HBASE,45921,75,13,HIGH
HBASE,1742,75,15,HIGH
HBASE,45969,74,14,HIGH
HBASE,36125,72,45,HIGH
HBASE,33662,71,17,HIGH
HBASE,45025,69,31,HIGH
HBASE,46107,68,9,HIGH
HBASE,33990,68,26,HIGH
HBASE,21387,68,15,HIGH
HBASE,46006,68,18,HIGH
HBASE,46354,66,25,HIGH
HBASE,46377,65,31,HIGH
HBASE,30912,63,30,STD
HBASE,21287,60,15,STD
HBASE,42426,60,11,STD
HBASE,30481,59,11,STD
HBASE,17176,58,11,STD
HBASE,36031,56,10,STD
HBASE,8112,53,13,STD
HBASE,8178,53,15,STD
HBASE,7953,53,20,STD
HBASE,45213,52,13,STD
HBASE,8631,50,19,STD
HBASE,26948,49,23,STD
HBASE,39969,47,10,STD
HBASE,8041,47,28,STD
HBASE,46365,46,16,STD
HBASE,17191,46,20,STD
HBASE,46015,46,3,STD
HBASE,8664,45,9,STD
HBASE,7855,43,5,STD
HBASE,7967,43,14,STD
HBASE,8244,43,31,STD
HBASE,35620,42,25,STD
HBASE,45942,41,16,STD
HBASE,46265,41,24,STD
HBASE,21188,41,12,STD
HBASE,21553,40,9,STD
HBASE,8533,38,10,STD
HBASE,45700,38,9,STD
HBASE,45910,37,24,STD
HBASE,8254,37,17,STD
HBASE,46000,37,6,STD
HBASE,45918,37,12,STD
HBASE,7750,37,2,STD
HBASE,36578,35,23,STD
HBASE,46361,34,5,STD
HBASE,46143,34,4,STD
HBASE,8340,33,20,STD
HBASE,46108,32,5,STD
HBASE,20703,32,5,STD
HBASE,45672,32,4,STD
HBASE,46186,32,7,STD
HBASE,33831,32,9,STD
HBASE,36066,32,9,STD
HBASE,8494,31,12,STD
HBASE,7934,31,12,STD
HBASE,46070,31,10,STD
HBASE,45680,31,9,STD
HBASE,45039,30,13,STD
HBASE,8541,29,9,STD
HBASE,8619,29,7,STD
HBASE,8257,29,9,STD
HBASE,46163,28,13,STD
HBASE,45953,28,3,STD
HBASE,21485,28,12,STD
HBASE,7958,28,6,STD
HBASE,36200,28,11,STD
HBASE,45917,28,5,STD
HBASE,46083,27,7,STD
HBASE,8367,27,11,STD
HBASE,7948,26,5,STD
HBASE,30640,26,8,STD
HBASE,8547,26,7,STD
HBASE,45975,25,8,STD
HBASE,8173,25,5,STD
HBASE,45935,25,6,STD
HBASE,7937,24,9,STD
HBASE,8022,23,2,STD
HBASE,45844,23,8,STD
HBASE,46211,22,5,STD
HBASE,7809,22,7,STD
HBASE,36446,22,5,STD
HBASE,45936,22,7,STD
HBASE,8647,22,6,STD
HBASE,46187,22,7,STD
HBASE,39029,22,3,STD
HBASE,46403,22,5,STD
HBASE,36130,22,4,STD
HBASE,45960,21,4,STD
HBASE,37078,21,8,STD
HBASE,46012,21,3,STD
HBASE,45117,21,8,STD
HBASE,46072,21,7,STD
HBASE,46313,20,7,STD
HBASE,36565,20,8,STD
HBASE,46016,19,3,STD
HBASE,46043,19,6,STD
HBASE,8015,19,8,STD
HBASE,8034,19,12,STD
HBASE,46172,19,3,STD
HBASE,8117,19,6,STD
HBASE,44943,19,3,STD
HBASE,21880,19,12,STD
HBASE,46293,18,3,STD
HBASE,45903,18,2,STD
HBASE,8598,18,7,STD
HBASE,45838,18,5,STD
HBASE,46402,18,2,STD
HBASE,25336,18,3,STD
HBASE,30862,17,5,STD
HBASE,36667,17,3,STD
HBASE,45697,17,6,STD
HBASE,21663,17,4,STD
HBASE,8476,17,3,STD
HBASE,45999,16,1,STD
HBASE,6104,16,7,STD
HBASE,8488,16,2,STD
HBASE,30471,16,5,STD
HBASE,44839,16,2,STD
HBASE,45886,16,5,STD
HBASE,45902,16,8,STD
HBASE,46092,16,3,STD
HBASE,46168,16,3,STD
HBASE,8530,15,2,STD
HBASE,46021,15,11,STD
HBASE,8169,15,4,STD
HBASE,45901,15,6,STD
HBASE,36218,15,13,STD
HBASE,17130,15,1,STD
HBASE,25277,15,3,STD
HBASE,32610,15,6,STD
HBASE,25317,15,4,STD
HBASE,17168,15,11,STD
HBASE,8391,15,7,STD
HBASE,46162,15,4,STD
HBASE,8063,14,6,STD
HBASE,45991,14,3,STD
HBASE,8381,14,8,STD
HBASE,23079,14,4,STD
HBASE,44944,14,3,STD
HBASE,44888,14,3,STD
HBASE,46048,14,4,STD
HBASE,17141,14,6,STD
HBASE,36005,14,4,STD
HBASE,26435,14,6,STD
HBASE,32649,14,3,STD
HBASE,8057,13,6,STD
HBASE,34009,13,8,STD
HBASE,45287,13,5,STD
HBASE,8481,13,5,STD
HBASE,39872,13,2,STD
HBASE,30758,13,2,STD
HBASE,35625,13,5,STD
HBASE,46384,13,7,STD
HBASE,8623,13,5,STD
HBASE,46114,13,5,STD
HBASE,7932,13,5,STD
HBASE,46075,13,3,STD
HBASE,26374,13,3,STD
HBASE,39917,12,4,STD
HBASE,6332,12,5,STD
HBASE,46056,12,1,STD
HBASE,38399,12,7,STD
HBASE,8529,12,3,STD
HBASE,46085,12,8,STD
HBASE,8071,12,1,STD
HBASE,36296,12,4,STD
HBASE,36278,12,1,STD
HBASE,36272,12,7,STD
HBASE,45987,12,2,STD
HBASE,17175,12,1,STD
HBASE,46154,12,3,STD
HBASE,46036,12,1,STD
HBASE,8517,11,3,STD
HBASE,45912,11,2,STD
HBASE,27591,11,2,STD
HBASE,20847,11,6,STD
HBASE,46245,11,4,STD
HBASE,29935,11,2,STD
HBASE,26773,11,6,STD
HBASE,45041,11,3,STD
HBASE,7965,11,4,STD
HBASE,46297,11,4,STD
HBASE,7962,11,8,STD
HBASE,46251,11,4,STD
HBASE,45898,11,2,STD
HBASE,45875,10,3,STD
HBASE,45899,10,7,STD
HBASE,45915,10,5,STD
HBASE,46315,10,3,STD
HBASE,30470,10,5,STD
HBASE,21830,10,4,STD
HBASE,7818,10,3,STD
HBASE,30738,10,4,STD
HBASE,21505,10,6,STD
HBASE,7896,10,3,STD
HBASE,22076,10,3,STD
HBASE,45998,10,2,STD
HBASE,45576,10,3,STD
HBASE,8305,10,4,STD
HBASE,45971,10,4,STD
HBASE,8221,10,6,STD
HBASE,8571,9,4,STD
HBASE,8478,9,5,STD
HBASE,12442,9,7,STD
HBASE,8166,9,5,STD
HBASE,46217,9,4,STD
HBASE,36589,9,4,STD
HBASE,46135,9,5,STD
HBASE,46177,9,1,STD
HBASE,46025,9,2,STD
HBASE,46057,9,1,STD
HBASE,45955,9,1,STD
HBASE,46279,9,4,STD
HBASE,30446,9,5,STD
HBASE,46094,9,1,STD
HBASE,46307,9,1,STD
HBASE,46054,9,7,STD
HBASE,46059,9,1,STD
HBASE,46201,9,8,STD
HBASE,46074,9,3,STD
HBASE,46097,8,5,STD
HBASE,21802,8,2,STD
HBASE,46258,8,1,STD
HBASE,46250,8,4,STD
HBASE,46249,8,1,STD
HBASE,46303,8,3,STD
HBASE,45904,8,3,STD
HBASE,35536,8,4,STD
HBASE,36566,8,4,STD
HBASE,45928,8,3,STD
HBASE,45925,8,3,STD
HBASE,7992,8,3,STD
HBASE,46326,8,2,STD
HBASE,46139,8,3,STD
HBASE,8089,8,2,STD
HBASE,8193,8,3,STD
HBASE,45926,8,2,STD
HBASE,46357,8,6,STD
HBASE,46298,8,3,STD
HBASE,46019,8,3,STD
HBASE,22005,8,3,STD
HBASE,45781,8,3,STD
HBASE,8000,8,4,STD
HBASE,46069,8,4,STD
HBASE,7956,8,2,STD
HBASE,46208,7,1,STD
HBASE,36182,7,3,STD
HBASE,15646,7,1,STD
HBASE,26683,7,5,STD
HBASE,46189,7,2,STD
HBASE,8100,7,5,STD
HBASE,7827,7,4,STD
HBASE,7925,7,5,STD
HBASE,8607,7,2,STD
HBASE,44952,7,3,STD
HBASE,45934,7,2,STD
HBASE,46005,7,4,STD
HBASE,46418,7,1,STD
HBASE,46165,7,4,STD
