Project,AuthorID,CommentCount,IssueCount,Ranking
HDFS,8527,4106,1151,VHIGH
HDFS,7895,4053,1219,VHIGH
HDFS,8552,3000,1020,VHIGH
HDFS,8166,2068,771,VHIGH
HDFS,7962,1962,765,VHIGH
HDFS,7932,1469,384,VHIGH
HDFS,8598,1309,415,VHIGH
HDFS,8350,1188,384,HIGH
HDFS,8290,1104,286,HIGH
HDFS,36193,1095,344,HIGH
HDFS,36115,981,334,HIGH
HDFS,36200,917,207,HIGH
HDFS,8489,866,292,HIGH
HDFS,36063,696,265,HIGH
HDFS,8581,631,198,HIGH
HDFS,7884,602,197,HIGH
HDFS,25399,593,316,HIGH
HDFS,7819,582,288,HIGH
HDFS,8066,550,219,HIGH
HDFS,8057,523,209,HIGH
HDFS,8657,500,161,HIGH
HDFS,8619,485,172,HIGH
HDFS,8494,441,110,HIGH
HDFS,8537,424,135,HIGH
HDFS,36076,416,137,HIGH
HDFS,30471,351,108,HIGH
HDFS,7815,339,105,HIGH
HDFS,8498,327,74,HIGH
HDFS,8340,290,89,HIGH
HDFS,36330,282,109,HIGH
HDFS,7956,268,55,HIGH
HDFS,8374,257,121,HIGH
HDFS,8654,247,78,HIGH
HDFS,8478,238,106,HIGH
HDFS,8327,224,62,HIGH
HDFS,8381,204,105,HIGH
HDFS,8539,196,46,HIGH
HDFS,9488,184,56,HIGH
HDFS,8367,178,101,HIGH
HDFS,8500,169,61,HIGH
HDFS,7896,167,73,HIGH
HDFS,8218,153,48,HIGH
HDFS,8076,149,25,HIGH
HDFS,32643,138,43,HIGH
HDFS,7830,134,54,HIGH
HDFS,8667,130,52,HIGH
HDFS,45715,126,44,HIGH
HDFS,36409,122,39,HIGH
HDFS,8187,120,46,HIGH
HDFS,36274,106,30,HIGH
HDFS,36091,106,25,HIGH
HDFS,8481,105,61,HIGH
HDFS,8499,102,25,HIGH
HDFS,8480,102,29,HIGH
HDFS,36068,98,10,HIGH
HDFS,36359,95,13,HIGH
HDFS,35625,92,36,HIGH
HDFS,7909,84,21,HIGH
HDFS,8603,79,26,HIGH
HDFS,8101,78,22,HIGH
HDFS,45758,77,14,HIGH
HDFS,8391,77,33,HIGH
HDFS,8351,75,5,HIGH
HDFS,7838,72,12,HIGH
HDFS,8532,72,34,HIGH
HDFS,8221,67,49,HIGH
HDFS,7935,67,26,HIGH
HDFS,8473,63,23,HIGH
HDFS,7862,61,31,HIGH
HDFS,30832,60,26,HIGH
HDFS,36303,60,43,HIGH
HDFS,8592,58,20,HIGH
HDFS,8652,56,18,HIGH
HDFS,22055,56,20,HIGH
HDFS,45560,56,29,HIGH
HDFS,36498,55,5,STD
HDFS,7953,54,17,STD
HDFS,8112,53,19,STD
HDFS,8050,50,15,STD
HDFS,36503,50,31,STD
HDFS,42709,49,11,STD
HDFS,36050,48,27,STD
HDFS,45585,46,4,STD
HDFS,8570,43,7,STD
HDFS,8363,42,28,STD
HDFS,8063,41,27,STD
HDFS,45256,39,23,STD
HDFS,30902,39,10,STD
HDFS,30523,39,18,STD
HDFS,22062,39,12,STD
HDFS,7849,38,8,STD
HDFS,8476,38,13,STD
HDFS,8534,37,21,STD
HDFS,45630,36,12,STD
HDFS,7886,36,7,STD
HDFS,7806,36,12,STD
HDFS,32565,36,7,STD
HDFS,45721,35,5,STD
HDFS,36362,35,13,STD
HDFS,8485,34,8,STD
HDFS,8541,34,5,STD
HDFS,45589,33,4,STD
HDFS,8347,33,13,STD
HDFS,7826,33,5,STD
HDFS,30640,33,11,STD
HDFS,22000,32,10,STD
HDFS,36137,32,10,STD
HDFS,45809,32,7,STD
HDFS,8524,32,18,STD
HDFS,36067,32,15,STD
HDFS,8545,31,27,STD
HDFS,8536,31,13,STD
HDFS,33990,30,3,STD
HDFS,26079,29,17,STD
HDFS,3421,28,11,STD
HDFS,36085,28,10,STD
HDFS,8041,28,18,STD
HDFS,36451,28,8,STD
HDFS,8506,28,11,STD
HDFS,8468,28,11,STD
HDFS,7750,28,9,STD
HDFS,36428,27,3,STD
HDFS,30870,27,16,STD
HDFS,36504,27,20,STD
HDFS,45640,27,8,STD
HDFS,8594,26,15,STD
HDFS,32621,26,7,STD
HDFS,8135,26,4,STD
HDFS,36130,26,2,STD
HDFS,8530,25,20,STD
HDFS,7827,25,14,STD
HDFS,45753,25,17,STD
HDFS,45297,25,5,STD
HDFS,8617,24,17,STD
HDFS,45823,24,5,STD
HDFS,34002,24,6,STD
HDFS,17239,23,9,STD
HDFS,45555,23,12,STD
HDFS,8471,23,14,STD
HDFS,7948,22,4,STD
HDFS,8232,22,11,STD
HDFS,36606,22,3,STD
HDFS,36224,22,12,STD
HDFS,30562,21,7,STD
HDFS,36296,21,13,STD
HDFS,7954,21,8,STD
HDFS,36041,19,9,STD
HDFS,45726,19,5,STD
HDFS,8282,19,6,STD
HDFS,45584,18,1,STD
HDFS,21993,18,3,STD
HDFS,36201,18,11,STD
HDFS,45785,17,9,STD
HDFS,8631,17,7,STD
HDFS,36251,17,10,STD
HDFS,7818,17,4,STD
HDFS,45710,17,6,STD
HDFS,45617,17,7,STD
HDFS,17191,17,8,STD
HDFS,30717,17,6,STD
HDFS,45344,16,11,STD
HDFS,45674,16,6,STD
HDFS,36324,16,2,STD
HDFS,17219,16,2,STD
HDFS,45824,16,4,STD
HDFS,45727,16,4,STD
HDFS,45657,16,4,STD
HDFS,45616,16,4,STD
HDFS,36331,15,7,STD
HDFS,8020,15,4,STD
HDFS,8614,15,5,STD
HDFS,7924,15,6,STD
HDFS,8174,15,3,STD
HDFS,45702,15,4,STD
HDFS,36134,15,2,STD
HDFS,8647,15,8,STD
HDFS,8043,15,5,STD
HDFS,30901,14,12,STD
HDFS,36424,14,6,STD
HDFS,36024,14,5,STD
HDFS,45802,14,1,STD
HDFS,45598,14,14,STD
HDFS,45309,13,2,STD
HDFS,30670,13,3,STD
HDFS,45665,13,3,STD
HDFS,36578,13,4,STD
HDFS,8604,13,3,STD
HDFS,7905,13,6,STD
HDFS,18549,13,6,STD
HDFS,21828,13,1,STD
HDFS,8553,12,6,STD
HDFS,3562,12,2,STD
HDFS,8564,12,6,STD
HDFS,21387,12,6,STD
HDFS,45577,12,5,STD
HDFS,36443,12,3,STD
HDFS,36311,12,6,STD
HDFS,36463,11,2,STD
HDFS,22090,11,3,STD
HDFS,45639,11,2,STD
HDFS,36089,11,3,STD
HDFS,30104,11,6,STD
HDFS,17201,11,4,STD
HDFS,8370,11,7,STD
HDFS,8526,10,4,STD
HDFS,17146,10,3,STD
HDFS,7842,10,3,STD
HDFS,45817,10,1,STD
HDFS,45092,10,4,STD
HDFS,45653,10,6,STD
HDFS,8584,10,3,STD
HDFS,7829,10,7,STD
HDFS,36265,9,2,STD
HDFS,8511,9,5,STD
HDFS,45685,9,2,STD
HDFS,45606,9,1,STD
HDFS,45614,9,2,STD
HDFS,8602,9,3,STD
HDFS,8065,9,3,STD
HDFS,8635,9,7,STD
HDFS,36030,9,4,STD
HDFS,45559,9,2,STD
HDFS,7855,9,2,STD
HDFS,8528,9,2,STD
HDFS,36203,8,2,STD
HDFS,36028,8,2,STD
HDFS,36165,8,1,STD
HDFS,45762,8,5,STD
HDFS,8247,8,5,STD
HDFS,17133,8,2,STD
HDFS,21455,8,3,STD
HDFS,42871,8,5,STD
HDFS,42377,8,1,STD
HDFS,26474,8,1,STD
HDFS,30862,8,5,STD
HDFS,36289,8,4,STD
HDFS,45619,7,2,STD
HDFS,8496,7,1,STD
HDFS,36583,7,2,STD
HDFS,45793,7,1,STD
HDFS,8501,7,2,STD
HDFS,45667,7,1,STD
HDFS,36546,7,1,STD
HDFS,8562,7,5,STD
HDFS,36102,7,3,STD
HDFS,7970,7,5,STD
HDFS,45756,7,3,STD
HDFS,36298,7,1,STD
HDFS,36205,7,3,STD
HDFS,36312,7,2,STD
HDFS,45731,7,1,STD
HDFS,32649,7,3,STD
HDFS,45728,7,5,STD
HDFS,45704,7,4,STD
HDFS,45576,7,3,STD
HDFS,37508,7,1,STD
HDFS,45815,7,1,STD
HDFS,8608,7,5,STD
HDFS,25757,7,1,STD
HDFS,8484,7,4,STD
HDFS,36372,7,5,STD
HDFS,8488,7,6,STD
HDFS,8567,6,5,STD
HDFS,45601,6,3,STD
HDFS,45853,6,2,STD
HDFS,7870,6,4,STD
HDFS,25311,6,3,STD
HDFS,36804,6,2,STD
HDFS,26077,6,2,STD
HDFS,7893,6,2,STD
HDFS,36490,6,2,STD
HDFS,19126,6,1,STD
HDFS,45658,6,2,STD
HDFS,30481,6,1,STD
HDFS,45672,6,1,STD
HDFS,30593,6,1,STD
HDFS,36343,6,4,STD
HDFS,7845,6,3,STD
HDFS,30745,6,3,STD
HDFS,30761,6,2,STD
HDFS,8202,6,3,STD
HDFS,8017,6,4,STD
HDFS,45782,6,6,STD
HDFS,36199,6,3,STD
HDFS,7945,6,5,STD
HDFS,45803,6,1,STD
HDFS,45808,6,3,STD
HDFS,36234,6,4,STD
HDFS,36135,6,5,STD
HDFS,8642,5,2,STD
HDFS,36217,5,4,STD
HDFS,30649,5,1,STD
HDFS,5178,5,1,STD
HDFS,36172,5,1,STD
HDFS,36282,5,5,STD
HDFS,45786,5,2,STD
HDFS,45734,5,5,STD
HDFS,45735,5,1,STD
HDFS,8576,5,2,STD
HDFS,20847,5,4,STD
HDFS,36379,5,1,STD
HDFS,8262,5,1,STD
HDFS,45705,5,1,STD
HDFS,36539,5,4,STD
HDFS,45745,5,1,STD
HDFS,21900,5,2,STD
HDFS,8586,5,2,STD
HDFS,8529,5,3,STD
HDFS,8521,5,2,STD
HDFS,45628,5,1,STD
HDFS,17138,5,2,STD
HDFS,45647,5,1,STD
HDFS,8661,5,2,STD
HDFS,8597,5,1,STD
HDFS,36743,5,1,STD
HDFS,45678,4,1,STD
HDFS,45615,4,2,STD
HDFS,8630,4,3,STD
HDFS,759,4,3,STD
HDFS,30678,4,1,STD
HDFS,21339,4,4,STD
HDFS,36125,4,3,STD
HDFS,35662,4,1,STD
HDFS,45748,4,1,STD
HDFS,45751,4,2,STD
HDFS,45627,4,1,STD
HDFS,36148,4,4,STD
HDFS,30906,4,1,STD
HDFS,45654,4,2,STD
HDFS,28530,4,4,STD
HDFS,8573,4,2,STD
HDFS,45574,4,1,STD
HDFS,45625,4,1,STD
HDFS,30298,4,1,STD
HDFS,7922,4,1,STD
HDFS,45659,4,2,STD
HDFS,45588,4,2,STD
HDFS,21476,4,2,STD
HDFS,45649,4,1,STD
HDFS,36425,4,2,STD
HDFS,36599,4,1,STD
HDFS,39586,3,2,STD
HDFS,5233,3,1,STD
HDFS,8093,3,1,STD
HDFS,8128,3,3,STD
HDFS,8222,3,1,STD
HDFS,8658,3,3,STD
HDFS,8666,3,2,STD
HDFS,8805,3,1,STD
HDFS,9545,3,1,STD
HDFS,9963,3,2,STD
HDFS,17233,3,1,STD
HDFS,20791,3,1,STD
HDFS,21898,3,1,STD
HDFS,22051,3,2,STD
HDFS,22096,3,1,STD
HDFS,23070,3,3,STD
HDFS,25310,3,1,STD
HDFS,26712,3,3,STD
HDFS,30452,3,1,STD
HDFS,30477,3,2,STD
HDFS,30706,3,2,STD
HDFS,30903,3,1,STD
HDFS,32644,3,1,STD
HDFS,34155,3,1,STD
HDFS,34390,3,1,STD
HDFS,35503,3,1,STD
HDFS,36042,3,2,STD
HDFS,36052,3,1,STD
HDFS,36070,3,2,STD
HDFS,36079,3,3,STD
HDFS,36159,3,3,STD
HDFS,36416,3,3,STD
HDFS,36434,3,2,STD
HDFS,36510,3,1,STD
HDFS,36593,3,2,STD
HDFS,36620,3,1,STD
HDFS,37839,3,2,STD
HDFS,42661,3,3,STD
HDFS,45395,3,2,STD
HDFS,45558,3,1,STD
HDFS,45578,3,1,STD
HDFS,45582,3,2,STD
HDFS,45621,3,1,STD
HDFS,45634,3,2,STD
HDFS,45648,3,1,STD
HDFS,45692,3,1,STD
HDFS,45708,3,3,STD
HDFS,45732,3,1,STD
HDFS,45738,3,1,STD
HDFS,45769,3,1,STD
HDFS,45772,3,1,STD
HDFS,45810,3,1,STD
HDFS,45831,3,1,STD
HDFS,45849,3,1,STD
HDFS,45863,3,1,STD
HDFS,45025,2,2,STD
HDFS,31769,2,2,STD
