Project,AuthorID,CommentCount,IssueCount
HHH,57,4617,2780
HHH,579,1371,848
HHH,100,1146,812
HHH,254,1100,768
HHH,104,886,501
HHH,53,821,503
HHH,110,802,452
HHH,145,402,280
HHH,56,239,139
HHH,120,236,68
HHH,227,202,167
HHH,6275,201,80
HHH,837,190,127
HHH,1201,137,59
HHH,915,136,85
HHH,2344,131,78
HHH,1145,117,56
HHH,1891,104,35
HHH,807,83,45
HHH,139,73,37
HHH,1172,64,53
HHH,101,57,37
HHH,3294,57,12
HHH,5486,55,11
HHH,51,54,41
HHH,1222,51,12
HHH,218,50,19
HHH,1382,46,16
HHH,3251,45,16
HHH,3465,44,11
HHH,1749,40,15
HHH,309,40,26
HHH,2049,38,18
HHH,2285,38,24
HHH,255,38,17
HHH,5516,37,23
HHH,4020,34,6
HHH,820,33,15
HHH,2315,32,15
HHH,307,32,18
HHH,1592,30,21
HHH,206,30,21
HHH,1117,28,14
HHH,332,28,3
HHH,2247,28,5
HHH,3176,28,16
HHH,2277,28,18
HHH,1123,27,17
HHH,997,27,8
HHH,1731,26,4
HHH,306,25,17
HHH,466,25,6
HHH,261,25,15
HHH,1903,24,6
HHH,4379,24,11
HHH,1313,23,15
HHH,4797,23,1
HHH,220,22,12
HHH,141,22,9
HHH,2234,22,14
HHH,892,21,10
HHH,809,21,6
HHH,1189,21,15
HHH,3429,20,5
HHH,2025,20,5
HHH,2248,19,5
HHH,2214,19,5
HHH,5254,19,7
HHH,1280,19,5
HHH,2254,19,13
HHH,4753,18,4
HHH,146,18,7
HHH,3550,18,7
HHH,3628,18,4
HHH,836,18,6
HHH,973,18,8
HHH,632,18,10
HHH,4559,18,13
HHH,204,17,10
HHH,6420,17,1
HHH,287,17,6
HHH,365,17,8
HHH,1415,17,12
HHH,565,17,6
HHH,1922,17,5
HHH,1658,16,10
HHH,2056,16,7
HHH,1262,16,7
HHH,6244,16,5
HHH,52,16,5
HHH,1323,16,3
HHH,1657,16,12
HHH,2058,15,9
HHH,2635,15,7
HHH,1943,15,7
HHH,2866,15,6
HHH,5608,14,1
HHH,613,14,6
HHH,1127,14,6
HHH,1356,14,3
HHH,5464,14,9
HHH,2490,14,7
HHH,237,14,5
HHH,3834,14,4
HHH,747,14,7
HHH,3883,13,7
HHH,4764,13,1
HHH,3561,13,2
HHH,1332,13,2
HHH,154,13,3
HHH,3313,13,7
HHH,299,13,5
HHH,1559,13,6
HHH,1371,13,2
HHH,2826,13,7
HHH,779,13,9
HHH,916,13,10
HHH,6115,13,6
HHH,3219,12,4
HHH,3051,12,5
HHH,1136,12,12
HHH,1193,12,6
HHH,2380,12,4
HHH,4994,12,6
HHH,5491,12,4
HHH,4651,12,2
HHH,6376,12,3
HHH,718,12,8
HHH,2511,12,5
HHH,6064,12,5
HHH,4742,12,5
HHH,3473,12,4
HHH,592,12,9
HHH,4122,12,9
HHH,1129,11,3
HHH,2469,11,7
HHH,1210,11,9
HHH,2808,11,4
HHH,5274,11,3
HHH,1177,11,5
HHH,2222,11,7
HHH,1376,11,2
HHH,5150,11,3
HHH,4270,11,7
HHH,5168,11,6
HHH,2852,11,5
HHH,5258,11,5
HHH,4002,11,4
HHH,1430,11,1
HHH,4290,11,7
HHH,954,11,9
HHH,645,10,8
HHH,1913,10,6
HHH,1681,10,3
HHH,155,10,7
HHH,2796,10,6
HHH,1161,10,7
HHH,4675,10,4
HHH,2765,10,5
HHH,2919,10,9
HHH,564,10,6
HHH,4545,10,3
HHH,4992,10,5
HHH,3364,10,2
HHH,3981,10,2
HHH,493,10,4
