Project,AuthorID,CommentCount,IssueCount,Ranking
HIVE,21478,4246,1829,VHIGH
HIVE,36385,3784,1323,VHIGH
HIVE,44867,2664,591,VHIGH
HIVE,8130,1754,715,VHIGH
HIVE,22062,1438,561,VHIGH
HIVE,8375,1427,440,VHIGH
HIVE,44832,1339,650,VHIGH
HIVE,26712,1219,466,VHIGH
HIVE,8647,1205,401,HIGH
HIVE,30862,1062,363,HIGH
HIVE,8050,973,242,HIGH
HIVE,36324,927,332,HIGH
HIVE,30477,847,334,HIGH
HIVE,32642,758,373,HIGH
HIVE,30851,682,261,HIGH
HIVE,22087,531,211,HIGH
HIVE,44970,519,220,HIGH
HIVE,45396,433,179,HIGH
HIVE,30457,414,112,HIGH
HIVE,22000,406,143,HIGH
HIVE,30554,341,96,HIGH
HIVE,44838,331,99,HIGH
HIVE,36389,326,120,HIGH
HIVE,45110,310,140,HIGH
HIVE,42481,304,85,HIGH
HIVE,44841,276,66,HIGH
HIVE,36067,267,75,HIGH
HIVE,44981,259,75,HIGH
HIVE,21441,256,94,HIGH
HIVE,8381,247,111,HIGH
HIVE,22091,236,64,HIGH
HIVE,45133,234,60,HIGH
HIVE,44861,225,51,HIGH
HIVE,8550,219,84,HIGH
HIVE,36169,187,64,HIGH
HIVE,28528,167,62,HIGH
HIVE,44833,165,72,HIGH
HIVE,30575,163,45,HIGH
HIVE,17138,159,65,HIGH
HIVE,36063,148,71,HIGH
HIVE,9065,143,50,HIGH
HIVE,30440,131,70,HIGH
HIVE,30883,129,29,HIGH
HIVE,21226,114,31,HIGH
HIVE,23070,114,32,HIGH
HIVE,44883,111,26,HIGH
HIVE,8584,108,33,HIGH
HIVE,8066,107,40,HIGH
HIVE,30839,105,40,HIGH
HIVE,44834,104,21,HIGH
HIVE,8041,103,74,HIGH
HIVE,30661,102,52,HIGH
HIVE,45085,98,31,HIGH
HIVE,45230,96,15,HIGH
HIVE,21175,96,41,HIGH
HIVE,8247,96,32,HIGH
HIVE,8601,93,32,HIGH
HIVE,8173,93,46,HIGH
HIVE,7895,90,25,HIGH
HIVE,22086,88,37,HIGH
HIVE,25293,83,17,HIGH
HIVE,45309,82,25,HIGH
HIVE,45098,80,16,HIGH
HIVE,36250,68,39,HIGH
HIVE,30537,68,11,HIGH
HIVE,42835,67,19,HIGH
HIVE,21558,61,18,HIGH
HIVE,7919,54,18,HIGH
HIVE,8665,53,13,HIGH
