Project,AuthorID,CommentCount,IssueCount,Ranking
INFRA,7888,3664,2120,VHIGH
INFRA,18873,3421,1656,VHIGH
INFRA,8673,1037,644,VHIGH
INFRA,18872,932,523,VHIGH
INFRA,42466,585,340,VHIGH
INFRA,7805,627,317,VHIGH
INFRA,9234,458,291,VHIGH
INFRA,4139,560,287,VHIGH
INFRA,22439,383,279,VHIGH
INFRA,3172,319,180,VHIGH
INFRA,13905,308,179,VHIGH
INFRA,8162,361,175,VHIGH
INFRA,7961,272,171,VHIGH
INFRA,19151,191,156,HIGH
INFRA,2370,306,139,HIGH
INFRA,7154,189,123,HIGH
INFRA,27921,187,115,HIGH
INFRA,42934,158,102,HIGH
INFRA,17187,246,98,HIGH
INFRA,17326,159,96,HIGH
INFRA,17309,155,96,HIGH
INFRA,16236,199,88,HIGH
INFRA,18893,108,70,HIGH
INFRA,18964,104,68,HIGH
INFRA,36634,107,67,HIGH
INFRA,17351,79,66,HIGH
INFRA,19091,70,63,HIGH
INFRA,42573,86,54,HIGH
INFRA,8221,60,51,HIGH
INFRA,10685,142,47,HIGH
INFRA,8870,68,43,HIGH
INFRA,17059,61,43,HIGH
INFRA,15539,70,39,HIGH
INFRA,9094,48,38,HIGH
INFRA,42970,47,37,HIGH
INFRA,32850,160,36,HIGH
INFRA,17114,75,36,HIGH
INFRA,21151,64,36,HIGH
INFRA,13600,65,33,HIGH
INFRA,8459,58,33,HIGH
INFRA,18892,38,33,HIGH
INFRA,12174,40,32,HIGH
INFRA,6603,46,32,HIGH
INFRA,20829,50,31,HIGH
INFRA,17393,59,30,HIGH
INFRA,17320,60,29,HIGH
INFRA,4185,43,28,HIGH
INFRA,7026,57,28,HIGH
INFRA,10290,36,27,HIGH
INFRA,42584,48,26,HIGH
INFRA,15646,59,26,HIGH
INFRA,3878,47,25,HIGH
INFRA,7818,56,25,HIGH
INFRA,18829,50,25,HIGH
INFRA,13937,32,24,HIGH
INFRA,9819,35,24,HIGH
INFRA,8301,38,23,HIGH
INFRA,8340,38,22,HIGH
INFRA,10016,38,22,HIGH
INFRA,9188,40,22,HIGH
INFRA,25293,52,22,HIGH
INFRA,17133,42,22,HIGH
INFRA,9246,47,21,HIGH
INFRA,8327,41,21,HIGH
INFRA,28886,33,21,HIGH
INFRA,20782,50,20,HIGH
INFRA,15816,51,20,HIGH
INFRA,8091,42,20,HIGH
INFRA,7973,37,20,HIGH
INFRA,30199,23,19,HIGH
INFRA,39211,38,19,HIGH
INFRA,17426,35,18,HIGH
INFRA,18126,27,17,HIGH
INFRA,35999,47,17,HIGH
INFRA,33538,31,17,HIGH
INFRA,13718,23,16,HIGH
INFRA,15534,29,16,HIGH
INFRA,8381,19,16,HIGH
INFRA,12187,40,16,HIGH
INFRA,21449,30,16,HIGH
INFRA,8696,26,16,HIGH
INFRA,2526,31,16,HIGH
INFRA,21068,39,15,HIGH
INFRA,42524,35,15,HIGH
INFRA,11249,16,15,HIGH
INFRA,27929,21,15,HIGH
INFRA,7953,34,14,HIGH
INFRA,42477,14,14,HIGH
INFRA,14150,27,14,HIGH
INFRA,12175,24,14,HIGH
INFRA,25277,27,14,HIGH
INFRA,8375,39,14,HIGH
INFRA,4623,31,13,HIGH
INFRA,28024,20,13,HIGH
INFRA,19086,15,13,HIGH
INFRA,39043,19,13,HIGH
INFRA,8149,31,13,HIGH
INFRA,8517,33,12,HIGH
INFRA,7895,19,12,HIGH
INFRA,29524,20,12,HIGH
INFRA,9330,16,12,HIGH
INFRA,15675,55,12,HIGH
INFRA,8953,21,12,HIGH
INFRA,15533,39,12,HIGH
INFRA,16135,27,12,HIGH
INFRA,8367,15,12,HIGH
INFRA,8978,26,12,HIGH
INFRA,9400,31,12,HIGH
INFRA,21113,26,12,HIGH
INFRA,8481,13,12,HIGH
INFRA,13402,18,12,HIGH
INFRA,12008,14,12,HIGH
INFRA,12014,15,11,HIGH
INFRA,11678,14,11,HIGH
INFRA,10084,23,11,HIGH
INFRA,29126,29,11,HIGH
INFRA,21902,19,11,HIGH
INFRA,30197,31,11,HIGH
INFRA,42565,18,11,HIGH
INFRA,8088,20,11,HIGH
INFRA,2904,19,11,HIGH
INFRA,8326,25,11,HIGH
INFRA,42538,30,11,HIGH
