Project,AuthorID,CommentCount,IssueCount,Ranking
JBPAPP,73667,1276,956,VHIGH
JBPAPP,9119,1270,728,VHIGH
JBPAPP,74882,1257,608,VHIGH
JBPAPP,73060,879,443,VHIGH
JBPAPP,85601,839,427,HIGH
JBPAPP,73583,717,420,HIGH
JBPAPP,74880,545,298,HIGH
JBPAPP,77721,543,275,HIGH
JBPAPP,110,512,247,HIGH
JBPAPP,85946,469,303,HIGH
JBPAPP,73679,464,167,HIGH
JBPAPP,73097,459,106,HIGH
JBPAPP,73087,440,176,HIGH
JBPAPP,73980,385,161,HIGH
JBPAPP,579,347,133,HIGH
JBPAPP,75967,335,211,HIGH
JBPAPP,84608,320,183,HIGH
JBPAPP,75976,305,270,HIGH
JBPAPP,66752,301,194,HIGH
JBPAPP,4451,287,124,HIGH
JBPAPP,73256,284,176,HIGH
JBPAPP,73062,264,127,HIGH
JBPAPP,73364,258,183,HIGH
JBPAPP,77718,247,90,HIGH
JBPAPP,73964,234,144,HIGH
JBPAPP,73586,232,78,HIGH
JBPAPP,1210,228,126,HIGH
JBPAPP,66859,221,149,HIGH
JBPAPP,73079,208,101,HIGH
JBPAPP,73071,205,136,HIGH
JBPAPP,75974,172,87,HIGH
JBPAPP,78021,172,119,HIGH
JBPAPP,4115,169,102,HIGH
JBPAPP,73290,169,106,HIGH
JBPAPP,88236,164,128,HIGH
JBPAPP,73566,156,86,HIGH
JBPAPP,8976,153,103,HIGH
JBPAPP,12218,150,70,HIGH
JBPAPP,73878,145,82,HIGH
JBPAPP,73376,136,54,HIGH
JBPAPP,74455,134,78,HIGH
JBPAPP,73891,132,58,HIGH
JBPAPP,2104,131,50,HIGH
JBPAPP,38131,131,47,HIGH
JBPAPP,373,129,42,HIGH
JBPAPP,339,126,93,STD
JBPAPP,73078,124,28,STD
JBPAPP,75978,117,66,STD
JBPAPP,73841,113,82,STD
JBPAPP,78004,112,92,STD
JBPAPP,52212,109,76,STD
JBPAPP,73696,103,77,STD
JBPAPP,1123,100,88,STD
JBPAPP,73818,98,49,STD
JBPAPP,73365,95,63,STD
JBPAPP,132,93,36,STD
JBPAPP,28595,93,49,STD
JBPAPP,52955,92,64,STD
JBPAPP,73977,89,72,STD
JBPAPP,78029,85,52,STD
JBPAPP,85602,84,55,STD
JBPAPP,73572,83,36,STD
JBPAPP,83271,78,44,STD
JBPAPP,73829,77,29,STD
JBPAPP,73288,75,43,STD
JBPAPP,73399,71,46,STD
JBPAPP,73590,70,41,STD
JBPAPP,77717,67,67,STD
JBPAPP,73298,67,36,STD
JBPAPP,13918,67,35,STD
JBPAPP,73085,66,28,STD
JBPAPP,73589,64,48,STD
JBPAPP,100,60,23,STD
JBPAPP,955,59,18,STD
JBPAPP,73054,56,36,STD
JBPAPP,73691,56,27,STD
JBPAPP,73683,55,53,STD
JBPAPP,20410,54,31,STD
JBPAPP,95146,54,40,STD
JBPAPP,78015,53,23,STD
