Project,AuthorID,CommentCount,IssueCount,Ranking
JRUBY,46258,7335,3558,VHIGH
JRUBY,87535,1513,1124,VHIGH
JRUBY,88557,1751,1030,VHIGH
JRUBY,89422,1367,802,VHIGH
JRUBY,78894,573,432,VHIGH
JRUBY,74274,472,342,VHIGH
JRUBY,88599,669,242,VHIGH
JRUBY,88569,309,215,VHIGH
JRUBY,2382,308,180,VHIGH
JRUBY,88683,200,161,VHIGH
JRUBY,88630,291,125,VHIGH
JRUBY,3058,244,118,VHIGH
JRUBY,6656,278,112,VHIGH
JRUBY,87005,193,76,VHIGH
JRUBY,89417,114,68,VHIGH
JRUBY,88624,94,63,HIGH
JRUBY,37616,73,54,HIGH
JRUBY,89650,62,50,HIGH
JRUBY,75595,95,40,HIGH
JRUBY,87396,54,31,HIGH
JRUBY,29844,49,25,HIGH
JRUBY,9017,69,24,HIGH
JRUBY,227,40,24,HIGH
JRUBY,89981,34,23,HIGH
JRUBY,87625,67,22,HIGH
JRUBY,50678,33,22,HIGH
JRUBY,2714,37,21,HIGH
JRUBY,89651,40,21,HIGH
JRUBY,89959,41,19,HIGH
JRUBY,88591,53,19,HIGH
JRUBY,88852,42,19,HIGH
JRUBY,70416,43,18,HIGH
JRUBY,90045,43,18,HIGH
JRUBY,88905,21,18,HIGH
JRUBY,89134,35,17,HIGH
JRUBY,88937,32,17,HIGH
JRUBY,89096,46,17,HIGH
JRUBY,89227,38,15,HIGH
JRUBY,75611,21,15,HIGH
JRUBY,88596,46,14,HIGH
JRUBY,88564,14,14,HIGH
JRUBY,88654,20,14,HIGH
JRUBY,13903,51,14,HIGH
JRUBY,89356,30,14,HIGH
JRUBY,75764,23,14,HIGH
JRUBY,53678,20,14,HIGH
JRUBY,88606,31,14,HIGH
JRUBY,60181,18,13,HIGH
JRUBY,84252,18,13,HIGH
JRUBY,88932,14,12,HIGH
JRUBY,89373,18,12,HIGH
JRUBY,87283,21,12,HIGH
JRUBY,88572,38,12,HIGH
JRUBY,77103,26,11,HIGH
JRUBY,32224,15,11,HIGH
JRUBY,88608,17,11,HIGH
JRUBY,70766,21,11,HIGH
JRUBY,73660,20,11,HIGH
JRUBY,89694,15,11,HIGH
JRUBY,75798,22,11,HIGH
JRUBY,9910,28,11,HIGH
JRUBY,69256,21,10,HIGH
JRUBY,5893,12,10,HIGH
JRUBY,76478,17,10,HIGH
JRUBY,88620,25,10,HIGH
JRUBY,89560,21,10,HIGH
JRUBY,8983,42,9,HIGH
JRUBY,89878,12,9,HIGH
JRUBY,88669,12,9,HIGH
JRUBY,42950,26,9,HIGH
JRUBY,88575,17,9,HIGH
JRUBY,88582,22,9,HIGH
JRUBY,19013,22,9,HIGH
JRUBY,30688,13,9,HIGH
JRUBY,5599,15,9,HIGH
JRUBY,88612,27,9,HIGH
JRUBY,75781,18,9,HIGH
JRUBY,88558,19,9,HIGH
JRUBY,88670,28,9,HIGH
JRUBY,58359,20,8,HIGH
JRUBY,90121,19,8,HIGH
JRUBY,22027,17,8,HIGH
JRUBY,88694,14,8,HIGH
JRUBY,90289,10,8,HIGH
JRUBY,89066,23,8,HIGH
JRUBY,89425,18,8,HIGH
JRUBY,88931,21,8,HIGH
JRUBY,90124,20,8,HIGH
JRUBY,22398,12,8,HIGH
JRUBY,88933,23,8,HIGH
JRUBY,69705,13,8,HIGH
JRUBY,89406,12,8,HIGH
JRUBY,89233,13,8,HIGH
JRUBY,76185,8,7,HIGH
JRUBY,75521,9,7,HIGH
JRUBY,4423,24,7,HIGH
JRUBY,88865,8,7,HIGH
JRUBY,89123,15,7,HIGH
JRUBY,88576,10,7,HIGH
JRUBY,89956,17,7,HIGH
JRUBY,89306,16,7,HIGH
JRUBY,88643,19,7,HIGH
JRUBY,88993,10,7,HIGH
JRUBY,89235,10,7,HIGH
JRUBY,88743,11,7,HIGH
JRUBY,88806,8,7,HIGH
JRUBY,89080,8,7,HIGH
JRUBY,88915,10,7,HIGH
JRUBY,88497,10,7,HIGH
JRUBY,39204,20,7,HIGH
JRUBY,89698,17,7,HIGH
JRUBY,90034,7,7,HIGH
JRUBY,5532,11,7,HIGH
JRUBY,88615,13,6,HIGH
JRUBY,90146,13,6,HIGH
JRUBY,88617,13,6,HIGH
JRUBY,89811,10,6,HIGH
JRUBY,89786,12,6,HIGH
JRUBY,71119,11,6,HIGH
JRUBY,70948,11,6,HIGH
JRUBY,89501,10,6,HIGH
JRUBY,88840,10,6,HIGH
JRUBY,7061,9,6,HIGH
JRUBY,89180,18,6,HIGH
JRUBY,89444,10,6,HIGH
JRUBY,90004,11,6,HIGH
JRUBY,60248,9,6,HIGH
JRUBY,84787,9,6,HIGH
JRUBY,89946,16,6,HIGH
JRUBY,88955,13,6,HIGH
JRUBY,89065,12,6,HIGH
JRUBY,90064,13,6,HIGH
JRUBY,75625,7,6,HIGH
JRUBY,60214,8,6,HIGH
JRUBY,89165,7,6,HIGH
JRUBY,37547,10,5,STD
JRUBY,88648,12,5,STD
JRUBY,88690,6,5,STD
JRUBY,89825,10,5,STD
JRUBY,89972,19,5,STD
JRUBY,88692,10,5,STD
JRUBY,89876,8,5,STD
JRUBY,83319,8,5,STD
JRUBY,89301,8,5,STD
JRUBY,90265,8,5,STD
JRUBY,9502,6,5,STD
JRUBY,88990,13,5,STD
JRUBY,88986,5,5,STD
JRUBY,89224,12,5,STD
JRUBY,28448,11,5,STD
JRUBY,117,9,5,STD
JRUBY,15480,18,5,STD
JRUBY,88621,19,5,STD
JRUBY,28044,13,5,STD
JRUBY,90151,8,5,STD
JRUBY,88607,6,5,STD
JRUBY,34974,9,5,STD
JRUBY,90139,10,5,STD
JRUBY,75379,16,5,STD
JRUBY,88846,10,5,STD
JRUBY,88850,9,5,STD
JRUBY,88593,18,5,STD
JRUBY,89161,7,5,STD
JRUBY,88584,9,5,STD
JRUBY,88577,6,5,STD
JRUBY,89135,16,5,STD
JRUBY,89122,11,5,STD
JRUBY,88562,6,5,STD
JRUBY,39450,15,5,STD
JRUBY,28908,10,5,STD
JRUBY,75561,10,4,STD
JRUBY,13827,6,4,STD
JRUBY,88566,8,4,STD
JRUBY,90086,9,4,STD
JRUBY,75642,9,4,STD
JRUBY,88663,8,4,STD
JRUBY,89075,10,4,STD
JRUBY,88581,5,4,STD
JRUBY,36546,4,4,STD
JRUBY,89591,4,4,STD
JRUBY,28986,8,4,STD
JRUBY,88587,10,4,STD
JRUBY,89164,10,4,STD
JRUBY,89174,4,4,STD
JRUBY,90130,6,4,STD
JRUBY,89081,6,4,STD
JRUBY,88902,16,4,STD
JRUBY,5769,7,4,STD
JRUBY,66319,10,4,STD
JRUBY,89761,8,4,STD
JRUBY,90365,8,4,STD
JRUBY,75395,7,4,STD
JRUBY,88906,5,4,STD
JRUBY,89564,4,4,STD
JRUBY,89346,4,4,STD
JRUBY,88680,9,4,STD
JRUBY,89553,8,4,STD
JRUBY,90030,8,4,STD
JRUBY,88828,4,4,STD
JRUBY,88618,8,4,STD
JRUBY,89307,7,4,STD
JRUBY,89999,5,4,STD
JRUBY,30567,5,4,STD
JRUBY,88681,10,4,STD
JRUBY,88494,6,4,STD
JRUBY,89105,11,4,STD
JRUBY,89533,7,4,STD
JRUBY,88653,5,4,STD
JRUBY,39924,7,4,STD
JRUBY,30404,6,4,STD
JRUBY,88816,6,4,STD
JRUBY,72425,5,4,STD
JRUBY,6312,8,4,STD
JRUBY,7187,5,4,STD
JRUBY,90197,5,4,STD
JRUBY,88747,8,4,STD
JRUBY,88925,5,4,STD
JRUBY,89797,7,4,STD
JRUBY,89798,6,4,STD
JRUBY,88926,7,4,STD
JRUBY,89922,10,4,STD
JRUBY,89439,6,4,STD
JRUBY,89053,6,4,STD
JRUBY,89803,4,4,STD
JRUBY,89055,7,4,STD
JRUBY,88732,6,4,STD
JRUBY,89068,4,4,STD
JRUBY,89426,4,4,STD
JRUBY,88952,6,4,STD
JRUBY,86261,4,4,STD
JRUBY,88882,10,4,STD
JRUBY,89667,9,4,STD
JRUBY,88716,8,4,STD
JRUBY,89661,7,4,STD
JRUBY,88592,3,3,STD
JRUBY,89368,4,3,STD
JRUBY,89372,5,3,STD
JRUBY,88693,8,3,STD
JRUBY,89387,8,3,STD
JRUBY,66067,6,3,STD
JRUBY,88727,4,3,STD
JRUBY,89423,11,3,STD
JRUBY,89428,6,3,STD
