Project,AuthorID,CommentCount,IssueCount,Ranking
LUCENE,9844,7880,2071,VHIGH
LUCENE,9842,7235,1829,VHIGH
LUCENE,12175,5551,1496,VHIGH
LUCENE,20831,2600,561,VHIGH
LUCENE,25490,2042,599,VHIGH
LUCENE,8093,1717,436,VHIGH
LUCENE,25459,1505,567,VHIGH
LUCENE,8313,1453,523,VHIGH
LUCENE,4623,1132,525,VHIGH
LUCENE,26077,976,148,VHIGH
LUCENE,26806,972,242,VHIGH
LUCENE,25627,962,412,HIGH
LUCENE,7985,934,220,HIGH
LUCENE,25949,850,174,HIGH
LUCENE,20829,845,454,HIGH
LUCENE,25531,787,266,HIGH
LUCENE,25658,765,180,HIGH
LUCENE,26293,743,182,HIGH
LUCENE,22080,397,137,HIGH
LUCENE,4033,362,137,HIGH
LUCENE,5900,338,81,HIGH
LUCENE,8244,336,206,HIGH
LUCENE,991,273,63,HIGH
LUCENE,37885,262,179,HIGH
LUCENE,25933,255,53,HIGH
LUCENE,14235,239,73,HIGH
LUCENE,37328,196,38,HIGH
LUCENE,16599,193,59,HIGH
LUCENE,8340,183,97,HIGH
LUCENE,37871,176,105,HIGH
LUCENE,26566,149,49,HIGH
LUCENE,8808,147,31,HIGH
LUCENE,20847,146,52,HIGH
LUCENE,8249,138,43,HIGH
LUCENE,37259,134,18,HIGH
LUCENE,18598,134,28,HIGH
LUCENE,26567,130,85,HIGH
LUCENE,37715,122,38,HIGH
LUCENE,25591,116,47,HIGH
LUCENE,37878,116,68,HIGH
LUCENE,37567,115,22,HIGH
LUCENE,25434,113,80,HIGH
LUCENE,37386,98,38,HIGH
LUCENE,25746,88,12,HIGH
LUCENE,17209,88,22,HIGH
LUCENE,26211,85,12,HIGH
LUCENE,37357,84,3,HIGH
LUCENE,18273,83,59,HIGH
LUCENE,25414,79,19,HIGH
LUCENE,25830,75,22,HIGH
LUCENE,26409,74,14,HIGH
LUCENE,4886,70,26,HIGH
LUCENE,25452,68,10,HIGH
LUCENE,37252,68,25,HIGH
LUCENE,22579,67,54,HIGH
LUCENE,26773,64,17,HIGH
LUCENE,25967,59,13,HIGH
LUCENE,8248,55,32,HIGH
LUCENE,37701,55,21,HIGH
LUCENE,21008,53,10,HIGH
LUCENE,4185,52,14,HIGH
LUCENE,26829,52,20,HIGH
LUCENE,25433,50,13,HIGH
LUCENE,37518,49,10,HIGH
LUCENE,7959,49,19,HIGH
LUCENE,22060,49,33,HIGH
LUCENE,8282,48,10,HIGH
LUCENE,37896,44,5,HIGH
LUCENE,25439,43,31,HIGH
LUCENE,25732,43,7,HIGH
LUCENE,26014,43,9,HIGH
