Project,AuthorID,CommentCount,IssueCount,Ranking
MAPREDUCE,8481,2154,860,VHIGH
MAPREDUCE,8471,2226,812,VHIGH
MAPREDUCE,7830,1340,425,VHIGH
MAPREDUCE,8367,860,408,VHIGH
MAPREDUCE,7827,925,393,VHIGH
MAPREDUCE,7895,956,389,VHIGH
MAPREDUCE,7819,849,379,VHIGH
MAPREDUCE,36067,1141,351,VHIGH
MAPREDUCE,8532,656,326,HIGH
MAPREDUCE,36159,883,296,HIGH
MAPREDUCE,8473,786,276,HIGH
MAPREDUCE,8494,869,269,HIGH
MAPREDUCE,8553,658,259,HIGH
MAPREDUCE,8524,690,238,HIGH
MAPREDUCE,8381,457,236,HIGH
MAPREDUCE,25399,315,217,HIGH
MAPREDUCE,8187,497,200,HIGH
MAPREDUCE,8655,637,191,HIGH
MAPREDUCE,8658,601,173,HIGH
MAPREDUCE,8174,386,158,HIGH
MAPREDUCE,8527,442,153,HIGH
MAPREDUCE,7962,323,142,HIGH
MAPREDUCE,8635,315,135,HIGH
MAPREDUCE,17239,485,134,HIGH
MAPREDUCE,8290,378,129,HIGH
MAPREDUCE,8485,361,116,HIGH
MAPREDUCE,8340,318,115,HIGH
MAPREDUCE,8466,356,115,HIGH
MAPREDUCE,8374,208,111,HIGH
MAPREDUCE,30870,345,110,HIGH
MAPREDUCE,8350,237,109,HIGH
MAPREDUCE,8391,276,108,HIGH
MAPREDUCE,8598,209,105,HIGH
MAPREDUCE,8468,363,105,HIGH
MAPREDUCE,8539,345,104,HIGH
MAPREDUCE,8488,251,100,HIGH
MAPREDUCE,8631,437,97,HIGH
MAPREDUCE,36458,273,85,HIGH
MAPREDUCE,8221,111,85,HIGH
MAPREDUCE,8618,284,73,HIGH
MAPREDUCE,8469,200,71,HIGH
MAPREDUCE,8480,250,69,HIGH
MAPREDUCE,8478,131,69,HIGH
MAPREDUCE,17233,267,68,HIGH
MAPREDUCE,7884,191,67,HIGH
MAPREDUCE,8166,101,65,HIGH
MAPREDUCE,8489,210,63,HIGH
MAPREDUCE,9488,131,62,HIGH
MAPREDUCE,8805,227,62,HIGH
MAPREDUCE,36201,140,56,HIGH
MAPREDUCE,8180,138,54,HIGH
MAPREDUCE,36399,134,54,HIGH
MAPREDUCE,30889,190,54,HIGH
MAPREDUCE,7849,180,53,HIGH
MAPREDUCE,36205,201,50,HIGH
MAPREDUCE,8521,168,48,HIGH
MAPREDUCE,8552,85,46,HIGH
MAPREDUCE,8592,87,45,HIGH
MAPREDUCE,22000,109,44,HIGH
MAPREDUCE,8567,58,44,HIGH
MAPREDUCE,8063,74,40,HIGH
MAPREDUCE,36398,94,40,HIGH
MAPREDUCE,8370,71,35,HIGH
MAPREDUCE,36402,193,35,HIGH
MAPREDUCE,8581,88,34,HIGH
MAPREDUCE,36063,96,33,HIGH
MAPREDUCE,36359,137,32,HIGH
MAPREDUCE,8594,57,31,HIGH
MAPREDUCE,8363,53,31,HIGH
MAPREDUCE,8545,76,31,HIGH
MAPREDUCE,8642,44,30,HIGH
MAPREDUCE,8603,97,29,HIGH
MAPREDUCE,22096,199,29,HIGH
MAPREDUCE,8652,82,28,HIGH
MAPREDUCE,30941,72,26,HIGH
MAPREDUCE,8528,54,26,HIGH
MAPREDUCE,36330,93,26,HIGH
MAPREDUCE,8475,59,25,HIGH
MAPREDUCE,8526,68,25,HIGH
MAPREDUCE,36328,101,25,HIGH
MAPREDUCE,32643,69,24,HIGH
MAPREDUCE,36012,30,24,HIGH
MAPREDUCE,5178,43,23,HIGH
MAPREDUCE,22062,73,23,HIGH
MAPREDUCE,8570,94,23,HIGH
MAPREDUCE,8626,64,22,HIGH
MAPREDUCE,8050,78,21,STD
MAPREDUCE,8589,77,21,STD
MAPREDUCE,7905,48,21,STD
MAPREDUCE,8057,32,21,STD
MAPREDUCE,8534,46,20,STD
MAPREDUCE,7953,48,20,STD
MAPREDUCE,8041,28,19,STD
MAPREDUCE,36161,33,19,STD
MAPREDUCE,8476,37,18,STD
MAPREDUCE,7896,43,18,STD
MAPREDUCE,8470,68,18,STD
MAPREDUCE,8066,33,18,STD
MAPREDUCE,7870,81,18,STD
MAPREDUCE,36209,46,18,STD
MAPREDUCE,8499,53,17,STD
MAPREDUCE,36260,91,17,STD
MAPREDUCE,30516,42,16,STD
MAPREDUCE,36278,31,16,STD
MAPREDUCE,8112,74,16,STD
MAPREDUCE,8663,39,15,STD
MAPREDUCE,8617,34,15,STD
MAPREDUCE,8506,42,15,STD
MAPREDUCE,8562,33,15,STD
MAPREDUCE,26079,35,14,STD
MAPREDUCE,36070,37,14,STD
MAPREDUCE,8484,31,14,STD
MAPREDUCE,8525,25,13,STD
MAPREDUCE,36076,49,13,STD
MAPREDUCE,8282,33,13,STD
MAPREDUCE,30902,28,12,STD
MAPREDUCE,30821,86,12,STD
MAPREDUCE,8218,35,12,STD
MAPREDUCE,8530,14,11,STD
MAPREDUCE,36409,36,11,STD
MAPREDUCE,17146,26,10,STD
MAPREDUCE,8657,17,10,STD
MAPREDUCE,8498,27,10,STD
MAPREDUCE,36362,21,10,STD
MAPREDUCE,8574,53,10,STD
MAPREDUCE,8558,18,10,STD
MAPREDUCE,36504,12,10,STD
MAPREDUCE,8472,47,10,STD
MAPREDUCE,36413,22,10,STD
MAPREDUCE,8584,30,9,STD
MAPREDUCE,8628,24,9,STD
MAPREDUCE,7818,15,9,STD
MAPREDUCE,36203,23,9,STD
MAPREDUCE,7909,15,9,STD
MAPREDUCE,30763,17,9,STD
MAPREDUCE,30471,32,9,STD
MAPREDUCE,36281,13,8,STD
MAPREDUCE,30717,24,8,STD
MAPREDUCE,36030,40,8,STD
MAPREDUCE,30680,32,8,STD
MAPREDUCE,7932,18,8,STD
MAPREDUCE,36040,32,8,STD
MAPREDUCE,22086,13,8,STD
MAPREDUCE,9065,10,8,STD
MAPREDUCE,36042,16,8,STD
MAPREDUCE,8623,23,8,STD
MAPREDUCE,21558,38,8,STD
MAPREDUCE,36133,30,7,STD
MAPREDUCE,17133,10,7,STD
MAPREDUCE,36091,35,7,STD
MAPREDUCE,8602,11,7,STD
MAPREDUCE,36135,10,7,STD
MAPREDUCE,36009,8,7,STD
MAPREDUCE,36234,9,7,STD
MAPREDUCE,30463,11,7,STD
MAPREDUCE,36344,10,7,STD
MAPREDUCE,8572,8,7,STD
MAPREDUCE,30862,17,7,STD
MAPREDUCE,36245,15,6,STD
MAPREDUCE,8300,9,6,STD
MAPREDUCE,36514,6,6,STD
MAPREDUCE,36024,24,6,STD
MAPREDUCE,8659,33,6,STD
MAPREDUCE,8388,7,6,STD
MAPREDUCE,36578,9,6,STD
MAPREDUCE,18549,16,6,STD
MAPREDUCE,36200,22,6,STD
MAPREDUCE,36196,8,6,STD
MAPREDUCE,30523,15,6,STD
MAPREDUCE,32644,23,6,STD
MAPREDUCE,8493,17,6,STD
MAPREDUCE,7842,11,6,STD
MAPREDUCE,8515,5,5,STD
MAPREDUCE,30728,9,5,STD
MAPREDUCE,8596,107,5,STD
MAPREDUCE,36156,8,5,STD
MAPREDUCE,36064,34,5,STD
MAPREDUCE,36553,8,5,STD
MAPREDUCE,25385,7,5,STD
MAPREDUCE,7880,7,5,STD
MAPREDUCE,22055,20,5,STD
MAPREDUCE,36498,19,5,STD
MAPREDUCE,8541,33,5,STD
MAPREDUCE,8536,16,5,STD
MAPREDUCE,8254,8,5,STD
MAPREDUCE,36289,23,5,STD
MAPREDUCE,8537,16,5,STD
MAPREDUCE,8505,7,5,STD
MAPREDUCE,36411,13,5,STD
MAPREDUCE,22097,9,5,STD
MAPREDUCE,36375,10,5,STD
MAPREDUCE,36137,11,5,STD
MAPREDUCE,8327,11,5,STD
MAPREDUCE,30882,6,5,STD
MAPREDUCE,8619,5,5,STD
MAPREDUCE,36443,6,5,STD
MAPREDUCE,8517,10,5,STD
MAPREDUCE,7970,47,5,STD
MAPREDUCE,8497,8,4,STD
MAPREDUCE,8654,24,4,STD
MAPREDUCE,8076,8,4,STD
MAPREDUCE,8665,4,4,STD
MAPREDUCE,17188,6,4,STD
MAPREDUCE,36193,5,4,STD
MAPREDUCE,20847,16,4,STD
MAPREDUCE,36217,5,4,STD
MAPREDUCE,21900,5,4,STD
MAPREDUCE,36250,4,4,STD
MAPREDUCE,36259,13,4,STD
MAPREDUCE,36274,11,4,STD
MAPREDUCE,25311,16,4,STD
