Project,AuthorID,CommentCount,IssueCount,Ranking
OFBIZ,32850,7243,2623,VHIGH
OFBIZ,17408,1569,606,VHIGH
OFBIZ,32853,1420,805,VHIGH
OFBIZ,33034,837,283,VHIGH
OFBIZ,32867,772,430,VHIGH
OFBIZ,33058,756,202,HIGH
OFBIZ,21015,669,206,HIGH
OFBIZ,33046,655,417,HIGH
OFBIZ,32908,654,404,HIGH
OFBIZ,33052,533,207,HIGH
OFBIZ,32944,459,268,HIGH
OFBIZ,32936,452,237,HIGH
OFBIZ,32887,449,245,HIGH
OFBIZ,23189,399,217,HIGH
OFBIZ,32918,344,226,HIGH
OFBIZ,33036,341,121,HIGH
OFBIZ,27362,286,151,HIGH
OFBIZ,32868,259,135,HIGH
OFBIZ,32854,253,120,HIGH
OFBIZ,32891,184,71,HIGH
OFBIZ,17532,176,104,HIGH
OFBIZ,32900,142,48,HIGH
OFBIZ,33140,137,62,HIGH
OFBIZ,23118,121,37,HIGH
OFBIZ,33114,116,58,HIGH
OFBIZ,33077,115,45,HIGH
OFBIZ,32905,111,49,HIGH
OFBIZ,32951,106,34,HIGH
OFBIZ,33323,104,30,HIGH
OFBIZ,32862,102,44,HIGH
OFBIZ,32849,99,55,HIGH
OFBIZ,33399,97,36,HIGH
OFBIZ,32895,97,62,HIGH
OFBIZ,33158,91,53,HIGH
OFBIZ,33027,89,51,HIGH
OFBIZ,32962,86,38,HIGH
OFBIZ,32972,83,45,HIGH
OFBIZ,33123,79,46,HIGH
OFBIZ,33014,78,39,HIGH
OFBIZ,32875,77,40,HIGH
OFBIZ,32848,77,32,HIGH
OFBIZ,33061,74,38,HIGH
OFBIZ,32857,72,30,HIGH
OFBIZ,33291,70,34,HIGH
OFBIZ,32886,70,31,HIGH
OFBIZ,33024,68,34,HIGH
OFBIZ,32913,67,40,HIGH
OFBIZ,33258,65,32,HIGH
OFBIZ,32893,63,32,HIGH
OFBIZ,33380,63,30,HIGH
OFBIZ,33085,61,18,HIGH
OFBIZ,32934,59,27,HIGH
OFBIZ,33075,58,33,HIGH
OFBIZ,33417,57,21,HIGH
OFBIZ,33154,56,34,HIGH
OFBIZ,32896,54,33,HIGH
OFBIZ,33137,52,13,HIGH
OFBIZ,33054,51,23,STD
OFBIZ,32917,50,28,STD
OFBIZ,28090,50,30,STD
OFBIZ,32535,47,22,STD
OFBIZ,27383,47,22,STD
OFBIZ,33083,47,15,STD
OFBIZ,32863,45,8,STD
OFBIZ,33023,44,19,STD
OFBIZ,32885,44,18,STD
OFBIZ,33332,43,27,STD
OFBIZ,33178,43,21,STD
OFBIZ,33246,42,22,STD
OFBIZ,32864,42,16,STD
OFBIZ,33009,41,19,STD
OFBIZ,32879,39,8,STD
OFBIZ,33386,38,16,STD
OFBIZ,33175,36,27,STD
OFBIZ,33019,36,12,STD
OFBIZ,9290,36,16,STD
OFBIZ,33171,35,14,STD
OFBIZ,33033,34,23,STD
OFBIZ,33298,34,19,STD
OFBIZ,33232,34,17,STD
OFBIZ,33026,33,11,STD
OFBIZ,33213,33,23,STD
OFBIZ,33357,33,16,STD
OFBIZ,33233,33,10,STD
OFBIZ,33460,32,11,STD
OFBIZ,32878,32,12,STD
OFBIZ,33289,32,19,STD
OFBIZ,15422,31,11,STD
OFBIZ,33136,31,14,STD
OFBIZ,33337,30,13,STD
OFBIZ,33325,30,8,STD
OFBIZ,32880,30,14,STD
OFBIZ,33367,30,9,STD
OFBIZ,33193,29,12,STD
OFBIZ,32985,28,20,STD
OFBIZ,33015,28,12,STD
OFBIZ,33312,28,13,STD
OFBIZ,4002,27,7,STD
OFBIZ,33150,27,6,STD
OFBIZ,33425,27,12,STD
OFBIZ,33130,25,11,STD
OFBIZ,33423,25,6,STD
OFBIZ,33090,24,17,STD
OFBIZ,33032,24,14,STD
OFBIZ,32971,24,17,STD
OFBIZ,33161,24,10,STD
OFBIZ,32969,23,4,STD
OFBIZ,33505,23,4,STD
OFBIZ,32906,23,7,STD
OFBIZ,32892,23,10,STD
OFBIZ,33176,22,11,STD
OFBIZ,33170,22,10,STD
OFBIZ,33342,21,7,STD
OFBIZ,32968,21,13,STD
OFBIZ,32959,21,3,STD
OFBIZ,33396,20,8,STD
OFBIZ,33354,20,8,STD
OFBIZ,33349,19,11,STD
OFBIZ,33094,19,11,STD
OFBIZ,33106,19,8,STD
OFBIZ,33255,19,9,STD
OFBIZ,33248,19,2,STD
OFBIZ,33194,19,8,STD
OFBIZ,33446,19,6,STD
OFBIZ,33322,19,6,STD
OFBIZ,33209,19,14,STD
OFBIZ,33470,18,7,STD
OFBIZ,33097,17,10,STD
OFBIZ,33110,17,10,STD
OFBIZ,12956,17,15,STD
OFBIZ,33392,17,12,STD
OFBIZ,33479,17,1,STD
OFBIZ,33247,17,5,STD
OFBIZ,33252,17,15,STD
OFBIZ,33125,15,8,STD
OFBIZ,33124,15,10,STD
OFBIZ,32998,15,11,STD
OFBIZ,32915,15,11,STD
OFBIZ,33078,15,13,STD
OFBIZ,33447,15,11,STD
OFBIZ,33226,15,4,STD
OFBIZ,33192,15,2,STD
OFBIZ,33390,14,4,STD
OFBIZ,33301,14,3,STD
OFBIZ,32901,14,8,STD
OFBIZ,9920,14,7,STD
OFBIZ,20842,14,4,STD
OFBIZ,33352,14,10,STD
OFBIZ,30139,14,12,STD
OFBIZ,33371,13,7,STD
OFBIZ,33042,13,1,STD
OFBIZ,33316,13,8,STD
OFBIZ,33378,13,6,STD
OFBIZ,33103,13,7,STD
OFBIZ,33364,13,8,STD
OFBIZ,33299,13,4,STD
OFBIZ,33402,12,5,STD
OFBIZ,33218,12,8,STD
OFBIZ,33424,12,5,STD
OFBIZ,33145,12,7,STD
OFBIZ,33473,12,7,STD
OFBIZ,32866,12,3,STD
OFBIZ,33469,12,7,STD
OFBIZ,32882,12,9,STD
OFBIZ,33501,12,1,STD
OFBIZ,33409,12,7,STD
OFBIZ,33089,12,8,STD
OFBIZ,31333,11,4,STD
OFBIZ,33180,11,7,STD
OFBIZ,32881,11,4,STD
OFBIZ,33129,11,2,STD
OFBIZ,33261,11,4,STD
OFBIZ,32933,11,5,STD
OFBIZ,32979,10,3,STD
OFBIZ,32925,10,4,STD
OFBIZ,33454,10,2,STD
OFBIZ,33465,10,7,STD
OFBIZ,32920,10,3,STD
OFBIZ,33433,10,6,STD
OFBIZ,33496,10,2,STD
OFBIZ,33468,9,5,STD
OFBIZ,33041,9,5,STD
OFBIZ,32910,9,4,STD
OFBIZ,33091,9,5,STD
OFBIZ,23907,9,3,STD
OFBIZ,33122,9,1,STD
OFBIZ,33285,9,9,STD
OFBIZ,33486,9,2,STD
OFBIZ,33225,9,2,STD
OFBIZ,33271,9,2,STD
OFBIZ,33200,9,6,STD
OFBIZ,15841,8,1,STD
OFBIZ,33507,8,1,STD
OFBIZ,33191,8,4,STD
OFBIZ,33059,8,7,STD
OFBIZ,32884,8,3,STD
OFBIZ,33230,8,2,STD
OFBIZ,32981,8,2,STD
OFBIZ,33207,8,6,STD
OFBIZ,33288,8,3,STD
OFBIZ,32907,8,1,STD
OFBIZ,32935,8,5,STD
OFBIZ,33439,8,6,STD
OFBIZ,32890,8,6,STD
OFBIZ,33166,8,5,STD
OFBIZ,33388,7,5,STD
