Project,AuthorID,CommentCount,IssueCount,Ranking
PIG,22086,2678,1074,VHIGH
PIG,30488,1808,985,VHIGH
PIG,30440,1583,745,VHIGH
PIG,23087,1257,460,VHIGH
PIG,30477,869,380,VHIGH
PIG,22089,995,314,HIGH
PIG,30446,557,249,HIGH
PIG,30762,551,221,HIGH
PIG,30472,534,195,HIGH
PIG,22097,481,183,HIGH
PIG,21455,416,173,HIGH
PIG,21478,429,172,HIGH
PIG,30499,325,149,HIGH
PIG,30906,400,125,HIGH
PIG,30457,303,124,HIGH
PIG,30470,288,111,HIGH
PIG,8586,309,100,HIGH
PIG,30815,293,100,HIGH
PIG,25060,258,89,HIGH
PIG,8474,241,83,HIGH
PIG,30537,183,82,HIGH
PIG,30717,178,74,HIGH
PIG,17123,271,70,HIGH
PIG,7829,140,65,HIGH
PIG,8363,201,58,HIGH
PIG,8511,181,56,HIGH
PIG,30716,88,53,HIGH
PIG,8481,133,52,HIGH
PIG,30485,84,44,HIGH
PIG,30898,146,42,HIGH
PIG,8063,75,42,HIGH
PIG,6749,112,38,HIGH
PIG,30847,47,34,HIGH
PIG,8050,92,33,HIGH
PIG,30520,101,32,HIGH
PIG,30471,74,26,HIGH
PIG,8020,78,26,HIGH
PIG,22090,44,25,HIGH
PIG,26643,74,25,HIGH
PIG,26079,51,25,HIGH
PIG,30844,45,24,HIGH
PIG,30826,46,23,HIGH
PIG,30638,107,23,HIGH
PIG,30892,48,23,HIGH
PIG,8343,34,23,HIGH
PIG,30934,62,23,HIGH
PIG,7919,61,23,HIGH
PIG,30860,69,19,HIGH
PIG,8652,52,19,HIGH
PIG,30613,41,18,HIGH
PIG,21867,53,17,HIGH
PIG,30828,49,17,HIGH
PIG,8221,25,16,HIGH
PIG,7819,39,14,STD
PIG,8517,48,14,STD
PIG,30866,21,14,STD
PIG,30493,69,13,STD
PIG,8367,25,13,STD
PIG,22087,40,12,STD
PIG,30875,20,12,STD
PIG,30724,30,12,STD
PIG,8388,21,12,STD
PIG,30575,73,12,STD
PIG,30784,21,12,STD
PIG,30466,40,12,STD
PIG,30541,54,12,STD
PIG,30609,47,11,STD
PIG,5233,21,11,STD
PIG,8247,28,11,STD
PIG,8257,21,11,STD
PIG,8181,40,11,STD
PIG,8112,34,11,STD
PIG,30893,14,10,STD
PIG,30441,62,10,STD
PIG,30837,12,10,STD
PIG,30901,32,10,STD
PIG,30650,28,10,STD
PIG,30788,15,9,STD
PIG,8340,18,9,STD
PIG,7818,22,9,STD
PIG,8469,69,9,STD
PIG,30870,23,9,STD
PIG,25295,15,9,STD
PIG,30904,31,9,STD
PIG,30748,20,8,STD
PIG,30657,11,8,STD
PIG,30913,10,8,STD
PIG,21823,17,8,STD
PIG,30882,9,8,STD
PIG,21970,23,8,STD
PIG,30865,41,8,STD
PIG,30603,22,7,STD
PIG,22039,11,7,STD
PIG,17159,10,7,STD
PIG,25279,14,7,STD
PIG,30490,15,7,STD
PIG,7895,22,7,STD
PIG,8041,18,7,STD
PIG,30829,51,7,STD
PIG,30890,12,6,STD
PIG,30712,22,6,STD
PIG,30636,16,6,STD
PIG,8066,13,6,STD
PIG,30573,13,6,STD
PIG,30823,49,6,STD
PIG,30821,26,6,STD
PIG,30935,22,5,STD
PIG,7896,12,5,STD
PIG,30834,10,5,STD
PIG,8541,7,5,STD
PIG,7953,14,5,STD
PIG,30444,13,5,STD
PIG,8504,7,5,STD
PIG,530,8,5,STD
PIG,8374,10,5,STD
PIG,30880,9,5,STD
PIG,8266,14,5,STD
PIG,30924,10,5,STD
PIG,30505,29,5,STD
PIG,181,14,5,STD
PIG,30543,5,5,STD
PIG,22091,19,5,STD
PIG,30652,9,4,STD
PIG,30494,14,4,STD
PIG,30503,6,4,STD
PIG,8065,23,4,STD
PIG,8290,16,4,STD
PIG,30873,8,4,STD
PIG,30864,4,4,STD
PIG,8494,8,4,STD
PIG,30862,8,4,STD
PIG,30852,24,4,STD
PIG,30848,11,4,STD
PIG,20847,5,4,STD
PIG,30938,29,4,STD
PIG,30699,5,4,STD
PIG,30616,6,4,STD
PIG,30680,6,3,STD
PIG,22062,3,3,STD
PIG,30678,9,3,STD
PIG,30719,7,3,STD
PIG,30795,8,3,STD
PIG,25319,6,3,STD
PIG,25402,4,3,STD
PIG,30674,19,3,STD
PIG,30808,5,3,STD
PIG,30830,16,3,STD
PIG,30592,7,3,STD
PIG,30651,4,3,STD
PIG,8642,4,3,STD
PIG,8518,19,3,STD
PIG,8381,3,3,STD
PIG,30888,6,3,STD
PIG,8130,5,3,STD
PIG,30495,5,3,STD
PIG,5178,4,3,STD
PIG,30521,8,3,STD
PIG,30523,10,3,STD
PIG,30540,11,3,STD
PIG,30553,3,3,STD
PIG,7962,9,3,STD
PIG,30569,5,3,STD
PIG,30572,20,3,STD
PIG,30583,7,3,STD
PIG,30590,11,3,STD
PIG,30600,7,3,STD
PIG,30593,6,3,STD
PIG,30455,7,3,STD
PIG,23070,10,3,STD
PIG,30507,5,2,STD
PIG,3562,7,2,STD
PIG,3630,3,2,STD
PIG,4623,3,2,STD
PIG,7842,4,2,STD
PIG,7925,4,2,STD
PIG,7929,6,2,STD
PIG,7948,2,2,STD
PIG,7995,2,2,STD
PIG,8193,2,2,STD
PIG,8244,2,2,STD
PIG,8282,2,2,STD
PIG,8372,2,2,STD
PIG,8473,2,2,STD
PIG,8476,13,2,STD
PIG,8553,2,2,STD
PIG,8594,4,2,STD
PIG,8630,26,2,STD
PIG,9583,6,2,STD
PIG,17133,4,2,STD
PIG,17141,6,2,STD
PIG,17239,6,2,STD
PIG,21010,9,2,STD
PIG,21216,6,2,STD
PIG,21796,2,2,STD
PIG,25298,9,2,STD
PIG,26435,3,2,STD
PIG,26611,3,2,STD
PIG,30443,3,2,STD
PIG,30447,4,2,STD
PIG,30461,5,2,STD
PIG,30464,4,2,STD
PIG,30491,2,2,STD
PIG,30511,3,2,STD
PIG,30516,3,2,STD
PIG,30522,3,2,STD
PIG,30529,6,2,STD
PIG,30536,8,2,STD
PIG,30548,3,2,STD
PIG,30549,3,2,STD
PIG,30550,4,2,STD
PIG,30554,6,2,STD
PIG,30586,6,2,STD
PIG,30588,3,2,STD
PIG,30594,3,2,STD
PIG,30597,5,2,STD
PIG,30602,2,2,STD
PIG,30620,17,2,STD
PIG,30622,3,2,STD
PIG,30625,2,2,STD
PIG,30637,7,2,STD
PIG,30647,12,2,STD
PIG,30655,3,2,STD
PIG,30668,2,2,STD
PIG,30672,8,2,STD
PIG,30681,9,2,STD
PIG,30684,3,2,STD
PIG,30693,2,2,STD
PIG,30700,3,2,STD
PIG,30705,3,2,STD
PIG,30714,4,2,STD
PIG,30733,2,2,STD
PIG,30750,6,2,STD
PIG,30753,6,2,STD
PIG,30761,20,2,STD
PIG,30765,2,2,STD
PIG,30767,11,2,STD
PIG,30782,6,2,STD
PIG,30787,5,2,STD
PIG,30791,2,2,STD
PIG,30797,13,2,STD
PIG,30799,3,2,STD
PIG,30835,9,2,STD
PIG,30836,2,2,STD
PIG,30846,3,2,STD
PIG,30850,5,2,STD
PIG,30867,3,2,STD
PIG,30883,3,2,STD
PIG,30886,21,2,STD
PIG,30902,2,2,STD
PIG,30916,16,2,STD
PIG,30926,2,2,STD
PIG,30937,3,2,STD
PIG,30475,1,1,STD
PIG,30570,1,1,STD
PIG,30571,6,1,STD
PIG,30469,1,1,STD
PIG,30467,1,1,STD
PIG,30574,5,1,STD
PIG,30465,3,1,STD
PIG,30576,2,1,STD
PIG,30577,7,1,STD
PIG,30578,1,1,STD
PIG,30579,1,1,STD
PIG,30580,1,1,STD
PIG,30581,1,1,STD
PIG,30582,1,1,STD
PIG,30463,3,1,STD
PIG,30584,1,1,STD
PIG,30891,1,1,STD
PIG,30587,1,1,STD
PIG,8219,2,1,STD
PIG,30589,1,1,STD
PIG,30462,1,1,STD
PIG,30591,1,1,STD
PIG,30458,1,1,STD
PIG,30454,1,1,STD
PIG,7965,12,1,STD
PIG,30596,1,1,STD
PIG,30897,2,1,STD
PIG,30598,1,1,STD
PIG,30599,5,1,STD
PIG,30450,1,1,STD
PIG,7957,1,1,STD
PIG,30445,1,1,STD
PIG,30608,1,1,STD
PIG,30442,1,1,STD
PIG,30610,4,1,STD
PIG,30611,1,1,STD
PIG,30612,1,1,STD
PIG,30439,2,1,STD
PIG,30614,2,1,STD
