Project,AuthorID,CommentCount,IssueCount,Ranking
SOLR,20829,3649,1708,VHIGH
SOLR,8313,3303,1165,VHIGH
SOLR,8093,2998,873,VHIGH
SOLR,9842,2476,922,VHIGH
SOLR,4623,1838,879,VHIGH
SOLR,22060,1648,644,VHIGH
SOLR,16599,1433,443,VHIGH
SOLR,22059,1419,402,VHIGH
SOLR,25627,1339,497,VHIGH
SOLR,12175,1313,657,VHIGH
SOLR,25459,1232,669,VHIGH
SOLR,25434,1180,448,VHIGH
SOLR,8248,974,325,VHIGH
SOLR,7959,760,204,VHIGH
SOLR,22579,647,286,VHIGH
SOLR,4033,553,197,HIGH
SOLR,14235,550,214,HIGH
SOLR,25425,504,169,HIGH
SOLR,8244,452,261,HIGH
SOLR,25488,437,130,HIGH
SOLR,25830,349,182,HIGH
SOLR,26077,321,73,HIGH
SOLR,7985,298,80,HIGH
SOLR,25427,289,78,HIGH
SOLR,20791,234,87,HIGH
SOLR,25439,230,115,HIGH
SOLR,25417,229,19,HIGH
SOLR,25933,221,50,HIGH
SOLR,25949,220,79,HIGH
SOLR,9844,191,79,HIGH
SOLR,8240,187,30,HIGH
SOLR,26740,184,94,HIGH
SOLR,16236,179,41,HIGH
SOLR,21050,171,79,HIGH
SOLR,26817,171,47,HIGH
SOLR,25531,169,118,HIGH
SOLR,25532,165,47,HIGH
SOLR,26741,160,28,HIGH
SOLR,20847,158,41,HIGH
SOLR,25490,157,71,HIGH
SOLR,25414,145,39,HIGH
SOLR,17209,129,41,HIGH
SOLR,8282,125,35,HIGH
SOLR,26364,119,24,HIGH
SOLR,8168,115,47,HIGH
SOLR,25444,107,25,HIGH
SOLR,21034,107,9,HIGH
SOLR,25780,106,18,HIGH
SOLR,17207,102,23,HIGH
SOLR,25819,99,28,HIGH
SOLR,25533,97,46,HIGH
SOLR,25461,93,40,HIGH
SOLR,26883,88,16,HIGH
SOLR,26633,80,14,HIGH
SOLR,25619,76,30,HIGH
SOLR,21151,74,25,HIGH
SOLR,26365,68,21,HIGH
SOLR,4185,65,20,HIGH
SOLR,8808,65,19,HIGH
SOLR,25443,64,15,HIGH
SOLR,26393,61,18,HIGH
SOLR,1977,60,9,HIGH
SOLR,21073,60,28,HIGH
SOLR,26019,57,16,HIGH
SOLR,25578,55,16,HIGH
SOLR,26496,54,14,HIGH
SOLR,8010,54,18,HIGH
SOLR,25638,54,15,HIGH
SOLR,25420,53,9,HIGH
SOLR,25437,51,27,HIGH
SOLR,26723,49,17,HIGH
SOLR,8196,49,9,HIGH
SOLR,12154,48,14,HIGH
SOLR,26014,48,18,HIGH
SOLR,25450,47,8,HIGH
SOLR,25548,47,8,HIGH
SOLR,25971,44,14,HIGH
SOLR,25433,44,9,HIGH
SOLR,21108,43,13,HIGH
SOLR,26040,43,8,HIGH
SOLR,26642,41,1,HIGH
SOLR,25967,39,15,HIGH
SOLR,25757,38,13,HIGH
SOLR,25610,37,14,HIGH
SOLR,17059,36,13,HIGH
SOLR,26832,36,2,HIGH
SOLR,25448,35,16,HIGH
SOLR,25423,35,17,HIGH
SOLR,26574,35,15,HIGH
SOLR,25453,34,12,HIGH
SOLR,25700,33,14,HIGH
SOLR,21550,33,1,HIGH
SOLR,25432,33,5,HIGH
SOLR,16204,32,14,HIGH
SOLR,25684,31,15,HIGH
SOLR,25493,31,21,HIGH
SOLR,25457,31,13,HIGH
SOLR,25701,31,22,HIGH
SOLR,25630,31,10,HIGH
SOLR,25978,30,4,HIGH
SOLR,7992,29,9,HIGH
SOLR,26141,28,10,HIGH
SOLR,26933,27,18,HIGH
SOLR,14872,26,16,HIGH
SOLR,26426,26,9,HIGH
SOLR,26620,26,6,HIGH
SOLR,25597,26,3,HIGH
SOLR,25535,25,12,HIGH
SOLR,26975,25,1,HIGH
SOLR,25943,24,5,HIGH
SOLR,26923,24,13,HIGH
SOLR,26919,24,9,HIGH
SOLR,7925,23,7,HIGH
SOLR,26967,23,2,HIGH
SOLR,27035,23,11,HIGH
SOLR,26225,23,11,HIGH
SOLR,26126,22,8,HIGH
SOLR,25569,22,7,HIGH
SOLR,21007,21,6,HIGH
SOLR,26356,21,4,HIGH
SOLR,4290,21,1,HIGH
SOLR,26798,21,7,HIGH
SOLR,26949,21,4,HIGH
SOLR,25462,21,4,HIGH
SOLR,26384,20,7,HIGH
SOLR,25665,20,3,HIGH
SOLR,7870,20,6,HIGH
SOLR,25845,20,3,HIGH
SOLR,25746,20,9,HIGH
SOLR,25527,20,7,HIGH
SOLR,26275,20,9,HIGH
SOLR,26640,20,2,HIGH
SOLR,25652,19,3,HIGH
SOLR,26390,19,6,HIGH
SOLR,26017,19,11,HIGH
SOLR,26871,19,5,HIGH
SOLR,25452,19,9,HIGH
SOLR,7818,19,8,HIGH
SOLR,8249,19,7,HIGH
SOLR,25484,18,10,HIGH
SOLR,26398,18,1,HIGH
SOLR,26689,18,1,HIGH
SOLR,25761,18,7,HIGH
SOLR,26856,17,7,HIGH
SOLR,25549,17,7,HIGH
SOLR,3715,16,8,HIGH
SOLR,26622,16,5,HIGH
SOLR,25912,16,3,HIGH
SOLR,25447,16,12,HIGH
SOLR,27029,15,3,STD
SOLR,25473,15,10,STD
SOLR,8251,15,7,STD
SOLR,26237,15,4,STD
SOLR,14178,15,2,STD
SOLR,26811,15,1,STD
SOLR,26783,15,2,STD
SOLR,27094,15,4,STD
SOLR,26392,15,7,STD
SOLR,26637,15,4,STD
SOLR,25436,15,7,STD
SOLR,26812,14,11,STD
SOLR,26972,14,2,STD
SOLR,25986,14,11,STD
SOLR,25419,14,4,STD
SOLR,20914,14,3,STD
SOLR,22039,14,11,STD
SOLR,3788,13,7,STD
SOLR,25428,13,5,STD
SOLR,7917,13,9,STD
SOLR,8331,13,7,STD
SOLR,25494,13,8,STD
SOLR,26609,13,7,STD
SOLR,21156,13,8,STD
SOLR,26891,13,5,STD
SOLR,26104,13,7,STD
SOLR,20932,13,4,STD
SOLR,25783,13,9,STD
SOLR,25634,12,6,STD
SOLR,25778,12,5,STD
SOLR,26306,12,8,STD
SOLR,26535,12,8,STD
SOLR,25907,12,6,STD
SOLR,26286,12,2,STD
SOLR,26504,12,3,STD
SOLR,25451,12,2,STD
SOLR,26438,12,3,STD
SOLR,23651,12,7,STD
SOLR,26658,12,4,STD
SOLR,16433,12,2,STD
SOLR,26343,12,1,STD
SOLR,20479,11,2,STD
SOLR,26739,11,2,STD
SOLR,20811,11,7,STD
SOLR,20831,11,6,STD
SOLR,20860,11,5,STD
SOLR,26853,11,6,STD
SOLR,26635,11,2,STD
SOLR,26634,11,4,STD
SOLR,26893,11,4,STD
SOLR,21902,11,2,STD
SOLR,25734,11,3,STD
SOLR,25719,11,5,STD
SOLR,25477,11,3,STD
SOLR,26489,10,1,STD
SOLR,26773,10,2,STD
SOLR,25706,10,4,STD
SOLR,26611,10,7,STD
SOLR,25513,10,6,STD
SOLR,25587,10,5,STD
SOLR,25702,10,7,STD
SOLR,25508,10,1,STD
SOLR,25821,10,3,STD
SOLR,25831,10,6,STD
SOLR,26228,10,7,STD
SOLR,26293,10,2,STD
SOLR,26506,9,4,STD
SOLR,25489,9,4,STD
SOLR,991,9,6,STD
SOLR,26955,9,4,STD
SOLR,26194,9,5,STD
SOLR,26809,9,4,STD
SOLR,25607,9,6,STD
SOLR,26898,9,2,STD
SOLR,26166,9,6,STD
SOLR,26906,9,1,STD
SOLR,25591,9,6,STD
SOLR,26440,9,6,STD
SOLR,26790,9,5,STD
SOLR,26668,9,1,STD
SOLR,26441,9,2,STD
SOLR,20875,9,6,STD
SOLR,26470,9,2,STD
SOLR,7953,9,6,STD
SOLR,26734,9,3,STD
SOLR,25572,9,3,STD
SOLR,25551,9,7,STD
SOLR,25740,9,2,STD
SOLR,26678,9,5,STD
SOLR,25732,8,3,STD
SOLR,8222,8,5,STD
SOLR,26468,8,2,STD
SOLR,25585,8,4,STD
SOLR,26588,8,1,STD
SOLR,25711,8,2,STD
SOLR,25762,8,4,STD
SOLR,26864,8,3,STD
SOLR,25954,8,4,STD
SOLR,25616,8,5,STD
SOLR,27087,8,1,STD
SOLR,26567,8,5,STD
SOLR,21009,8,3,STD
SOLR,19332,8,2,STD
SOLR,16549,8,1,STD
SOLR,6474,8,3,STD
SOLR,26855,8,2,STD
SOLR,26081,8,1,STD
SOLR,25751,8,2,STD
SOLR,25814,8,4,STD
SOLR,26878,8,3,STD
SOLR,25667,8,1,STD
SOLR,26196,8,4,STD
SOLR,26662,7,1,STD
SOLR,25923,7,5,STD
SOLR,25914,7,3,STD
SOLR,7969,7,5,STD
SOLR,25810,7,2,STD
SOLR,25841,7,2,STD
SOLR,26844,7,3,STD
SOLR,26820,7,4,STD
SOLR,26805,7,2,STD
SOLR,26799,7,2,STD
SOLR,26778,7,6,STD
SOLR,26667,7,1,STD
SOLR,26638,7,2,STD
SOLR,26607,7,2,STD
SOLR,26581,7,4,STD
SOLR,26501,7,5,STD
SOLR,26488,7,1,STD
SOLR,26969,7,1,STD
SOLR,5900,7,2,STD
SOLR,25564,7,7,STD
SOLR,26950,7,2,STD
SOLR,25639,7,2,STD
SOLR,26184,7,2,STD
SOLR,26163,7,2,STD
SOLR,26161,7,3,STD
SOLR,25677,7,3,STD
SOLR,25691,7,2,STD
SOLR,26090,7,1,STD
SOLR,25694,7,7,STD
SOLR,26078,7,2,STD
SOLR,25705,7,6,STD
SOLR,26061,7,3,STD
SOLR,25994,7,2,STD
SOLR,25446,6,4,STD
SOLR,26486,6,1,STD
SOLR,26557,6,2,STD
SOLR,25712,6,3,STD
SOLR,25438,6,5,STD
SOLR,26922,6,1,STD
SOLR,25603,6,1,STD
SOLR,25499,6,1,STD
SOLR,26670,6,2,STD
SOLR,27044,6,5,STD
SOLR,1556,6,2,STD
SOLR,25977,6,2,STD
SOLR,25818,6,1,STD
SOLR,26063,6,3,STD
SOLR,25550,6,4,STD
SOLR,25980,6,5,STD
SOLR,26671,6,3,STD
SOLR,26264,6,3,STD
SOLR,26058,6,1,STD
SOLR,26914,6,1,STD
SOLR,26435,6,2,STD
SOLR,26835,6,2,STD
SOLR,26252,6,1,STD
SOLR,26251,6,1,STD
SOLR,26852,6,4,STD
SOLR,26410,6,3,STD
SOLR,1286,6,1,STD
SOLR,25626,6,1,STD
SOLR,26108,6,2,STD
SOLR,25975,6,2,STD
SOLR,26050,6,5,STD
SOLR,27107,6,2,STD
SOLR,26367,6,5,STD
SOLR,8660,6,2,STD
SOLR,26423,6,2,STD
SOLR,26315,6,1,STD
SOLR,26210,6,3,STD
SOLR,26867,6,2,STD
SOLR,26408,6,2,STD
SOLR,26203,6,1,STD
SOLR,25729,6,1,STD
SOLR,3218,6,1,STD
SOLR,25765,6,4,STD
SOLR,25584,6,3,STD
SOLR,25560,6,2,STD
SOLR,27053,6,1,STD
SOLR,25707,6,1,STD
SOLR,25528,6,2,STD
SOLR,25668,6,1,STD
SOLR,25656,6,3,STD
SOLR,26170,6,1,STD
SOLR,26903,6,2,STD
SOLR,26165,6,1,STD
SOLR,26389,6,4,STD
SOLR,8273,6,2,STD
SOLR,26908,6,2,STD
SOLR,26175,5,4,STD
SOLR,26901,5,5,STD
SOLR,7805,5,3,STD
SOLR,26001,5,1,STD
SOLR,25609,5,2,STD
SOLR,26395,5,2,STD
SOLR,27066,5,4,STD
SOLR,26139,5,3,STD
SOLR,25825,5,1,STD
SOLR,26122,5,1,STD
SOLR,27052,5,1,STD
SOLR,26110,5,3,STD
SOLR,146,5,2,STD
SOLR,26745,5,2,STD
SOLR,25763,5,1,STD
SOLR,21123,5,5,STD
SOLR,26084,5,2,STD
SOLR,21120,5,2,STD
SOLR,25699,5,4,STD
SOLR,25772,5,3,STD
SOLR,25808,5,3,STD
SOLR,26320,5,3,STD
SOLR,25756,5,1,STD
SOLR,26076,5,3,STD
SOLR,26653,5,2,STD
SOLR,26582,5,4,STD
SOLR,26072,5,1,STD
SOLR,26067,5,3,STD
SOLR,25788,5,1,STD
SOLR,25720,5,2,STD
SOLR,25590,5,2,STD
SOLR,26055,5,2,STD
SOLR,25724,5,3,STD
SOLR,17104,5,2,STD
SOLR,26037,5,2,STD
SOLR,25593,5,1,STD
SOLR,25596,5,2,STD
SOLR,26502,5,2,STD
SOLR,25460,5,2,STD
SOLR,26509,5,3,STD
SOLR,26480,5,1,STD
SOLR,26806,5,1,STD
SOLR,26982,5,1,STD
SOLR,26816,5,2,STD
SOLR,26913,5,2,STD
SOLR,15691,5,5,STD
SOLR,26271,5,2,STD
SOLR,26680,5,1,STD
SOLR,26374,5,2,STD
SOLR,25618,5,1,STD
SOLR,27055,5,1,STD
SOLR,9963,5,1,STD
SOLR,26858,5,2,STD
SOLR,26947,5,2,STD
SOLR,26937,5,3,STD
SOLR,26690,5,1,STD
SOLR,26598,5,1,STD
SOLR,26190,5,3,STD
SOLR,25950,5,3,STD
SOLR,26736,5,3,STD
SOLR,26542,4,1,STD
SOLR,26546,4,1,STD
SOLR,26579,4,1,STD
SOLR,22293,4,1,STD
SOLR,26983,4,1,STD
SOLR,25525,4,2,STD
SOLR,26636,4,1,STD
SOLR,26643,4,2,STD
SOLR,25730,4,2,STD
SOLR,25554,4,3,STD
SOLR,25557,4,4,STD
SOLR,26714,4,1,STD
SOLR,25563,4,1,STD
SOLR,26357,4,1,STD
SOLR,26737,4,2,STD
SOLR,26354,4,1,STD
SOLR,26347,4,2,STD
SOLR,26751,4,1,STD
SOLR,26341,4,2,STD
SOLR,26762,4,1,STD
SOLR,25583,4,3,STD
SOLR,17414,4,1,STD
SOLR,17215,4,1,STD
SOLR,26313,4,3,STD
SOLR,26792,4,2,STD
SOLR,16328,4,2,STD
SOLR,26292,4,1,STD
SOLR,25606,4,2,STD
SOLR,26819,4,2,STD
SOLR,26270,4,1,STD
SOLR,1513,4,2,STD
SOLR,26254,4,1,STD
SOLR,26230,4,3,STD
SOLR,26216,4,1,STD
SOLR,26211,4,1,STD
