Project,AuthorID,CommentCount,IssueCount,Ranking
WICKET,15673,2950,1510,VHIGH
WICKET,154,1936,1209,VHIGH
WICKET,16156,885,616,VHIGH
WICKET,16019,699,435,VHIGH
WICKET,2820,575,309,VHIGH
WICKET,16289,502,277,VHIGH
WICKET,3224,377,284,VHIGH
WICKET,16324,367,217,VHIGH
WICKET,1491,317,148,VHIGH
WICKET,1708,311,155,VHIGH
WICKET,16863,308,207,VHIGH
WICKET,16988,291,158,VHIGH
WICKET,15679,226,107,HIGH
WICKET,2172,194,113,HIGH
WICKET,16389,174,117,HIGH
WICKET,15329,142,61,HIGH
WICKET,16370,140,88,HIGH
WICKET,15717,136,102,HIGH
WICKET,3862,125,73,HIGH
WICKET,15672,114,41,HIGH
WICKET,874,112,70,HIGH
WICKET,15674,110,39,HIGH
WICKET,3883,98,35,HIGH
WICKET,4104,98,42,HIGH
WICKET,15534,93,28,HIGH
WICKET,3083,80,39,HIGH
WICKET,15879,62,20,HIGH
WICKET,15682,59,25,HIGH
WICKET,16228,57,32,HIGH
WICKET,15701,54,27,HIGH
WICKET,2956,50,22,HIGH
WICKET,15691,49,12,HIGH
WICKET,15698,48,22,HIGH
WICKET,16990,46,14,HIGH
WICKET,15690,45,14,HIGH
WICKET,15851,43,26,HIGH
WICKET,14872,41,10,HIGH
WICKET,16285,41,26,HIGH
WICKET,15699,41,24,HIGH
WICKET,16115,40,2,HIGH
WICKET,2790,39,19,HIGH
WICKET,16199,35,11,HIGH
WICKET,586,34,11,HIGH
WICKET,3436,34,13,HIGH
WICKET,16263,33,18,HIGH
WICKET,16233,33,22,HIGH
WICKET,15829,33,16,HIGH
WICKET,3127,32,19,HIGH
WICKET,3000,30,6,HIGH
WICKET,16929,29,3,HIGH
WICKET,15812,29,16,HIGH
WICKET,2545,28,16,HIGH
WICKET,192,27,11,HIGH
WICKET,7138,27,17,HIGH
WICKET,16488,27,16,HIGH
WICKET,16999,26,12,HIGH
WICKET,15784,25,11,HIGH
WICKET,15704,25,18,HIGH
WICKET,16566,25,10,HIGH
WICKET,16803,24,7,HIGH
WICKET,15706,23,15,HIGH
WICKET,16905,23,11,HIGH
WICKET,16103,23,4,HIGH
WICKET,9323,23,13,HIGH
WICKET,16812,23,14,HIGH
WICKET,15757,23,10,HIGH
WICKET,16265,23,6,HIGH
WICKET,15718,22,10,HIGH
WICKET,2277,22,8,HIGH
WICKET,15969,21,8,HIGH
WICKET,16128,21,12,HIGH
WICKET,15703,21,12,HIGH
WICKET,16818,21,12,HIGH
WICKET,4709,21,12,HIGH
WICKET,214,20,10,HIGH
WICKET,16815,20,12,HIGH
WICKET,15719,20,8,HIGH
WICKET,16112,20,3,HIGH
WICKET,16066,20,3,HIGH
WICKET,16694,20,12,HIGH
WICKET,15897,19,10,HIGH
WICKET,15724,19,3,HIGH
WICKET,142,19,6,HIGH
WICKET,2180,19,12,HIGH
WICKET,206,18,10,HIGH
WICKET,15792,18,13,HIGH
WICKET,16749,18,9,HIGH
WICKET,16839,18,9,HIGH
WICKET,15982,18,6,HIGH
WICKET,16041,18,12,HIGH
WICKET,216,18,8,HIGH
WICKET,16500,18,8,HIGH
WICKET,16407,17,10,HIGH
WICKET,16242,17,11,HIGH
WICKET,1659,17,5,HIGH
WICKET,15767,17,7,HIGH
WICKET,16629,17,6,HIGH
WICKET,16016,16,8,HIGH
WICKET,16581,16,12,HIGH
WICKET,15846,16,10,HIGH
WICKET,16215,16,7,HIGH
WICKET,6115,16,8,HIGH
WICKET,16793,16,14,HIGH
WICKET,16204,15,3,HIGH
WICKET,2533,15,5,HIGH
WICKET,15827,15,5,HIGH
WICKET,16636,15,4,HIGH
WICKET,16106,15,7,HIGH
WICKET,3394,15,4,HIGH
WICKET,1701,14,5,HIGH
WICKET,16329,14,6,HIGH
WICKET,15763,14,4,HIGH
WICKET,16950,14,9,HIGH
WICKET,16341,14,2,HIGH
WICKET,3187,14,5,HIGH
WICKET,853,14,6,HIGH
WICKET,16111,13,3,STD
WICKET,16102,13,12,STD
WICKET,16761,13,1,STD
WICKET,16189,13,10,STD
WICKET,4304,13,3,STD
WICKET,16756,13,6,STD
WICKET,16339,13,5,STD
WICKET,15779,13,9,STD
WICKET,16704,13,8,STD
WICKET,16043,13,2,STD
WICKET,15891,13,9,STD
WICKET,15993,13,6,STD
WICKET,16455,13,7,STD
WICKET,5593,13,6,STD
WICKET,15791,13,9,STD
WICKET,16951,12,8,STD
WICKET,2998,12,8,STD
WICKET,17020,12,7,STD
WICKET,15824,12,7,STD
WICKET,16012,12,5,STD
WICKET,16166,12,8,STD
WICKET,16811,12,6,STD
WICKET,16780,12,9,STD
WICKET,16021,12,4,STD
WICKET,16771,12,7,STD
WICKET,15705,12,5,STD
WICKET,16008,12,5,STD
WICKET,17053,12,2,STD
WICKET,16050,12,7,STD
WICKET,16129,11,10,STD
WICKET,15731,11,5,STD
WICKET,15736,11,4,STD
WICKET,16804,11,4,STD
WICKET,642,11,7,STD
WICKET,16234,11,4,STD
WICKET,16437,11,2,STD
WICKET,3767,11,6,STD
WICKET,16302,11,5,STD
WICKET,15951,11,8,STD
WICKET,15906,11,5,STD
WICKET,9039,11,6,STD
WICKET,16484,11,5,STD
WICKET,15715,11,9,STD
WICKET,16280,10,7,STD
WICKET,2536,10,5,STD
WICKET,16659,10,5,STD
WICKET,15677,10,4,STD
WICKET,15836,10,3,STD
WICKET,7222,10,6,STD
WICKET,15774,10,5,STD
WICKET,16174,10,7,STD
WICKET,16062,10,5,STD
WICKET,16676,9,2,STD
WICKET,15709,9,5,STD
WICKET,15950,9,3,STD
WICKET,6091,9,4,STD
WICKET,2506,9,3,STD
WICKET,16799,9,6,STD
WICKET,15898,9,6,STD
WICKET,16754,9,6,STD
WICKET,15697,9,4,STD
WICKET,15964,9,4,STD
WICKET,5741,9,7,STD
WICKET,16143,9,4,STD
WICKET,16359,9,3,STD
