Project,AuthorID,CommentCount,IssueCount,Ranking
ZOOKEEPER,7818,2732,1019,VHIGH
ZOOKEEPER,7827,1865,718,VHIGH
ZOOKEEPER,7829,898,358,VHIGH
ZOOKEEPER,7750,1412,353,VHIGH
ZOOKEEPER,7832,449,120,HIGH
ZOOKEEPER,7886,370,120,HIGH
ZOOKEEPER,8100,218,94,HIGH
ZOOKEEPER,7800,201,82,HIGH
ZOOKEEPER,7820,288,71,HIGH
ZOOKEEPER,7816,242,61,HIGH
ZOOKEEPER,8050,173,49,HIGH
ZOOKEEPER,7842,231,45,HIGH
ZOOKEEPER,7806,125,45,HIGH
ZOOKEEPER,8126,275,44,HIGH
ZOOKEEPER,7824,266,42,HIGH
ZOOKEEPER,7925,161,34,HIGH
ZOOKEEPER,7807,102,32,HIGH
ZOOKEEPER,7810,227,32,HIGH
ZOOKEEPER,8091,71,30,HIGH
ZOOKEEPER,7956,81,29,HIGH
ZOOKEEPER,8063,61,28,HIGH
ZOOKEEPER,7865,72,26,HIGH
ZOOKEEPER,8348,53,23,HIGH
ZOOKEEPER,8043,58,18,HIGH
ZOOKEEPER,7891,50,17,HIGH
ZOOKEEPER,8066,38,17,HIGH
ZOOKEEPER,8337,55,16,HIGH
ZOOKEEPER,8380,36,15,HIGH
ZOOKEEPER,8071,31,14,HIGH
ZOOKEEPER,8385,47,12,HIGH
ZOOKEEPER,8053,72,12,HIGH
ZOOKEEPER,8060,28,12,HIGH
ZOOKEEPER,8340,22,12,HIGH
ZOOKEEPER,7881,32,11,HIGH
ZOOKEEPER,8377,20,11,HIGH
ZOOKEEPER,8139,48,11,HIGH
ZOOKEEPER,8258,52,11,HIGH
ZOOKEEPER,7953,17,11,HIGH
ZOOKEEPER,7895,15,10,HIGH
ZOOKEEPER,8164,34,10,HIGH
ZOOKEEPER,7847,17,10,HIGH
ZOOKEEPER,7863,41,10,HIGH
ZOOKEEPER,8228,18,9,HIGH
ZOOKEEPER,8217,43,9,HIGH
ZOOKEEPER,7992,18,9,HIGH
ZOOKEEPER,8216,30,9,HIGH
ZOOKEEPER,8112,52,9,HIGH
ZOOKEEPER,8323,21,8,HIGH
ZOOKEEPER,7819,17,8,HIGH
ZOOKEEPER,7909,18,7,STD
ZOOKEEPER,8325,43,7,STD
ZOOKEEPER,7970,40,7,STD
ZOOKEEPER,7960,26,7,STD
ZOOKEEPER,7939,30,7,STD
ZOOKEEPER,7878,24,7,STD
ZOOKEEPER,8224,17,7,STD
ZOOKEEPER,8352,8,7,STD
ZOOKEEPER,7950,33,7,STD
ZOOKEEPER,8073,19,7,STD
ZOOKEEPER,8058,13,7,STD
ZOOKEEPER,8115,32,7,STD
ZOOKEEPER,8247,22,6,STD
ZOOKEEPER,8232,19,6,STD
ZOOKEEPER,8220,11,6,STD
ZOOKEEPER,7852,9,6,STD
ZOOKEEPER,8052,23,6,STD
ZOOKEEPER,8204,9,6,STD
ZOOKEEPER,7917,18,6,STD
ZOOKEEPER,7862,8,6,STD
ZOOKEEPER,8184,28,5,STD
ZOOKEEPER,8041,8,5,STD
ZOOKEEPER,8176,9,5,STD
ZOOKEEPER,8343,15,5,STD
ZOOKEEPER,8221,6,5,STD
ZOOKEEPER,8106,5,5,STD
ZOOKEEPER,7823,10,5,STD
ZOOKEEPER,8351,8,5,STD
ZOOKEEPER,7932,13,4,STD
ZOOKEEPER,7919,15,4,STD
ZOOKEEPER,8087,12,4,STD
ZOOKEEPER,8117,14,4,STD
ZOOKEEPER,8236,14,4,STD
ZOOKEEPER,7993,31,4,STD
ZOOKEEPER,8282,19,4,STD
ZOOKEEPER,8290,14,4,STD
ZOOKEEPER,759,7,4,STD
ZOOKEEPER,8252,53,4,STD
ZOOKEEPER,7877,5,4,STD
ZOOKEEPER,8093,8,4,STD
ZOOKEEPER,7815,14,4,STD
ZOOKEEPER,7966,6,4,STD
ZOOKEEPER,8133,20,4,STD
ZOOKEEPER,7994,17,4,STD
ZOOKEEPER,8270,9,4,STD
ZOOKEEPER,8172,11,3,STD
ZOOKEEPER,7838,10,3,STD
ZOOKEEPER,7803,3,3,STD
ZOOKEEPER,8189,5,3,STD
ZOOKEEPER,8192,23,3,STD
ZOOKEEPER,8194,4,3,STD
ZOOKEEPER,8199,23,3,STD
ZOOKEEPER,8200,22,3,STD
ZOOKEEPER,7850,7,3,STD
ZOOKEEPER,8054,13,3,STD
ZOOKEEPER,7933,9,3,STD
ZOOKEEPER,7856,7,3,STD
ZOOKEEPER,7860,3,3,STD
ZOOKEEPER,7951,15,3,STD
ZOOKEEPER,7954,11,3,STD
ZOOKEEPER,7817,12,3,STD
ZOOKEEPER,7879,9,3,STD
ZOOKEEPER,7977,8,3,STD
ZOOKEEPER,8122,25,3,STD
ZOOKEEPER,8129,11,3,STD
ZOOKEEPER,8344,4,3,STD
ZOOKEEPER,7995,7,3,STD
ZOOKEEPER,8367,5,3,STD
ZOOKEEPER,8142,33,3,STD
ZOOKEEPER,7996,6,3,STD
ZOOKEEPER,7896,17,3,STD
ZOOKEEPER,7897,15,3,STD
ZOOKEEPER,8292,4,2,STD
ZOOKEEPER,8288,3,2,STD
ZOOKEEPER,8285,14,2,STD
ZOOKEEPER,7958,10,2,STD
ZOOKEEPER,8078,8,2,STD
ZOOKEEPER,8118,7,2,STD
ZOOKEEPER,8266,6,2,STD
ZOOKEEPER,7945,4,2,STD
ZOOKEEPER,7981,3,2,STD
ZOOKEEPER,7825,13,2,STD
ZOOKEEPER,8328,19,2,STD
ZOOKEEPER,8329,13,2,STD
ZOOKEEPER,8330,8,2,STD
ZOOKEEPER,8185,2,2,STD
ZOOKEEPER,8261,4,2,STD
ZOOKEEPER,4623,3,2,STD
ZOOKEEPER,7935,4,2,STD
ZOOKEEPER,8250,2,2,STD
ZOOKEEPER,8249,2,2,STD
ZOOKEEPER,3172,3,2,STD
ZOOKEEPER,8339,7,2,STD
ZOOKEEPER,8059,2,2,STD
ZOOKEEPER,8013,5,2,STD
ZOOKEEPER,3562,5,2,STD
ZOOKEEPER,8180,6,2,STD
ZOOKEEPER,8130,2,2,STD
ZOOKEEPER,8347,3,2,STD
ZOOKEEPER,8243,3,2,STD
ZOOKEEPER,8045,5,2,STD
ZOOKEEPER,8350,11,2,STD
ZOOKEEPER,8230,3,2,STD
ZOOKEEPER,8227,9,2,STD
ZOOKEEPER,8353,13,2,STD
ZOOKEEPER,8132,9,2,STD
ZOOKEEPER,8040,5,2,STD
ZOOKEEPER,8039,2,2,STD
ZOOKEEPER,8136,5,2,STD
ZOOKEEPER,8359,3,2,STD
ZOOKEEPER,8222,7,2,STD
ZOOKEEPER,8037,2,2,STD
ZOOKEEPER,8035,5,2,STD
ZOOKEEPER,7848,3,2,STD
ZOOKEEPER,7836,6,2,STD
ZOOKEEPER,7910,2,2,STD
ZOOKEEPER,8165,6,2,STD
ZOOKEEPER,8016,4,2,STD
ZOOKEEPER,7923,13,2,STD
ZOOKEEPER,7999,4,2,STD
ZOOKEEPER,8168,4,2,STD
ZOOKEEPER,7802,2,2,STD
